Date,Rate,High (est),Low (est)
1996-03-27,1.00013,1.0117,0.9887100000000001
1996-03-28,1.00033,1.0125,0.9883299999999999
1996-03-29,1.00021,1.0119,0.98867
1996-04-01,1.00021,0.0,0.0
1996-04-02,1.00021,0.0,0.0
1996-04-03,0.9999709999999999,1.0122,0.9879100000000001
1996-04-04,1.0,0.0,0.0
1996-04-05,1.0,0.0,0.0
1996-04-08,1.0,0.0,0.0
1996-04-09,1.0,0.0,0.0
1996-04-10,1.0,0.0,0.0
1996-04-11,1.0,0.0,0.0
1996-04-12,0.999936,1.0121,0.98788
1996-04-15,0.999936,0.0,0.0
1996-04-16,0.999936,0.0,0.0
1996-04-17,0.999936,0.0,0.0
1996-04-18,0.999936,0.0,0.0
1996-04-19,0.999936,0.0,0.0
1996-04-22,0.999936,0.0,0.0
1996-04-23,0.999936,0.0,0.0
1996-04-24,0.999936,0.0,0.0
1996-04-25,0.999936,0.0,0.0
1996-04-26,0.999936,0.0,0.0
1996-04-29,0.999936,0.0,0.0
1996-04-30,0.999936,0.0,0.0
1996-05-01,0.999936,0.0,0.0
1996-05-02,0.999936,0.0,0.0
1996-05-03,0.999936,0.0,0.0
1996-05-06,1.00009,1.0116,0.9886799999999999
1996-05-07,1.00009,0.0,0.0
1996-05-08,1.00009,0.0,0.0
1996-05-09,1.00009,0.0,0.0
1996-05-10,1.00009,0.0,0.0
1996-05-13,1.00009,0.0,0.0
1996-05-14,1.00014,1.0118,0.98859
1996-05-15,1.00014,0.0,0.0
1996-05-16,1.00014,0.0,0.0
1996-05-17,1.00014,0.0,0.0
1996-05-20,1.00014,0.0,0.0
1996-05-21,1.00014,0.0,0.0
1996-05-22,1.00014,0.0,0.0
1996-05-23,1.00014,0.0,0.0
1996-05-24,1.00014,0.0,0.0
1996-05-27,1.00014,0.0,0.0
1996-05-28,1.00014,0.0,0.0
1996-05-29,1.00014,0.0,0.0
1996-05-30,1.00014,0.0,0.0
1996-05-31,1.00014,0.0,0.0
1996-06-03,1.00014,0.0,0.0
1996-06-04,1.00014,0.0,0.0
1996-06-05,1.00014,0.0,0.0
1996-06-06,1.00014,0.0,0.0
1996-06-07,1.00014,0.0,0.0
1996-06-10,1.00014,0.0,0.0
1996-06-11,1.00014,0.0,0.0
1996-06-12,1.00014,0.0,0.0
1996-06-13,1.00014,0.0,0.0
1996-06-14,1.00014,0.0,0.0
1996-06-17,1.00014,0.0,0.0
1996-06-18,1.00014,0.0,0.0
1996-06-19,1.00014,0.0,0.0
1996-06-20,1.00014,0.0,0.0
1996-06-21,1.00014,0.0,0.0
1996-06-24,1.00014,0.0,0.0
1996-06-25,1.00014,0.0,0.0
1996-06-26,1.00014,0.0,0.0
1996-06-27,1.00014,0.0,0.0
1996-06-28,1.00029,1.0124,0.98829
1996-07-01,1.00021,1.0119,0.98867
1996-07-02,1.00021,0.0,0.0
1996-07-03,1.00021,0.0,0.0
1996-07-04,1.00021,0.0,0.0
1996-07-05,1.00021,0.0,0.0
1996-07-08,1.00021,0.0,0.0
1996-07-09,1.00021,0.0,0.0
1996-07-10,1.00021,0.0,0.0
1996-07-11,1.00021,0.0,0.0
1996-07-12,1.00021,0.0,0.0
1996-07-15,1.00016,1.0117,0.98875
1996-07-16,1.00016,0.0,0.0
1996-07-17,1.00016,0.0,0.0
1996-07-18,1.00016,0.0,0.0
1996-07-19,1.00016,0.0,0.0
1996-07-22,1.00016,0.0,0.0
1996-07-23,1.00016,0.0,0.0
1996-07-24,1.0,0.0,0.0
1996-07-25,0.999877,0.0,0.0
1996-07-26,0.999864,1.0121,0.9878100000000001
1996-07-29,0.999864,0.0,0.0
1996-07-30,0.999864,0.0,0.0
1996-07-31,1.0,0.0,0.0
1996-08-01,1.0,0.0,0.0
1996-08-02,1.0,0.0,0.0
1996-08-05,1.0,0.0,0.0
1996-08-06,1.0,0.0,0.0
1996-08-07,1.0,0.0,0.0
1996-08-08,1.00013,1.0117,0.9887100000000001
1996-08-09,1.00013,0.0,0.0
1996-08-12,1.00013,0.0,0.0
1996-08-13,1.00013,0.0,0.0
1996-08-14,1.00013,0.0,0.0
1996-08-15,1.00013,0.0,0.0
1996-08-16,1.0,0.0,0.0
1996-08-19,1.0,0.0,0.0
1996-08-20,1.0,0.0,0.0
1996-08-21,1.0,0.0,0.0
1996-08-22,1.0,0.0,0.0
1996-08-23,0.9998049999999999,1.0122,0.98754
1996-08-26,0.9998049999999999,0.0,0.0
1996-08-27,0.9998049999999999,0.0,0.0
1996-08-28,0.9998049999999999,0.0,0.0
1996-08-29,0.9998290000000001,1.012,0.98777
1996-08-30,0.9998379999999999,0.0,0.0
