Date,Rate,High (est),Low (est)
1996-09-09,0.00436403,0.0044165,0.0043122
1996-09-10,0.00436403,0.0,0.0
1996-09-11,0.00436403,0.0,0.0
1996-09-12,0.00436403,0.0,0.0
1996-09-13,0.00436403,0.0,0.0
1996-09-16,0.0043362999999999995,0.0043877,0.004285499999999999
1996-09-17,0.0043362999999999995,0.0,0.0
1996-09-18,0.0043362999999999995,0.0,0.0
1996-09-19,0.0043362999999999995,0.0,0.0
1996-09-20,0.0043362999999999995,0.0,0.0
1996-09-23,0.00423941,0.0,0.0
1996-09-24,0.0042637000000000005,0.0043142,0.0042138
1996-09-25,0.0042637000000000005,0.0,0.0
1996-09-26,0.0042637000000000005,0.0,0.0
1996-09-27,0.0042637000000000005,0.0,0.0
1996-09-30,0.0042637000000000005,0.0,0.0
1996-10-01,0.00436403,0.0044165,0.0043122
1996-10-02,0.00446215,0.004511600000000001,0.0044133
1996-10-03,0.00446215,0.0,0.0
1996-10-04,0.00462731,0.004682,0.0045732
1996-10-07,0.00463941,0.0,0.0
1996-10-08,0.00463941,0.0,0.0
1996-10-09,0.00463941,0.0,0.0
1996-10-10,0.00463941,0.0,0.0
1996-10-11,0.00463941,0.0,0.0
1996-10-14,0.00463941,0.0,0.0
1996-10-15,0.00463941,0.0,0.0
1996-10-16,0.00463941,0.0,0.0
1996-10-17,0.00463941,0.0,0.0
1996-10-18,0.00453785,0.0045881,0.0044881
1996-10-21,0.00443597,0.0044893,0.0043833
1996-10-22,0.00443597,0.0,0.0
1996-10-23,0.0043362999999999995,0.0043877,0.004285499999999999
1996-10-24,0.00417232,0.0042221,0.0041232
1996-10-25,0.00416059,0.0,0.0
1996-10-28,0.00416059,0.0,0.0
1996-10-29,0.00416059,0.0,0.0
1996-10-30,0.00416059,0.0,0.0
1996-10-31,0.00413616,0.0041855,0.004087400000000001
1996-11-01,0.00413616,0.0,0.0
1996-11-04,0.0040395000000000006,0.0,0.0
1996-11-05,0.0040395000000000006,0.0,0.0
1996-11-06,0.0040395000000000006,0.0,0.0
1996-11-07,0.0040395000000000006,0.0,0.0
1996-11-08,0.0040395000000000006,0.0,0.0
1996-11-11,0.0040395000000000006,0.0,0.0
1996-11-12,0.00393988,0.0,0.0
1996-11-13,0.00393988,0.0,0.0
1996-11-14,0.00377641,0.0,0.0
1996-11-15,0.00377641,0.0,0.0
1996-11-18,0.00363884,0.0,0.0
1996-11-19,0.00363884,0.0,0.0
1996-11-20,0.00363884,0.0,0.0
1996-11-21,0.00363884,0.0,0.0
1996-11-22,0.00363884,0.0,0.0
1996-11-25,0.00363884,0.0,0.0
1996-11-26,0.00363884,0.0,0.0
1996-11-27,0.00315385,0.0031913,0.0031169
1996-11-28,0.00283669,0.0028698,0.002804
1996-11-29,0.00283669,0.0,0.0
1996-12-02,0.00283669,0.0,0.0
1996-12-03,0.0026753,0.0027052,0.0026456999999999995
1996-12-04,0.0026753,0.0,0.0
