Date,Rate,High (est),Low (est)
1994-10-18,2.65236,0.0,0.0
1994-10-19,2.65236,0.0,0.0
1994-10-20,2.65236,0.0,0.0
1994-10-21,2.65236,0.0,0.0
1994-10-24,2.65236,0.0,0.0
1994-10-25,2.65246,2.6851,2.6202
1994-10-26,2.65246,0.0,0.0
1994-10-27,2.65024,2.6803,2.6206
1994-10-28,2.6467,2.677,2.6167
1994-10-31,2.6499900000000003,2.6826,2.6177
1994-11-01,2.6499900000000003,0.0,0.0
1994-11-02,2.65263,2.6843,2.6213
1994-11-03,2.65257,2.6852,2.6203
1994-11-04,2.65257,0.0,0.0
1994-11-07,2.65257,0.0,0.0
1994-11-08,2.65257,0.0,0.0
1994-11-09,2.65257,0.0,0.0
1994-11-10,2.65257,0.0,0.0
1994-11-11,2.65257,0.0,0.0
1994-11-14,2.65268,0.0,0.0
1994-11-15,2.65255,0.0,0.0
1994-11-16,2.65255,0.0,0.0
1994-11-17,2.65255,0.0,0.0
1994-11-18,2.65255,0.0,0.0
1994-11-21,2.65255,0.0,0.0
1994-11-22,2.65255,0.0,0.0
1994-11-23,2.65255,0.0,0.0
1994-11-24,2.65255,0.0,0.0
1994-11-25,2.65255,0.0,0.0
1994-11-28,2.65234,2.6846,2.6205
1994-11-29,2.65236,0.0,0.0
1994-11-30,2.65236,0.0,0.0
1994-12-01,2.65246,2.6851,2.6202
1994-12-02,2.65246,0.0,0.0
1994-12-05,2.6524400000000004,0.0,0.0
1994-12-06,2.6524400000000004,0.0,0.0
1994-12-07,2.6524400000000004,0.0,0.0
1994-12-08,2.6524400000000004,0.0,0.0
1994-12-09,2.6524400000000004,0.0,0.0
1994-12-12,2.6524400000000004,0.0,0.0
1994-12-13,2.6524400000000004,0.0,0.0
1994-12-14,2.6524400000000004,0.0,0.0
1994-12-15,2.6524400000000004,0.0,0.0
1994-12-16,2.6524400000000004,0.0,0.0
1994-12-19,2.6524400000000004,0.0,0.0
1994-12-20,2.6524400000000004,0.0,0.0
1994-12-21,2.6524400000000004,0.0,0.0
1994-12-22,2.6524400000000004,0.0,0.0
1994-12-23,2.6524400000000004,0.0,0.0
1994-12-26,2.65246,2.6851,2.6202
1994-12-27,2.65246,0.0,0.0
1994-12-28,2.65246,0.0,0.0
1994-12-29,2.65246,0.0,0.0
1994-12-30,2.65246,0.0,0.0
1995-01-02,2.6524400000000004,0.0,0.0
1995-01-03,2.65246,2.6851,2.6202
1995-01-04,2.65246,0.0,0.0
1995-01-05,2.65246,0.0,0.0
