Date,Rate,High (est),Low (est)
1996-03-29,0.709075,0.71716,0.70108
1996-04-01,0.709075,0.0,0.0
1996-04-02,0.709075,0.0,0.0
1996-04-03,0.709075,0.0,0.0
1996-04-04,0.7113550000000001,0.7195,0.7033
1996-04-05,0.7113550000000001,0.0,0.0
1996-04-08,0.7113550000000001,0.0,0.0
1996-04-09,0.7113550000000001,0.0,0.0
1996-04-10,0.7113550000000001,0.0,0.0
1996-04-11,0.7113550000000001,0.0,0.0
1996-04-12,0.71016,0.0,0.0
1996-04-15,0.71016,0.0,0.0
1996-04-16,0.71016,0.0,0.0
1996-04-17,0.71016,0.0,0.0
1996-04-18,0.71016,0.0,0.0
1996-04-19,0.71016,0.0,0.0
1996-04-22,0.709996,0.7185199999999999,0.70157
1996-04-23,0.709996,0.0,0.0
1996-04-24,0.709996,0.0,0.0
1996-04-25,0.709996,0.0,0.0
1996-04-26,0.71031,0.71854,0.70217
1996-04-29,0.71031,0.0,0.0
1996-04-30,0.71031,0.0,0.0
1996-05-01,0.71031,0.0,0.0
1996-05-02,0.71031,0.0,0.0
1996-05-03,0.711299,0.0,0.0
1996-05-06,0.711299,0.0,0.0
1996-05-07,0.711299,0.0,0.0
1996-05-08,0.711299,0.0,0.0
1996-05-09,0.711299,0.0,0.0
1996-05-10,0.711299,0.0,0.0
1996-05-13,0.711299,0.0,0.0
1996-05-14,0.711299,0.0,0.0
1996-05-15,0.711299,0.0,0.0
1996-05-16,0.711299,0.0,0.0
1996-05-17,0.710863,0.7191,0.70272
1996-05-20,0.710863,0.0,0.0
1996-05-21,0.710863,0.0,0.0
1996-05-22,0.710863,0.0,0.0
1996-05-23,0.710863,0.0,0.0
1996-05-24,0.710863,0.0,0.0
1996-05-27,0.709832,0.0,0.0
1996-05-28,0.709832,0.0,0.0
1996-05-29,0.709832,0.0,0.0
1996-05-30,0.709832,0.0,0.0
1996-05-31,0.709096,0.71726,0.70102
1996-06-03,0.709096,0.0,0.0
1996-06-04,0.709096,0.0,0.0
1996-06-05,0.709096,0.0,0.0
1996-06-06,0.709096,0.0,0.0
1996-06-07,0.709096,0.0,0.0
1996-06-10,0.709623,0.7179,0.70144
1996-06-11,0.709623,0.0,0.0
1996-06-12,0.709623,0.0,0.0
1996-06-13,0.709623,0.0,0.0
1996-06-14,0.710037,0.71832,0.70185
1996-06-17,0.710037,0.0,0.0
1996-06-18,0.710037,0.0,0.0
1996-06-19,0.710037,0.0,0.0
1996-06-20,0.710037,0.0,0.0
1996-06-21,0.709754,0.0,0.0
1996-06-24,0.709754,0.0,0.0
1996-06-25,0.709754,0.0,0.0
1996-06-26,0.709754,0.0,0.0
1996-06-27,0.709754,0.0,0.0
1996-06-28,0.709296,0.0,0.0
1996-07-01,0.709296,0.0,0.0
1996-07-02,0.709296,0.0,0.0
1996-07-03,0.709296,0.0,0.0
1996-07-04,0.709296,0.0,0.0
1996-07-05,0.707874,0.7165600000000001,0.69929
1996-07-08,0.707874,0.0,0.0
1996-07-09,0.707874,0.0,0.0
1996-07-10,0.707874,0.0,0.0
1996-07-11,0.707874,0.0,0.0
1996-07-12,0.7065130000000001,0.71446,0.6986600000000001
1996-07-15,0.7065130000000001,0.0,0.0
1996-07-16,0.7065130000000001,0.0,0.0
1996-07-17,0.7065130000000001,0.0,0.0
1996-07-18,0.7065130000000001,0.0,0.0
1996-07-19,0.705728,0.7135100000000001,0.69803
1996-07-22,0.705728,0.0,0.0
1996-07-23,0.705728,0.0,0.0
1996-07-24,0.705728,0.0,0.0
1996-07-25,0.705728,0.0,0.0
1996-07-26,0.705821,0.71435,0.69739
1996-07-29,0.705821,0.0,0.0
1996-07-30,0.705821,0.0,0.0
1996-07-31,0.705821,0.0,0.0
1996-08-01,0.705821,0.0,0.0
1996-08-02,0.706383,0.7148,0.69806
1996-08-05,0.706383,0.0,0.0
1996-08-06,0.706383,0.0,0.0
1996-08-07,0.706383,0.0,0.0
1996-08-08,0.706383,0.0,0.0
1996-08-09,0.706288,0.71423,0.69843
1996-08-12,0.706288,0.0,0.0
1996-08-13,0.706288,0.0,0.0
1996-08-14,0.706288,0.0,0.0
1996-08-15,0.706288,0.0,0.0
1996-08-16,0.70797,0.0,0.0
1996-08-19,0.70797,0.0,0.0
1996-08-20,0.70797,0.0,0.0
1996-08-21,0.70797,0.0,0.0
1996-08-22,0.70797,0.0,0.0
1996-08-23,0.708814,0.71743,0.7003
1996-08-26,0.708814,0.0,0.0
1996-08-27,0.708814,0.0,0.0
1996-08-28,0.708814,0.0,0.0
1996-08-29,0.708814,0.0,0.0
1996-08-30,0.709868,0.0,0.0
1996-09-02,0.709868,0.0,0.0
1996-09-03,0.709868,0.0,0.0
1996-09-04,0.709868,0.0,0.0
1996-09-05,0.709868,0.0,0.0
1996-09-06,0.711011,0.7188899999999999,0.70322
1996-09-09,0.711011,0.0,0.0
1996-09-10,0.711011,0.0,0.0
1996-09-11,0.711011,0.0,0.0
1996-09-12,0.711011,0.0,0.0
1996-09-13,0.711011,0.0,0.0
1996-09-16,0.710106,0.0,0.0
1996-09-17,0.710106,0.0,0.0
1996-09-18,0.710106,0.0,0.0
1996-09-19,0.710106,0.0,0.0
1996-09-20,0.709655,0.71812,0.70129
1996-09-23,0.709655,0.0,0.0
1996-09-24,0.709655,0.0,0.0
1996-09-25,0.709655,0.0,0.0
1996-09-26,0.709655,0.0,0.0
1996-09-27,0.7100529999999999,0.71828,0.70192
1996-09-30,0.7100529999999999,0.0,0.0
1996-10-01,0.7100529999999999,0.0,0.0
1996-10-02,0.7100529999999999,0.0,0.0
1996-10-03,0.7100529999999999,0.0,0.0
1996-10-04,0.709318,0.71749,0.70124
1996-10-07,0.709318,0.0,0.0
1996-10-08,0.709318,0.0,0.0
1996-10-09,0.709318,0.0,0.0
1996-10-10,0.709318,0.0,0.0
1996-10-11,0.709439,0.7179,0.70107
1996-10-14,0.709439,0.0,0.0
1996-10-15,0.709439,0.0,0.0
1996-10-16,0.709439,0.0,0.0
1996-10-17,0.709439,0.0,0.0
1996-10-18,0.70792,0.7167100000000001,0.69924
1996-10-21,0.70792,0.0,0.0
1996-10-22,0.70792,0.0,0.0
1996-10-23,0.70792,0.0,0.0
1996-10-24,0.70792,0.0,0.0
1996-10-25,0.706152,0.71402,0.6983699999999999
1996-10-28,0.706152,0.0,0.0
1996-10-29,0.706152,0.0,0.0
1996-10-30,0.706152,0.0,0.0
1996-10-31,0.706152,0.0,0.0
1996-11-01,0.708095,0.0,0.0
1996-11-04,0.708095,0.0,0.0
1996-11-05,0.708095,0.0,0.0
1996-11-06,0.708095,0.0,0.0
1996-11-07,0.708095,0.0,0.0
1996-11-08,0.712961,0.0,0.0
1996-11-11,0.712961,0.0,0.0
1996-11-12,0.712961,0.0,0.0
1996-11-13,0.712961,0.0,0.0
1996-11-14,0.712961,0.0,0.0
1996-11-15,0.714538,0.7225600000000001,0.7066
1996-11-18,0.714538,0.0,0.0
1996-11-19,0.714538,0.0,0.0
1996-11-20,0.714538,0.0,0.0
1996-11-21,0.714538,0.0,0.0
1996-11-22,0.7139449999999999,0.72245,0.70554
1996-11-25,0.7139449999999999,0.0,0.0
1996-11-26,0.7139449999999999,0.0,0.0
1996-11-27,0.7139449999999999,0.0,0.0
1996-11-28,0.7139449999999999,0.0,0.0
1996-11-29,0.7134229999999999,0.72158,0.70535
1996-12-02,0.7134229999999999,0.0,0.0
1996-12-03,0.7134229999999999,0.0,0.0
1996-12-04,0.7134229999999999,0.0,0.0
1996-12-05,0.7134229999999999,0.0,0.0
1996-12-06,0.713583,0.72209,0.70518
1996-12-09,0.713583,0.0,0.0
1996-12-10,0.713583,0.0,0.0
1996-12-11,0.713583,0.0,0.0
1996-12-12,0.713583,0.0,0.0
1996-12-13,0.713583,0.0,0.0
1996-12-16,0.714221,0.0,0.0
1996-12-17,0.714221,0.0,0.0
1996-12-18,0.714221,0.0,0.0
1996-12-19,0.714221,0.0,0.0
1996-12-20,0.714221,0.0,0.0
1996-12-23,0.714221,0.0,0.0
1996-12-24,0.714221,0.0,0.0
1996-12-25,0.714221,0.0,0.0
1996-12-26,0.714221,0.0,0.0
1996-12-27,0.71438,0.0,0.0
1996-12-30,0.71438,0.0,0.0
1996-12-31,0.71438,0.0,0.0
1997-01-01,0.71438,0.0,0.0
1997-01-02,0.71438,0.0,0.0
1997-01-03,0.71438,0.0,0.0
1997-01-06,0.71438,0.0,0.0
1997-01-07,0.71438,0.0,0.0
1997-01-08,0.71438,0.0,0.0
1997-01-09,0.71438,0.0,0.0
1997-01-10,0.71438,0.0,0.0
1997-01-13,0.712896,0.0,0.0
1997-01-14,0.712896,0.0,0.0
1997-01-15,0.712896,0.0,0.0
1997-01-16,0.712896,0.0,0.0
1997-01-17,0.710797,0.71909,0.7026
1997-01-20,0.710797,0.0,0.0
1997-01-21,0.710797,0.0,0.0
1997-01-22,0.710797,0.0,0.0
1997-01-23,0.710797,0.0,0.0
1997-01-24,0.710225,0.71827,0.70227
1997-01-27,0.710225,0.0,0.0
1997-01-28,0.710225,0.0,0.0
1997-01-29,0.710225,0.0,0.0
1997-01-30,0.710225,0.0,0.0
1997-01-31,0.710225,0.0,0.0
1997-02-03,0.710225,0.0,0.0
1997-02-04,0.710225,0.0,0.0
1997-02-05,0.710225,0.0,0.0
1997-02-06,0.710225,0.0,0.0
1997-02-07,0.710225,0.0,0.0
1997-02-10,0.710225,0.0,0.0
1997-02-11,0.710225,0.0,0.0
1997-02-12,0.710225,0.0,0.0
1997-02-13,0.710225,0.0,0.0
1997-02-14,0.710225,0.0,0.0
1997-02-17,0.710225,0.0,0.0
1997-02-18,0.710225,0.0,0.0
1997-02-19,0.710225,0.0,0.0
1997-02-20,0.712704,0.0,0.0
1997-02-21,0.712704,0.0,0.0
1997-02-24,0.712704,0.0,0.0
1997-02-25,0.712704,0.0,0.0
1997-02-26,0.712704,0.0,0.0
1997-02-27,0.712704,0.0,0.0
1997-02-28,0.712704,0.0,0.0
1997-03-03,0.712704,0.0,0.0
1997-03-04,0.712704,0.0,0.0
1997-03-05,0.712704,0.0,0.0
1997-03-06,0.712704,0.0,0.0
1997-03-07,0.712704,0.0,0.0
1997-03-10,0.712704,0.0,0.0
1997-03-11,0.712704,0.0,0.0
1997-03-12,0.712704,0.0,0.0
1997-03-13,0.712704,0.0,0.0
1997-03-14,0.712704,0.0,0.0
1997-03-17,0.712704,0.0,0.0
1997-03-18,0.712704,0.0,0.0
1997-03-19,0.712704,0.0,0.0
1997-03-20,0.712704,0.0,0.0
1997-03-21,0.712704,0.0,0.0
1997-03-24,0.712704,0.0,0.0
1997-03-25,0.712704,0.0,0.0
1997-03-26,0.712704,0.0,0.0
1997-03-27,0.6996979999999999,0.70792,0.69158
1997-03-28,0.6996979999999999,0.0,0.0
1997-03-31,0.6996979999999999,0.0,0.0
1997-04-01,0.6996979999999999,0.0,0.0
1997-04-02,0.6996979999999999,0.0,0.0
1997-04-03,0.6996979999999999,0.0,0.0
1997-04-04,0.694245,0.0,0.0
1997-04-07,0.694245,0.0,0.0
1997-04-08,0.694245,0.0,0.0
1997-04-09,0.694245,0.0,0.0
1997-04-10,0.694245,0.0,0.0
1997-04-11,0.695838,0.0,0.0
1997-04-14,0.695838,0.0,0.0
1997-04-15,0.695838,0.0,0.0
1997-04-16,0.695838,0.0,0.0
1997-04-17,0.695838,0.0,0.0
1997-04-18,0.695838,0.0,0.0
1997-04-21,0.694641,0.70295,0.68643
1997-04-22,0.694641,0.0,0.0
1997-04-23,0.694641,0.0,0.0
1997-04-24,0.694641,0.0,0.0
1997-04-25,0.693086,0.70118,0.68509
1997-04-28,0.693086,0.0,0.0
1997-04-29,0.693086,0.0,0.0
1997-04-30,0.693086,0.0,0.0
1997-05-01,0.693086,0.0,0.0
1997-05-02,0.691738,0.69986,0.68371
1997-05-05,0.691738,0.0,0.0
1997-05-06,0.691738,0.0,0.0
1997-05-07,0.691738,0.0,0.0
1997-05-08,0.691738,0.0,0.0
1997-05-09,0.691738,0.0,0.0
1997-05-12,0.69155,0.6993199999999999,0.68387
1997-05-13,0.69155,0.0,0.0
1997-05-14,0.69155,0.0,0.0
1997-05-15,0.69155,0.0,0.0
1997-05-16,0.69575,0.7035100000000001,0.68808
1997-05-19,0.69575,0.0,0.0
1997-05-20,0.69575,0.0,0.0
1997-05-21,0.69575,0.0,0.0
1997-05-22,0.69575,0.0,0.0
1997-05-23,0.69575,0.0,0.0
1997-05-26,0.69575,0.0,0.0
1997-05-27,0.69575,0.0,0.0
1997-05-28,0.69575,0.0,0.0
1997-05-29,0.69575,0.0,0.0
1997-05-30,0.6989850000000001,0.0,0.0
1997-06-02,0.6989850000000001,0.0,0.0
1997-06-03,0.6989850000000001,0.0,0.0
1997-06-04,0.6989850000000001,0.0,0.0
1997-06-05,0.6989850000000001,0.0,0.0
1997-06-06,0.699439,0.0,0.0
1997-06-09,0.699439,0.0,0.0
1997-06-10,0.699439,0.0,0.0
1997-06-11,0.699439,0.0,0.0
1997-06-12,0.699439,0.0,0.0
1997-06-13,0.700604,0.7088,0.6925100000000001
