Date,Rate,High (est),Low (est)
1994-10-18,0.371393,0.3758,0.36703
1994-10-19,0.372277,0.37651999999999997,0.36808
1994-10-20,0.37288499999999997,0.37738,0.36844
1994-10-21,0.37354699999999996,0.37799,0.36915
1994-10-24,0.374248,0.37873,0.36982
1994-10-25,0.374248,0.0,0.0
1994-10-26,0.374248,0.0,0.0
1994-10-27,0.37488499999999997,0.37940999999999997,0.37041999999999997
1994-10-28,0.37535300000000005,0.3797,0.37106
1994-10-31,0.375184,0.37953000000000003,0.37089
1994-11-01,0.374879,0.0,0.0
1994-11-02,0.37505900000000003,0.37971,0.37046
1994-11-03,0.374752,0.37924,0.37032
1994-11-04,0.374816,0.37916,0.37051999999999996
1994-11-07,0.37468,0.37917,0.37025
1994-11-08,0.373886,0.0,0.0
1994-11-09,0.37332,0.0,0.0
1994-11-10,0.37255900000000003,0.37705,0.36812
1994-11-11,0.372708,0.37708,0.36838000000000004
1994-11-14,0.372487,0.37696999999999997,0.36805
1994-11-15,0.372328,0.37683,0.36788000000000004
1994-11-16,0.37162199999999995,0.37623,0.36707
1994-11-17,0.37139,0.3757,0.36713
1994-11-18,0.37139,0.0,0.0
1994-11-21,0.369913,0.0,0.0
1994-11-22,0.369089,0.37331,0.36491999999999997
1994-11-23,0.369136,0.3736,0.36473
1994-11-24,0.369611,0.37403000000000003,0.36525
1994-11-25,0.370093,0.37463,0.36562
1994-11-28,0.370077,0.0,0.0
1994-11-29,0.370129,0.37466,0.36565
1994-11-30,0.36892199999999997,0.37333,0.36457
1994-12-01,0.367765,0.37184,0.36374
1994-12-02,0.366915,0.37149,0.36239
1994-12-05,0.36622,0.37049,0.36200000000000004
1994-12-06,0.366127,0.37038000000000004,0.36191999999999996
1994-12-07,0.366848,0.3714,0.36235
1994-12-08,0.366848,0.0,0.0
1994-12-09,0.366638,0.37075,0.36257
1994-12-12,0.366638,0.0,0.0
1994-12-13,0.36649499999999996,0.37106999999999996,0.36198
1994-12-14,0.366347,0.37061,0.36213
1994-12-15,0.366262,0.37037,0.3622
1994-12-16,0.366262,0.0,0.0
1994-12-19,0.366602,0.0,0.0
1994-12-20,0.36718,0.37146,0.36295
1994-12-21,0.367336,0.37168,0.36304000000000003
1994-12-22,0.366676,0.37079,0.36261
1994-12-23,0.36794299999999996,0.0,0.0
