Date,Rate,High (est),Low (est)
1991-03-05,0.865535,0.87626,0.8549399999999999
1991-03-06,0.863836,0.8741899999999999,0.8536
1991-03-07,0.862775,0.8724700000000001,0.85319
1991-03-08,0.861554,0.87175,0.8514700000000001
1991-03-11,0.860349,0.0,0.0
1991-03-12,0.8637389999999999,0.0,0.0
1991-03-13,0.8666450000000001,0.87689,0.8565200000000001
1991-03-14,0.8668370000000001,0.87661,0.8571799999999999
1991-03-15,0.866051,0.87575,0.85646
1991-03-18,0.8661620000000001,0.87587,0.85656
1991-03-19,0.865983,0.8766299999999999,0.8554700000000001
1991-03-20,0.864727,0.0,0.0
1991-03-21,0.864762,0.0,0.0
1991-03-22,0.8643350000000001,0.0,0.0
1991-03-25,0.8626360000000001,0.87328,0.8521200000000001
1991-03-26,0.8617450000000001,0.8719600000000001,0.85165
1991-03-27,0.8617879999999999,0.8715799999999999,0.8521
1991-03-28,0.862577,0.0,0.0
1991-03-29,0.863124,0.87271,0.85364
1991-04-01,0.8632629999999999,0.87311,0.8535200000000001
1991-04-02,0.8641049999999999,0.0,0.0
1991-04-03,0.865224,0.8749100000000001,0.85564
1991-04-04,0.865474,0.8753799999999999,0.8556799999999999
1991-04-05,0.8659530000000001,0.0,0.0
1991-04-08,0.866492,0.87695,0.85616
1991-04-09,0.8671700000000001,0.87728,0.8571700000000001
1991-04-10,0.867821,0.87831,0.85746
1991-04-11,0.8682559999999999,0.87871,0.85793
1991-04-12,0.8688319999999999,0.0,0.0
1991-04-15,0.8697219999999999,0.8794,0.86015
1991-04-16,0.870552,0.88125,0.85998
1991-04-17,0.8703639999999999,0.88005,0.8607899999999999
1991-04-18,0.8687520000000001,0.87925,0.8583799999999999
1991-04-19,0.866914,0.0,0.0
1991-04-22,0.8642299999999999,0.0,0.0
1991-04-23,0.863959,0.87428,0.85375
1991-04-24,0.865748,0.87545,0.85615
1991-04-25,0.866867,0.0,0.0
1991-04-26,0.867866,0.87821,0.85764
1991-04-29,0.8676280000000001,0.0,0.0
1991-04-30,0.868187,0.0,0.0
1991-05-01,0.8685440000000001,0.879,0.85821
1991-05-02,0.869257,0.0,0.0
1991-05-03,0.8690209999999999,0.87985,0.8583200000000001
1991-05-06,0.868663,0.8786200000000001,0.85882
1991-05-07,0.868884,0.0,0.0
1991-05-08,0.86874,0.8795700000000001,0.8580399999999999
1991-05-09,0.8679030000000001,0.87802,0.8579
1991-05-10,0.8680110000000001,0.87836,0.8577899999999999
1991-05-13,0.869025,0.0,0.0
1991-05-14,0.869253,0.0,0.0
1991-05-15,0.8691639999999999,0.8794299999999999,0.8590200000000001
1991-05-16,0.869898,0.88008,0.8598299999999999
