Date,Rate,High (est),Low (est)
1996-09-09,0.037962699999999995,0.038394,0.037536
1996-09-10,0.0379374,0.038364999999999996,0.037514
1996-09-11,0.037705300000000004,0.038175,0.037242000000000004
1996-09-12,0.037705300000000004,0.0,0.0
1996-09-13,0.037705300000000004,0.0,0.0
1996-09-16,0.0377216,0.0,0.0
1996-09-17,0.0377399,0.0,0.0
1996-09-18,0.0377399,0.0,0.0
1996-09-19,0.0377608,0.0,0.0
1996-09-20,0.0376101,0.038048,0.037176999999999995
1996-09-23,0.037316699999999994,0.0,0.0
1996-09-24,0.037316699999999994,0.0,0.0
1996-09-25,0.0372643,0.037718,0.036816
1996-09-26,0.037177800000000004,0.0,0.0
1996-09-27,0.037177800000000004,0.0,0.0
1996-09-30,0.037177800000000004,0.0,0.0
1996-10-01,0.0370378,0.03745,0.03663
1996-10-02,0.0370378,0.0,0.0
1996-10-03,0.036875,0.03729,0.036465
1996-10-04,0.0367389,0.0,0.0
1996-10-07,0.0365712,0.037017,0.03613
1996-10-08,0.0366875,0.0371,0.03628
1996-10-09,0.0366875,0.0,0.0
1996-10-10,0.036864999999999995,0.037325,0.036410000000000005
1996-10-11,0.0368375,0.037252,0.036427999999999995
1996-10-14,0.036864999999999995,0.037325,0.036410000000000005
1996-10-15,0.0367778,0.0,0.0
1996-10-16,0.0367625,0.037176,0.036354000000000004
1996-10-17,0.0367389,0.0,0.0
1996-10-18,0.0366355,0.037085,0.036192
1996-10-21,0.0366611,0.0,0.0
1996-10-22,0.0367625,0.037176,0.036354000000000004
1996-10-23,0.0369245,0.037335,0.036518
1996-10-24,0.0370611,0.0,0.0
1996-10-25,0.0371611,0.0,0.0
1996-10-28,0.0371611,0.0,0.0
1996-10-29,0.0372643,0.037718,0.036816
1996-10-30,0.0372389,0.0,0.0
1996-10-31,0.0371389,0.0,0.0
1996-11-01,0.0371389,0.0,0.0
1996-11-04,0.0371611,0.0,0.0
1996-11-05,0.0371611,0.0,0.0
1996-11-06,0.0371389,0.0,0.0
1996-11-07,0.0371611,0.0,0.0
1996-11-08,0.0371611,0.0,0.0
1996-11-11,0.0372643,0.037718,0.036816
1996-11-12,0.0372643,0.0,0.0
1996-11-13,0.0372389,0.0,0.0
1996-11-14,0.0372389,0.0,0.0
1996-11-15,0.0372389,0.0,0.0
1996-11-18,0.0373215,0.0,0.0
1996-11-19,0.0373215,0.0,0.0
1996-11-20,0.037463300000000005,0.0379,0.037032
1996-11-21,0.037463300000000005,0.0,0.0
1996-11-22,0.0375649,0.038033,0.037103
1996-11-25,0.037407,0.037862,0.036957
1996-11-26,0.037177800000000004,0.0,0.0
1996-11-27,0.037177800000000004,0.0,0.0
1996-11-28,0.0370378,0.03745,0.03663
1996-11-29,0.0370378,0.0,0.0
1996-12-02,0.036875,0.03729,0.036465
1996-12-03,0.0365423,0.036989,0.036101
1996-12-04,0.0365423,0.0,0.0
1996-12-05,0.0365423,0.0,0.0
1996-12-06,0.036529,0.036976999999999996,0.036087
1996-12-09,0.0364712,0.036917,0.036031
1996-12-10,0.0364712,0.0,0.0
1996-12-11,0.036583300000000006,0.0,0.0
1996-12-12,0.036583300000000006,0.0,0.0
1996-12-13,0.0367625,0.037176,0.036354000000000004
1996-12-16,0.0366068,0.037052999999999996,0.036166000000000004
1996-12-17,0.0366222,0.0,0.0
1996-12-18,0.0365712,0.037017,0.03613
1996-12-19,0.0365712,0.0,0.0
1996-12-20,0.0365712,0.0,0.0
1996-12-23,0.0365645,0.037013,0.036122
1996-12-24,0.0365645,0.0,0.0
1996-12-25,0.0365356,0.036981,0.036095
1996-12-26,0.0365645,0.037013,0.036122
1996-12-27,0.0365645,0.0,0.0
1996-12-30,0.0365645,0.0,0.0
1996-12-31,0.0365645,0.0,0.0
1997-01-01,0.0366611,0.0,0.0
1997-01-02,0.0367625,0.037176,0.036354000000000004
1997-01-03,0.036864999999999995,0.037325,0.036410000000000005
1997-01-06,0.0367778,0.0,0.0
1997-01-07,0.0367625,0.037176,0.036354000000000004
1997-01-08,0.036670999999999995,0.03712,0.036226999999999995
1997-01-09,0.036670999999999995,0.0,0.0
1997-01-10,0.036670999999999995,0.0,0.0
1997-01-13,0.036412599999999996,0.036822,0.036008
1997-01-14,0.036412599999999996,0.0,0.0
1997-01-15,0.036412599999999996,0.0,0.0
1997-01-16,0.0364935,0.036941,0.036052
1997-01-17,0.0364935,0.0,0.0
1997-01-20,0.0363451,0.036775999999999996,0.035919
1997-01-21,0.0362625,0.03667,0.03586
1997-01-22,0.0361186,0.0,0.0
1997-01-23,0.0361186,0.0,0.0
1997-01-24,0.0361186,0.0,0.0
1997-01-27,0.0359356,0.036374000000000004,0.035502
1997-01-28,0.0357795,0.0,0.0
1997-01-29,0.0357601,0.0,0.0
1997-01-30,0.0359209,0.0,0.0
1997-01-31,0.0359209,0.0,0.0
1997-02-03,0.0359209,0.0,0.0
1997-02-04,0.0361275,0.036556,0.035704
1997-02-05,0.036137199999999994,0.036549,0.03573
1997-02-06,0.036039499999999995,0.0,0.0
1997-02-07,0.0359356,0.036374000000000004,0.035502
1997-02-10,0.0359605,0.0,0.0
1997-02-11,0.0359356,0.036374000000000004,0.035502
1997-02-12,0.035718599999999996,0.0,0.0
1997-02-13,0.0352926,0.0,0.0
1997-02-14,0.035229500000000004,0.035666,0.034799000000000004
1997-02-17,0.035229500000000004,0.0,0.0
1997-02-18,0.0352377,0.035631,0.034849
1997-02-19,0.035077,0.0,0.0
1997-02-20,0.035077,0.0,0.0
1997-02-21,0.035077,0.0,0.0
1997-02-24,0.035194300000000005,0.03563,0.034763999999999996
1997-02-25,0.0352377,0.035631,0.034849
1997-02-26,0.035138499999999996,0.0,0.0
1997-02-27,0.0348585,0.0,0.0
1997-02-28,0.0345125,0.034901,0.034129
1997-03-03,0.0343378,0.034719,0.033961
1997-03-04,0.0341782,0.0,0.0
1997-03-05,0.034037300000000006,0.034423,0.033656
1997-03-06,0.0338786,0.0,0.0
1997-03-07,0.0338621,0.034237000000000004,0.033492
1997-03-10,0.0341487,0.034526999999999995,0.033774
1997-03-11,0.0343625,0.034749,0.03398
1997-03-12,0.0343378,0.034719,0.033961
1997-03-13,0.0343625,0.034749,0.03398
1997-03-14,0.0343625,0.0,0.0
1997-03-17,0.034525400000000005,0.034917000000000004,0.034138
1997-03-18,0.0345395,0.0,0.0
1997-03-19,0.0345395,0.0,0.0
1997-03-20,0.034317,0.0,0.0
1997-03-21,0.0340746,0.034461,0.033693
1997-03-24,0.034122,0.0,0.0
1997-03-25,0.034122,0.0,0.0
1997-03-26,0.0341391,0.0,0.0
1997-03-27,0.0342244,0.034604,0.033849000000000004
1997-03-28,0.0343625,0.034749,0.03398
1997-03-31,0.0343625,0.0,0.0
1997-04-01,0.034525400000000005,0.034917000000000004,0.034138
1997-04-02,0.0346604,0.0,0.0
1997-04-03,0.0346604,0.0,0.0
1997-04-04,0.0346604,0.0,0.0
1997-04-07,0.034451300000000004,0.034832999999999996,0.034073
1997-04-08,0.034112,0.034499,0.03373
1997-04-09,0.0339379,0.034312999999999996,0.033567
1997-04-10,0.0337741,0.034162,0.033391000000000004
1997-04-11,0.0335706,0.033985,0.033161
1997-04-14,0.03330809999999999,0.033707,0.032914
1997-04-15,0.0329505,0.033319,0.032586000000000004
1997-04-16,0.0329219,0.0,0.0
1997-04-17,0.0331279,0.033525,0.032736
1997-04-18,0.03326369999999999,0.033658,0.032874
1997-04-21,0.0331172,0.0,0.0
1997-04-22,0.0331172,0.0,0.0
1997-04-23,0.032937,0.033316000000000005,0.032562
1997-04-24,0.032837599999999995,0.033205,0.032474
1997-04-25,0.0327393,0.0,0.0
1997-04-28,0.0323919,0.0,0.0
1997-04-29,0.0322607,0.0,0.0
1997-04-30,0.0322607,0.0,0.0
1997-05-01,0.0323629,0.032733,0.031997000000000005
1997-05-02,0.0323629,0.0,0.0
1997-05-05,0.032339299999999994,0.0,0.0
1997-05-06,0.0323629,0.032733,0.031997000000000005
1997-05-07,0.032527099999999996,0.03291,0.032149000000000004
1997-05-08,0.0326607,0.0,0.0
1997-05-09,0.0326607,0.0,0.0
1997-05-12,0.032762400000000004,0.033129,0.0324
1997-05-13,0.0327393,0.0,0.0
1997-05-14,0.032457299999999994,0.0,0.0
1997-05-15,0.0324289,0.032826,0.032037
1997-05-16,0.0323786,0.0,0.0
1997-05-19,0.0324906,0.032873,0.032113
1997-05-20,0.0326607,0.0,0.0
1997-05-21,0.032826,0.033204000000000004,0.032451999999999995
1997-05-22,0.0325857,0.032958,0.032217
1997-05-23,0.032339299999999994,0.0,0.0
1997-05-26,0.032611900000000006,0.032977,0.032251
1997-05-27,0.0313497,0.0,0.0
1997-05-28,0.0303387,0.0,0.0
1997-05-29,0.030799400000000005,0.031145,0.030458
1997-05-30,0.0309113,0.031265,0.030561
1997-06-02,0.030558299999999997,0.0,0.0
1997-06-03,0.0303387,0.0,0.0
1997-06-04,0.030360400000000003,0.0,0.0
1997-06-05,0.030275299999999998,0.030614,0.029941000000000002
1997-06-06,0.030071299999999995,0.030438,0.029708999999999996
1997-06-09,0.0305033,0.030853,0.030157999999999997
1997-06-10,0.0309204,0.0,0.0
1997-06-11,0.0311822,0.0,0.0
1997-06-12,0.031119400000000002,0.0,0.0
1997-06-13,0.0309376,0.031284,0.030595999999999998
1997-06-16,0.0308371,0.03119,0.030488
1997-06-17,0.0309204,0.0,0.0
