Date,Rate,High (est),Low (est)
1999-09-06,1.06283,1.0757,1.0501
1999-09-07,1.05771,1.0699,1.0457
1999-09-08,1.0588899999999999,1.0714,1.0465
1999-09-09,1.0597,0.0,0.0
1999-09-10,1.05491,0.0,0.0
1999-09-13,1.04257,0.0,0.0
1999-09-14,1.03646,1.0483,1.0247
1999-09-15,1.0359399999999999,1.0477,1.0243
1999-09-16,1.03826,0.0,0.0
1999-09-17,1.03959,1.0514,1.0279
1999-09-20,1.04075,0.0,0.0
1999-09-21,1.04185,1.0538,1.0301
1999-09-22,1.04755,1.06,1.0352
1999-09-23,1.04671,1.0589,1.0346
1999-09-24,1.0464799999999999,1.0595,1.0336
1999-09-27,1.04572,1.0576,1.034
1999-09-28,1.04694,1.06,1.034
1999-09-29,1.05254,0.0,0.0
1999-09-30,1.0617,1.0741,1.0494
1999-10-01,1.0696700000000001,0.0,0.0
1999-10-04,1.07213,1.0839,1.0604
1999-10-05,1.07021,1.0823,1.0583
1999-10-06,1.07138,0.0,0.0
1999-10-07,1.07195,0.0,0.0
1999-10-08,1.0685200000000001,0.0,0.0
1999-10-11,1.06449,1.0778,1.0514
1999-10-12,1.06539,0.0,0.0
1999-10-13,1.07305,0.0,0.0
1999-10-14,1.07784,1.091,1.0648
1999-10-15,1.08325,0.0,0.0
1999-10-18,1.08663,1.0991,1.0743
1999-10-19,1.08386,0.0,0.0
1999-10-20,1.07959,1.0928,1.0666
1999-10-21,1.0781399999999999,0.0,0.0
1999-10-22,1.0780399999999999,0.0,0.0
1999-10-25,1.07165,1.0839,1.0596
1999-10-26,1.06515,1.0779,1.0525
1999-10-27,1.05964,1.0728,1.0466
1999-10-28,1.05385,0.0,0.0
1999-10-29,1.05141,1.0637,1.0392
1999-11-01,1.05345,0.0,0.0
1999-11-02,1.05283,1.0653,1.0405
1999-11-03,1.0506799999999998,0.0,0.0
1999-11-04,1.0489600000000001,1.0621,1.036
1999-11-05,1.04293,0.0,0.0
1999-11-08,1.04021,1.0531,1.0275
1999-11-09,1.04051,1.053,1.0281
1999-11-10,1.04064,0.0,0.0
1999-11-11,1.0412299999999999,0.0,0.0
1999-11-12,1.03815,1.0502,1.0262
1999-11-15,1.03318,1.045,1.0214
1999-11-16,1.03285,1.0447,1.0211
1999-11-17,1.03799,0.0,0.0
1999-11-18,1.04029,1.0527,1.028
1999-11-19,1.0344200000000001,0.0,0.0
1999-11-22,1.03128,1.0438,1.0189
1999-11-23,1.03154,1.0432,1.02
1999-11-24,1.0264799999999998,0.0,0.0
1999-11-25,1.0207899999999999,1.0333,1.0084
1999-11-26,1.0160200000000001,1.0275,1.0047
1999-11-29,1.01237,0.0,0.0
1999-11-30,1.00968,1.0222,0.99729
1999-12-01,1.00932,1.0218,0.99695
1999-12-02,1.00746,0.0,0.0
1999-12-03,1.00324,1.0158,0.9908600000000001
1999-12-06,1.01029,1.0222,0.9984799999999999
1999-12-07,1.0198399999999999,0.0,0.0
1999-12-08,1.02416,1.0362,1.0123
1999-12-09,1.0228700000000002,1.0345,1.0114
1999-12-10,1.0175,1.0292,1.0059
1999-12-13,1.01359,1.0253,1.002
1999-12-14,1.0087,1.02,0.9974799999999999
1999-12-15,1.00474,1.016,0.9935700000000001
1999-12-16,1.01081,1.0231,0.99869
1999-12-17,1.01915,0.0,0.0
1999-12-20,1.01337,1.0251,1.0018
1999-12-21,1.00929,1.0212,0.9975200000000001
1999-12-22,1.00884,0.0,0.0
1999-12-23,1.00904,1.0215,0.99671
1999-12-24,1.0119,0.0,0.0
1999-12-27,1.01325,1.0252,1.0014
1999-12-28,1.01325,0.0,0.0
1999-12-29,1.00908,1.0216,0.99669
1999-12-30,1.00534,1.0165,0.99426
1999-12-31,1.00534,0.0,0.0
2000-01-03,1.0050700000000001,0.0,0.0
2000-01-04,1.01799,0.0,0.0
2000-01-05,1.02891,0.0,0.0
2000-01-06,1.03169,0.0,0.0
2000-01-07,1.03195,0.0,0.0
2000-01-10,1.03019,1.0427,1.0178
2000-01-11,1.02693,1.0384,1.0156
2000-01-12,1.03041,1.0418,1.0191
2000-01-13,1.03173,1.0443,1.0193
2000-01-14,1.02772,0.0,0.0
2000-01-17,1.0188,0.0,0.0
2000-01-18,1.01247,1.0247,1.0004
2000-01-19,1.01264,1.0245,1.0009
2000-01-20,1.01276,0.0,0.0
2000-01-21,1.0155,1.0267,1.0044
2000-01-24,1.01221,1.024,1.0006
2000-01-25,1.0075100000000001,1.0188,0.99631
2000-01-26,1.00321,1.0155,0.9910700000000001
2000-01-27,1.00171,1.0129,0.9906299999999999
2000-01-28,0.9931129999999999,1.0053,0.9810399999999999
2000-01-31,0.9815709999999999,0.0,0.0
2000-02-01,0.973031,0.0,0.0
2000-02-02,0.9714520000000001,0.0,0.0
2000-02-03,0.974671,0.98574,0.96373
2000-02-04,0.985417,0.9974700000000001,0.97351
2000-02-07,0.986526,0.9974200000000001,0.97575
2000-02-08,0.981693,0.99315,0.9703700000000001
2000-02-09,0.9841129999999999,0.0,0.0
2000-02-10,0.9909040000000001,1.0032,0.9787899999999999
2000-02-11,0.987722,1.0,0.97559
2000-02-14,0.985807,0.0,0.0
2000-02-15,0.9824719999999999,0.0,0.0
2000-02-16,0.980891,0.0,0.0
2000-02-17,0.984534,0.9955700000000001,0.97362
2000-02-18,0.9873360000000001,0.0,0.0
2000-02-21,0.986145,0.0,0.0
2000-02-22,0.986562,0.99764,0.9756100000000001
2000-02-23,0.9975879999999999,1.0095,0.9858299999999999
2000-02-24,1.0031700000000001,1.0152,0.99126
2000-02-25,0.997027,0.0,0.0
2000-02-28,0.981977,0.0,0.0
2000-02-29,0.9730530000000001,0.0,0.0
2000-03-01,0.9675450000000001,0.9792299999999999,0.956
2000-03-02,0.9700059999999999,0.98096,0.9591799999999999
2000-03-03,0.9679549999999999,0.0,0.0
2000-03-06,0.9608690000000001,0.0,0.0
2000-03-07,0.9587700000000001,0.0,0.0
2000-03-08,0.959183,0.0,0.0
2000-03-09,0.960511,0.9719,0.94926
2000-03-10,0.9643889999999999,0.0,0.0
2000-03-13,0.9640040000000001,0.97511,0.9530200000000001
2000-03-14,0.9636899999999999,0.0,0.0
2000-03-15,0.9665590000000001,0.9779200000000001,0.9553299999999999
2000-03-16,0.968108,0.0,0.0
2000-03-17,0.970434,0.98241,0.9586
2000-03-20,0.9723040000000001,0.9839899999999999,0.9607600000000001
2000-03-21,0.973139,0.9841799999999999,0.9622200000000001
2000-03-22,0.96773,0.9792,0.95639
2000-03-23,0.962031,0.97404,0.9501700000000001
2000-03-24,0.9674379999999999,0.9782700000000001,0.95673
2000-03-27,0.9749469999999999,0.986,0.9640200000000001
