Date,Rate,High (est),Low (est)
1996-09-09,0.717525,0.0,0.0
1996-09-10,0.718635,0.72709,0.71028
1996-09-11,0.718291,0.7270800000000001,0.7096
1996-09-12,0.717654,0.0,0.0
1996-09-13,0.716874,0.7249899999999999,0.70885
1996-09-16,0.71554,0.72412,0.70706
1996-09-17,0.7151930000000001,0.72395,0.70655
1996-09-18,0.715601,0.0,0.0
1996-09-19,0.716238,0.72435,0.70822
1996-09-20,0.716238,0.0,0.0
1996-09-23,0.716376,0.0,0.0
1996-09-24,0.716425,0.72453,0.70841
1996-09-25,0.716183,0.72458,0.7078800000000001
1996-09-26,0.716313,0.72442,0.7083
1996-09-27,0.717115,0.0,0.0
1996-09-30,0.716874,0.7249899999999999,0.70885
1996-10-01,0.716183,0.72458,0.7078800000000001
1996-10-02,0.716313,0.72442,0.7083
1996-10-03,0.716125,0.7242,0.70814
1996-10-04,0.715963,0.72436,0.7076600000000001
1996-10-07,0.716313,0.72442,0.7083
1996-10-08,0.714793,0.0,0.0
1996-10-09,0.7141810000000001,0.0,0.0
1996-10-10,0.71418,0.72275,0.7057100000000001
1996-10-11,0.7143010000000001,0.0,0.0
1996-10-14,0.7154520000000001,0.7238399999999999,0.70716
1996-10-15,0.716619,0.0,0.0
1996-10-16,0.7167439999999999,0.72537,0.70822
1996-10-17,0.7171529999999999,0.0,0.0
1996-10-18,0.7171529999999999,0.0,0.0
1996-10-21,0.71731,0.7256600000000001,0.70905
1996-10-22,0.71839,0.72651,0.71036
1996-10-23,0.719224,0.72717,0.71136
1996-10-24,0.719224,0.0,0.0
1996-10-25,0.719224,0.0,0.0
1996-10-28,0.718515,0.0,0.0
1996-10-29,0.718515,0.0,0.0
1996-10-30,0.718515,0.0,0.0
1996-10-31,0.718515,0.0,0.0
1996-11-01,0.719882,0.72807,0.7117899999999999
1996-11-04,0.720071,0.0,0.0
1996-11-05,0.720071,0.0,0.0
1996-11-06,0.720162,0.0,0.0
1996-11-07,0.721175,0.72978,0.71267
1996-11-08,0.720262,0.0,0.0
1996-11-11,0.720262,0.0,0.0
1996-11-12,0.720778,0.72938,0.71227
1996-11-13,0.720778,0.0,0.0
1996-11-14,0.722467,0.73131,0.7137399999999999
1996-11-15,0.723647,0.73259,0.71482
1996-11-18,0.723938,0.7320300000000001,0.7159300000000001
1996-11-19,0.724266,0.0,0.0
1996-11-20,0.725146,0.7340800000000001,0.71633
1996-11-21,0.726745,0.73482,0.71875
1996-11-22,0.730408,0.7394,0.7215199999999999
1996-11-25,0.730408,0.0,0.0
1996-11-26,0.731352,0.74043,0.72238
1996-11-27,0.729413,0.0,0.0
1996-11-28,0.729396,0.73751,0.72137
1996-11-29,0.7293609999999999,0.73807,0.7207600000000001
1996-12-02,0.730133,0.7385,0.7218600000000001
1996-12-03,0.72511,0.73353,0.7167899999999999
1996-12-04,0.722301,0.73046,0.71423
1996-12-05,0.7235,0.0,0.0
1996-12-06,0.72307,0.7318899999999999,0.71436
1996-12-09,0.722741,0.0,0.0
1996-12-10,0.723877,0.0,0.0
1996-12-11,0.723533,0.73238,0.7147899999999999
1996-12-12,0.720833,0.0,0.0
1996-12-13,0.720441,0.72863,0.71234
1996-12-16,0.720441,0.0,0.0
1996-12-17,0.7222890000000001,0.7311300000000001,0.7135600000000001
1996-12-18,0.723317,0.73177,0.71496
1996-12-19,0.723318,0.0,0.0
1996-12-20,0.723071,0.73192,0.71433
1996-12-23,0.723317,0.73177,0.71496
1996-12-24,0.724458,0.73311,0.71591
1996-12-25,0.724458,0.0,0.0
1996-12-26,0.724458,0.0,0.0
1996-12-27,0.72339,0.73221,0.71467
1996-12-30,0.72339,0.0,0.0
1996-12-31,0.7228220000000001,0.7316699999999999,0.71409
1997-01-01,0.723317,0.73177,0.71496
1997-01-02,0.723824,0.73277,0.71499
1997-01-03,0.722901,0.0,0.0
1997-01-06,0.7214470000000001,0.72965,0.71334
1997-01-07,0.7214470000000001,0.0,0.0
1997-01-08,0.720759,0.0,0.0
1997-01-09,0.7192890000000001,0.72735,0.71132
1997-01-10,0.7192890000000001,0.0,0.0
1997-01-13,0.7192890000000001,0.0,0.0
1997-01-14,0.718936,0.72696,0.71101
1997-01-15,0.716934,0.0,0.0
1997-01-16,0.715817,0.72421,0.7075199999999999
1997-01-17,0.715817,0.0,0.0
1997-01-20,0.715549,0.72431,0.7069
1997-01-21,0.714468,0.72305,0.70599
1997-01-22,0.713209,0.0,0.0
1997-01-23,0.7119800000000001,0.0,0.0
1997-01-24,0.708991,0.71705,0.70102
1997-01-27,0.708471,0.71724,0.69981
1997-01-28,0.709318,0.7176600000000001,0.70107
1997-01-29,0.706457,0.7152,0.69782
1997-01-30,0.70557,0.7141,0.69715
1997-01-31,0.7063189999999999,0.7147399999999999,0.698
1997-02-03,0.7063189999999999,0.0,0.0
1997-02-04,0.704235,0.71294,0.6956399999999999
1997-02-05,0.704235,0.0,0.0
1997-02-06,0.704235,0.0,0.0
1997-02-07,0.704235,0.0,0.0
1997-02-10,0.701489,0.0,0.0
1997-02-11,0.700806,0.0,0.0
1997-02-12,0.700806,0.0,0.0
1997-02-13,0.700806,0.0,0.0
1997-02-14,0.702864,0.7106399999999999,0.69517
1997-02-17,0.7088840000000001,0.0,0.0
1997-02-18,0.712317,0.7206600000000001,0.70407
1997-02-19,0.712195,0.0,0.0
1997-02-20,0.705637,0.7139800000000001,0.6974
1997-02-21,0.704172,0.71194,0.6964899999999999
1997-02-24,0.706755,0.7147899999999999,0.69881
1997-02-25,0.708113,0.0,0.0
1997-02-26,0.708113,0.0,0.0
1997-02-27,0.708113,0.0,0.0
1997-02-28,0.708113,0.0,0.0
1997-03-03,0.7091350000000001,0.71748,0.70089
1997-03-04,0.711357,0.71991,0.70291
1997-03-05,0.712156,0.0,0.0
1997-03-06,0.712317,0.7206600000000001,0.70407
1997-03-07,0.711548,0.7198899999999999,0.70331
