Date,Rate,High (est),Low (est)
1996-04-01,1.5284,1.5464,1.5107
1996-04-02,1.5284,0.0,0.0
1996-04-03,1.5284,0.0,0.0
1996-04-04,1.5284,0.0,0.0
1996-04-05,1.52554,1.5438,1.5075
1996-04-08,1.52554,0.0,0.0
1996-04-09,1.52554,0.0,0.0
1996-04-10,1.52554,0.0,0.0
1996-04-11,1.52554,0.0,0.0
1996-04-12,1.52554,0.0,0.0
1996-04-15,1.51797,0.0,0.0
1996-04-16,1.51797,0.0,0.0
1996-04-17,1.51797,0.0,0.0
1996-04-18,1.51797,0.0,0.0
1996-04-19,1.51797,0.0,0.0
1996-04-22,1.51476,1.5330000000000001,1.4967
1996-04-23,1.51476,0.0,0.0
1996-04-24,1.51476,0.0,0.0
1996-04-25,1.51476,0.0,0.0
1996-04-26,1.51762,1.5349,1.5006
1996-04-29,1.51219,0.0,0.0
1996-04-30,1.51219,0.0,0.0
1996-05-01,1.51219,0.0,0.0
1996-05-02,1.51219,0.0,0.0
1996-05-03,1.51219,0.0,0.0
1996-05-06,1.50455,1.5229,1.4865
1996-05-07,1.50455,0.0,0.0
1996-05-08,1.50455,0.0,0.0
1996-05-09,1.50455,0.0,0.0
1996-05-10,1.50455,0.0,0.0
1996-05-13,1.51773,1.5349,1.5008
1996-05-14,1.51773,0.0,0.0
1996-05-15,1.51773,0.0,0.0
1996-05-16,1.51773,0.0,0.0
1996-05-17,1.51773,0.0,0.0
1996-05-20,1.51895,0.0,0.0
1996-05-21,1.51895,0.0,0.0
1996-05-22,1.51895,0.0,0.0
1996-05-23,1.51895,0.0,0.0
1996-05-24,1.51895,0.0,0.0
1996-05-27,1.51414,0.0,0.0
1996-05-28,1.51414,0.0,0.0
1996-05-29,1.51414,0.0,0.0
1996-05-30,1.51414,0.0,0.0
1996-05-31,1.51414,0.0,0.0
1996-06-03,1.52884,1.5468,1.5111
1996-06-04,1.52884,0.0,0.0
1996-06-05,1.52884,0.0,0.0
1996-06-06,1.52884,0.0,0.0
1996-06-07,1.52884,0.0,0.0
1996-06-10,1.5435299999999998,1.5627,1.5246
1996-06-11,1.5435299999999998,0.0,0.0
1996-06-12,1.5435299999999998,0.0,0.0
1996-06-13,1.5435299999999998,0.0,0.0
1996-06-14,1.5435299999999998,0.0,0.0
1996-06-17,1.5412299999999999,0.0,0.0
1996-06-18,1.5412299999999999,0.0,0.0
1996-06-19,1.5412299999999999,0.0,0.0
1996-06-20,1.5412299999999999,0.0,0.0
1996-06-21,1.5412299999999999,0.0,0.0
1996-06-24,1.53821,1.5568,1.5199
1996-06-25,1.53821,0.0,0.0
1996-06-26,1.53821,0.0,0.0
1996-06-27,1.53821,0.0,0.0
1996-06-28,1.53821,0.0,0.0
1996-07-01,1.5448,1.5641,1.5257
1996-07-02,1.5448,0.0,0.0
1996-07-03,1.5448,0.0,0.0
1996-07-04,1.5448,0.0,0.0
1996-07-05,1.5448,0.0,0.0
1996-07-08,1.55396,0.0,0.0
1996-07-09,1.55396,0.0,0.0
1996-07-10,1.55396,0.0,0.0
1996-07-11,1.55396,0.0,0.0
1996-07-12,1.55396,0.0,0.0
1996-07-15,1.5557,1.5731,1.5385
1996-07-16,1.5557,0.0,0.0
1996-07-17,1.5557,0.0,0.0
1996-07-18,1.5557,0.0,0.0
1996-07-19,1.5557,0.0,0.0
1996-07-22,1.54843,0.0,0.0
1996-07-23,1.54843,0.0,0.0
1996-07-24,1.54843,0.0,0.0
1996-07-25,1.54843,0.0,0.0
1996-07-26,1.54843,0.0,0.0
1996-07-29,1.5533299999999999,1.5719,1.5349
1996-07-30,1.5533299999999999,0.0,0.0
1996-07-31,1.5533299999999999,0.0,0.0
1996-08-01,1.5533299999999999,0.0,0.0
1996-08-02,1.5533299999999999,0.0,0.0
1996-08-05,1.5483200000000001,1.5658,1.531
1996-08-06,1.5483200000000001,0.0,0.0
1996-08-07,1.5483200000000001,0.0,0.0
1996-08-08,1.5483200000000001,0.0,0.0
1996-08-09,1.5483200000000001,0.0,0.0
1996-08-12,1.5484,0.0,0.0
1996-08-13,1.5484,0.0,0.0
1996-08-14,1.5484,0.0,0.0
1996-08-15,1.5484,0.0,0.0
1996-08-16,1.5484,0.0,0.0
1996-08-19,1.55074,0.0,0.0
1996-08-20,1.55074,0.0,0.0
1996-08-21,1.55074,0.0,0.0
1996-08-22,1.55074,0.0,0.0
1996-08-23,1.55074,0.0,0.0
1996-08-26,1.55145,1.569,1.5341
1996-08-27,1.55145,0.0,0.0
1996-08-28,1.55145,0.0,0.0
