Date,Rate,High (est),Low (est)
1991-03-05,1.9026,1.9246,1.8809
1991-03-06,1.89478,1.9182,1.8717
1991-03-07,1.8901,0.0,0.0
1991-03-08,1.8826200000000002,0.0,0.0
1991-03-11,1.86389,1.8869,1.8412
1991-03-12,1.8602400000000001,1.8811,1.8397
1991-03-13,1.86044,0.0,0.0
1991-03-14,1.85916,1.8816,1.837
1991-03-15,1.85136,1.8719,1.831
1991-03-18,1.82787,0.0,0.0
1991-03-19,1.80034,0.0,0.0
1991-03-20,1.7795900000000002,1.801,1.7584
1991-03-21,1.78672,1.8066,1.767
1991-03-22,1.7957,0.0,0.0
1991-03-25,1.7769700000000002,1.7982,1.756
1991-03-26,1.7542400000000002,1.7752,1.7335
1991-03-27,1.74722,1.7675,1.7272
1991-03-28,1.74043,0.0,0.0
1991-03-29,1.7445599999999999,1.7651,1.7243
1991-04-01,1.75575,0.0,0.0
1991-04-02,1.7651700000000001,0.0,0.0
1991-04-03,1.7733599999999998,1.7932,1.7538
1991-04-04,1.7721900000000002,0.0,0.0
1991-04-05,1.77836,0.0,0.0
1991-04-08,1.7721200000000001,0.0,0.0
1991-04-09,1.77321,0.0,0.0
1991-04-10,1.7851400000000002,1.806,1.7645
1991-04-11,1.7826799999999998,0.0,0.0
1991-04-12,1.7844900000000001,0.0,0.0
1991-04-15,1.7870400000000002,1.8087,1.7657
1991-04-16,1.78962,1.8104,1.7691
1991-04-17,1.7892700000000001,1.8106,1.7682
1991-04-18,1.7804900000000001,1.8025,1.7587
1991-04-19,1.75453,1.7755,1.7338
1991-04-22,1.72095,0.0,0.0
1991-04-23,1.7046599999999998,0.0,0.0
1991-04-24,1.7073599999999998,0.0,0.0
1991-04-25,1.6962099999999998,1.7168,1.6758
1991-04-26,1.68973,1.7107,1.669
1991-04-29,1.6803099999999997,1.7004,1.6605
1991-04-30,1.6955200000000001,0.0,0.0
1991-05-01,1.72655,1.7459,1.7074
1991-05-02,1.72518,1.7463,1.7043
1991-05-03,1.71685,1.7380000000000002,1.696
1991-05-06,1.70858,0.0,0.0
1991-05-07,1.71108,1.73,1.6924
1991-05-08,1.7188,0.0,0.0
1991-05-09,1.71395,0.0,0.0
1991-05-10,1.71405,0.0,0.0
