Date,Rate,High (est),Low (est)
2007-10-18,1.0619299999999998,1.075,1.0490000000000002
2007-10-19,1.06255,0.0,0.0
2007-10-22,1.05875,0.0,0.0
2007-10-23,1.05884,1.0719,1.046
2007-10-24,1.06091,1.0737,1.0483
2007-10-25,1.05132,1.0632,1.0396
2007-10-26,1.04108,1.0529,1.0294
2007-10-29,1.05087,0.0,0.0
2007-10-30,1.05948,0.0,0.0
2007-10-31,1.05382,1.0658,1.042
2007-11-01,1.04365,0.0,0.0
2007-11-02,1.04814,1.0605,1.0359
2007-11-05,1.04974,1.0618,1.0378
2007-11-06,1.05091,0.0,0.0
2007-11-07,1.05579,1.0681,1.0436
2007-11-08,1.04033,1.0519,1.0289
2007-11-09,1.0295100000000001,0.0,0.0
2007-11-12,1.0280799999999999,1.0396,1.0167
2007-11-13,1.02721,1.0396,1.015
2007-11-14,1.02704,1.0388,1.0154
2007-11-15,1.02788,1.0395,1.0164
2007-11-16,1.03705,1.0488,1.0254
2007-11-19,1.0307899999999999,1.0428,1.0189
2007-11-20,1.0232700000000001,0.0,0.0
2007-11-21,1.0208899999999999,1.0324,1.0095
2007-11-22,1.0208899999999999,0.0,0.0
2007-11-23,1.0187,0.0,0.0
2007-11-26,1.03546,1.0474,1.0237
2007-11-27,1.04467,1.0575,1.032
2007-11-28,1.04441,1.0563,1.0327
2007-11-29,1.03275,1.0448,1.0208
2007-11-30,1.02519,1.038,1.0125
2007-12-03,1.03065,0.0,0.0
2007-12-04,1.0231,1.0356,1.0107
2007-12-05,1.01894,1.0307,1.0073
2007-12-06,1.0231299999999999,1.0346,1.0118
2007-12-07,1.0215100000000001,1.0337,1.0094
2007-12-10,1.01767,1.0290000000000001,1.0064
2007-12-11,1.0176,0.0,0.0
2007-12-12,1.02026,0.0,0.0
2007-12-13,1.0207899999999999,1.0334,1.0084
2007-12-14,1.03472,1.0472,1.0223
2007-12-17,1.04063,1.0525,1.0289
2007-12-18,1.03195,0.0,0.0
2007-12-19,1.0300200000000002,0.0,0.0
2007-12-20,1.03731,1.0498,1.025
2007-12-21,1.03936,0.0,0.0
2007-12-24,1.04134,1.0541,1.0288
2007-12-25,1.04134,0.0,0.0
2007-12-26,1.04134,0.0,0.0
2007-12-27,1.04134,0.0,0.0
2007-12-28,1.03396,0.0,0.0
2007-12-31,1.0240200000000002,1.0357,1.0125
2008-01-01,1.01809,1.0297,1.0066
2008-01-02,1.0104799999999998,1.0227,0.99841
2008-01-03,1.0177399999999999,1.0296,1.006
2008-01-04,1.02849,1.0412,1.0159
2008-01-07,1.0346,0.0,0.0
2008-01-08,1.03502,0.0,0.0
2008-01-09,1.03506,0.0,0.0
2008-01-10,1.0334,1.0453,1.0216
2008-01-11,1.02886,1.0412,1.0166
2008-01-14,1.03139,1.0429,1.0201
2008-01-15,1.03631,1.0488,1.024
2008-01-16,1.03309,1.0453,1.0211
2008-01-17,1.02597,1.0387,1.0134
2008-01-18,1.02701,0.0,0.0
2008-01-21,1.02634,1.0392,1.0137
2008-01-22,1.02254,1.0342,1.011
2008-01-23,1.02492,0.0,0.0
2008-01-24,1.02827,1.0411,1.0156
2008-01-25,1.0308700000000002,0.0,0.0
2008-01-28,1.03112,1.0433,1.0191
2008-01-29,1.0303799999999999,1.0419,1.0190000000000001
2008-01-30,1.0313700000000001,1.0433,1.0196
2008-01-31,1.03334,1.0456,1.0212
2008-02-01,1.03249,1.045,1.0201
2008-02-04,1.0190700000000001,1.0313,1.0070000000000001
2008-02-05,1.01509,1.0275,1.0028
2008-02-06,1.0175299999999998,0.0,0.0
2008-02-07,1.0207600000000001,1.0331,1.0086
2008-02-08,1.02167,1.0332,1.0103
2008-02-11,1.02865,1.0407,1.0168
2008-02-12,1.03119,0.0,0.0
2008-02-13,1.0281799999999999,1.0405,1.016
2008-02-14,1.0244,1.0369,1.0121
2008-02-15,1.02239,1.0345,1.0105
2008-02-18,1.02494,1.0375,1.0126
2008-02-19,1.02555,1.0376,1.0136
2008-02-20,1.02569,1.0373,1.0142
2008-02-21,1.02381,1.0359,1.0119
2008-02-22,1.02807,1.0408,1.0155
2008-02-25,1.02633,0.0,0.0
2008-02-26,1.02312,0.0,0.0
2008-02-27,1.02526,1.0378,1.0129
2008-02-28,1.03073,1.0422,1.0194
2008-02-29,1.02934,1.0411,1.0177
2008-03-03,1.0236299999999998,0.0,0.0
2008-03-04,1.02231,1.0336,1.0111
2008-03-05,1.02116,1.0329,1.0095
2008-03-06,1.02306,1.0358,1.0105
2008-03-07,1.02935,0.0,0.0
2008-03-10,1.02776,0.0,0.0
2008-03-11,1.0228899999999999,1.0344,1.0115
2008-03-12,1.0207899999999999,1.0325,1.0092
2008-03-13,1.02427,0.0,0.0
2008-03-14,1.02473,1.036,1.0136
2008-03-17,1.0240200000000002,0.0,0.0
2008-03-18,1.0240200000000002,0.0,0.0
2008-03-19,1.02775,1.0391,1.0165
2008-03-20,1.02471,0.0,0.0
2008-03-21,1.01962,0.0,0.0
2008-03-24,1.02665,1.0383,1.0151
2008-03-25,1.02434,0.0,0.0
2008-03-26,1.02541,1.037,1.014
