Date,Rate,High (est),Low (est)
1996-03-29,0.16178900000000002,0.16364,0.15996
1996-04-01,0.16178900000000002,0.0,0.0
1996-04-02,0.16178900000000002,0.0,0.0
1996-04-03,0.16178900000000002,0.0,0.0
1996-04-04,0.16178900000000002,0.0,0.0
1996-04-05,0.16178900000000002,0.0,0.0
1996-04-08,0.16178900000000002,0.0,0.0
1996-04-09,0.16178900000000002,0.0,0.0
1996-04-10,0.16178900000000002,0.0,0.0
1996-04-11,0.16178900000000002,0.0,0.0
1996-04-12,0.16178900000000002,0.0,0.0
1996-04-15,0.16178900000000002,0.0,0.0
1996-04-16,0.16178900000000002,0.0,0.0
1996-04-17,0.16178900000000002,0.0,0.0
1996-04-18,0.16178900000000002,0.0,0.0
1996-04-19,0.16178900000000002,0.0,0.0
1996-04-22,0.16262200000000002,0.0,0.0
1996-04-23,0.16262200000000002,0.0,0.0
1996-04-24,0.16262200000000002,0.0,0.0
1996-04-25,0.16262200000000002,0.0,0.0
1996-04-26,0.163162,0.0,0.0
1996-04-29,0.163162,0.0,0.0
1996-04-30,0.163162,0.0,0.0
1996-05-01,0.163162,0.0,0.0
1996-05-02,0.163162,0.0,0.0
1996-05-03,0.16326,0.0,0.0
1996-05-06,0.16326,0.0,0.0
1996-05-07,0.16326,0.0,0.0
1996-05-08,0.16326,0.0,0.0
1996-05-09,0.16326,0.0,0.0
1996-05-10,0.163943,0.16593,0.16197999999999999
1996-05-13,0.163943,0.0,0.0
1996-05-14,0.163943,0.0,0.0
1996-05-15,0.163943,0.0,0.0
1996-05-16,0.163943,0.0,0.0
1996-05-17,0.164688,0.16672,0.16268
1996-05-20,0.164688,0.0,0.0
1996-05-21,0.164688,0.0,0.0
1996-05-22,0.164688,0.0,0.0
1996-05-23,0.164688,0.0,0.0
1996-05-24,0.164688,0.0,0.0
1996-05-27,0.164965,0.16702,0.16294
1996-05-28,0.164965,0.0,0.0
1996-05-29,0.164965,0.0,0.0
1996-05-30,0.164965,0.0,0.0
1996-05-31,0.164965,0.0,0.0
1996-06-03,0.164965,0.0,0.0
1996-06-04,0.164965,0.0,0.0
1996-06-05,0.164965,0.0,0.0
1996-06-06,0.164965,0.0,0.0
1996-06-07,0.164965,0.0,0.0
1996-06-10,0.163681,0.16555,0.16184
1996-06-11,0.163681,0.0,0.0
1996-06-12,0.163681,0.0,0.0
1996-06-13,0.163681,0.0,0.0
1996-06-14,0.16322,0.16517,0.16129000000000002
1996-06-17,0.16322,0.0,0.0
1996-06-18,0.16322,0.0,0.0
1996-06-19,0.16322,0.0,0.0
1996-06-20,0.16322,0.0,0.0
1996-06-21,0.16322,0.0,0.0
1996-06-24,0.16322,0.0,0.0
1996-06-25,0.16322,0.0,0.0
1996-06-26,0.16322,0.0,0.0
1996-06-27,0.16322,0.0,0.0
1996-06-28,0.16322,0.0,0.0
1996-07-01,0.16322,0.0,0.0
1996-07-02,0.16322,0.0,0.0
1996-07-03,0.16322,0.0,0.0
1996-07-04,0.16322,0.0,0.0
1996-07-05,0.163221,0.0,0.0
1996-07-08,0.163221,0.0,0.0
1996-07-09,0.163221,0.0,0.0
1996-07-10,0.163221,0.0,0.0
1996-07-11,0.163221,0.0,0.0
1996-07-12,0.16367400000000001,0.1655,0.16187
1996-07-15,0.16367400000000001,0.0,0.0
1996-07-16,0.16367400000000001,0.0,0.0
1996-07-17,0.16367400000000001,0.0,0.0
1996-07-18,0.16367400000000001,0.0,0.0
1996-07-19,0.16396,0.0,0.0
1996-07-22,0.16396,0.0,0.0
1996-07-23,0.16396,0.0,0.0
1996-07-24,0.16396,0.0,0.0
1996-07-25,0.16396,0.0,0.0
1996-07-26,0.16406400000000002,0.166,0.16215
1996-07-29,0.16406400000000002,0.0,0.0
1996-07-30,0.16406400000000002,0.0,0.0
1996-07-31,0.16406400000000002,0.0,0.0
1996-08-01,0.16406400000000002,0.0,0.0
1996-08-02,0.16406400000000002,0.0,0.0
1996-08-05,0.16406400000000002,0.0,0.0
1996-08-06,0.16406400000000002,0.0,0.0
1996-08-07,0.16406400000000002,0.0,0.0
1996-08-08,0.16406400000000002,0.0,0.0
1996-08-09,0.164164,0.16616,0.16219
