Date,Rate,High (est),Low (est)
1996-09-09,0.189565,0.19192,0.18724000000000002
1996-09-10,0.189171,0.0,0.0
1996-09-11,0.18774100000000002,0.0,0.0
1996-09-12,0.186357,0.18862,0.18412
1996-09-13,0.186184,0.0,0.0
1996-09-16,0.18617899999999998,0.0,0.0
1996-09-17,0.18617899999999998,0.0,0.0
1996-09-18,0.18617899999999998,0.0,0.0
1996-09-19,0.185919,0.0,0.0
1996-09-20,0.186162,0.0,0.0
1996-09-23,0.185967,0.0,0.0
1996-09-24,0.185636,0.18784,0.18345999999999998
1996-09-25,0.185721,0.0,0.0
1996-09-26,0.186041,0.0,0.0
1996-09-27,0.185204,0.18725999999999998,0.18317
1996-09-30,0.184347,0.1865,0.18222
1996-10-01,0.184071,0.18635,0.18182
1996-10-02,0.184071,0.0,0.0
1996-10-03,0.18381199999999998,0.1859,0.18174
1996-10-04,0.183578,0.0,0.0
1996-10-07,0.183578,0.0,0.0
1996-10-08,0.183437,0.18558,0.18132
1996-10-09,0.18370699999999998,0.0,0.0
1996-10-10,0.18371400000000002,0.18574000000000002,0.18170999999999998
1996-10-11,0.18371400000000002,0.0,0.0
1996-10-14,0.183784,0.0,0.0
1996-10-15,0.18371400000000002,0.18574000000000002,0.18170999999999998
1996-10-16,0.183226,0.18527000000000002,0.1812
1996-10-17,0.182814,0.0,0.0
1996-10-18,0.182887,0.18492999999999998,0.18087
1996-10-21,0.182752,0.0,0.0
1996-10-22,0.182849,0.18489,0.18083
1996-10-23,0.18318299999999998,0.0,0.0
1996-10-24,0.18318299999999998,0.0,0.0
1996-10-25,0.18424000000000001,0.18633,0.18218
1996-10-28,0.184543,0.18677,0.18234
1996-10-29,0.18495599999999998,0.0,0.0
1996-10-30,0.185601,0.0,0.0
1996-10-31,0.185673,0.18787,0.1835
1996-11-01,0.185673,0.0,0.0
1996-11-04,0.18553499999999998,0.18783,0.18327000000000002
1996-11-05,0.18553499999999998,0.0,0.0
1996-11-06,0.185061,0.18716,0.18299
1996-11-07,0.18448399999999998,0.18663,0.18236
1996-11-08,0.185077,0.18737,0.18281
1996-11-11,0.185863,0.0,0.0
1996-11-12,0.18654600000000002,0.18875999999999998,0.18436
1996-11-13,0.187317,0.18962,0.18504
1996-11-14,0.186875,0.0,0.0
1996-11-15,0.186219,0.0,0.0
1996-11-18,0.186219,0.0,0.0
1996-11-19,0.186344,0.0,0.0
1996-11-20,0.186691,0.1889,0.1845
1996-11-21,0.186864,0.18914,0.18462
1996-11-22,0.187142,0.0,0.0
1996-11-25,0.18646500000000002,0.18873,0.18423
1996-11-26,0.185676,0.18798,0.18341
1996-11-27,0.184677,0.18683,0.18255
1996-11-28,0.183943,0.18617999999999998,0.18173
1996-11-29,0.183417,0.1856,0.18126
1996-12-02,0.183135,0.18542,0.18087
1996-12-03,0.182611,0.0,0.0
1996-12-04,0.180517,0.18265,0.17840999999999999
1996-12-05,0.179822,0.18200999999999998,0.17765999999999998
1996-12-06,0.179822,0.0,0.0
1996-12-09,0.181517,0.0,0.0
1996-12-10,0.181668,0.18385,0.17951
1996-12-11,0.180895,0.0,0.0
1996-12-12,0.181603,0.18383,0.1794
1996-12-13,0.181912,0.18397,0.17987999999999998
1996-12-16,0.181923,0.0,0.0
1996-12-17,0.181227,0.18344000000000002,0.17904
1996-12-18,0.181373,0.18352000000000002,0.17925
1996-12-19,0.18137999999999999,0.18356,0.17923
1996-12-20,0.180837,0.0,0.0
1996-12-23,0.180661,0.0,0.0
1996-12-24,0.18095999999999998,0.18320999999999998,0.17874
1996-12-25,0.18095999999999998,0.0,0.0
1996-12-26,0.18095999999999998,0.0,0.0
1996-12-27,0.180971,0.18317,0.1788
1996-12-30,0.180836,0.18304,0.17865
1996-12-31,0.180926,0.18302000000000002,0.17885
1997-01-01,0.180926,0.0,0.0
1997-01-02,0.180871,0.18308,0.17869000000000002
1997-01-03,0.18146900000000002,0.0,0.0
1997-01-06,0.181837,0.18389,0.1798
1997-01-07,0.181611,0.18369000000000002,0.17955
