Date,Rate,High (est),Low (est)
1994-10-18,0.329694,0.0,0.0
1994-10-19,0.329694,0.0,0.0
1994-10-20,0.329694,0.0,0.0
1994-10-21,0.329694,0.0,0.0
1994-10-24,0.329694,0.0,0.0
1994-10-25,0.329694,0.0,0.0
1994-10-26,0.329694,0.0,0.0
1994-10-27,0.329694,0.0,0.0
1994-10-28,0.329694,0.0,0.0
1994-10-31,0.329694,0.0,0.0
1994-11-01,0.329694,0.0,0.0
1994-11-02,0.329694,0.0,0.0
1994-11-03,0.329694,0.0,0.0
1994-11-04,0.329694,0.0,0.0
1994-11-07,0.329694,0.0,0.0
1994-11-08,0.329694,0.0,0.0
1994-11-09,0.329694,0.0,0.0
1994-11-10,0.329694,0.0,0.0
1994-11-11,0.329694,0.0,0.0
1994-11-14,0.329694,0.0,0.0
1994-11-15,0.329694,0.0,0.0
1994-11-16,0.329694,0.0,0.0
1994-11-17,0.329694,0.0,0.0
1994-11-18,0.329694,0.0,0.0
1994-11-21,0.329694,0.0,0.0
1994-11-22,0.329694,0.0,0.0
1994-11-23,0.329694,0.0,0.0
1994-11-24,0.329694,0.0,0.0
1994-11-25,0.329694,0.0,0.0
1994-11-28,0.329694,0.0,0.0
1994-11-29,0.329694,0.0,0.0
1994-11-30,0.329694,0.0,0.0
1994-12-01,0.329694,0.0,0.0
1994-12-02,0.329694,0.0,0.0
1994-12-05,0.329694,0.0,0.0
1994-12-06,0.329694,0.0,0.0
1994-12-07,0.329694,0.0,0.0
1994-12-08,0.329694,0.0,0.0
1994-12-09,0.329694,0.0,0.0
1994-12-12,0.329694,0.0,0.0
1994-12-13,0.329694,0.0,0.0
1994-12-14,0.329694,0.0,0.0
1994-12-15,0.329694,0.0,0.0
1994-12-16,0.329694,0.0,0.0
1994-12-19,0.329694,0.0,0.0
1994-12-20,0.329694,0.0,0.0
1994-12-21,0.329694,0.0,0.0
1994-12-22,0.329694,0.0,0.0
1994-12-23,0.329694,0.0,0.0
1994-12-26,0.329694,0.0,0.0
1994-12-27,0.329694,0.0,0.0
1994-12-28,0.329694,0.0,0.0
1994-12-29,0.329694,0.0,0.0
1994-12-30,0.329694,0.0,0.0
1995-01-02,0.329694,0.0,0.0
1995-01-03,0.329694,0.0,0.0
1995-01-04,0.329694,0.0,0.0
1995-01-05,0.329694,0.0,0.0
1995-01-06,0.329694,0.0,0.0
1995-01-09,0.329694,0.0,0.0
1995-01-10,0.329694,0.0,0.0
1995-01-11,0.329694,0.0,0.0
1995-01-12,0.329694,0.0,0.0
1995-01-13,0.329694,0.0,0.0
1995-01-16,0.329694,0.0,0.0
1995-01-17,0.329694,0.0,0.0
1995-01-18,0.329694,0.0,0.0
1995-01-19,0.33118400000000003,0.33498,0.32744
1995-01-20,0.332862,0.0,0.0
1995-01-23,0.333336,0.33734000000000003,0.32938
1995-01-24,0.333362,0.0,0.0
1995-01-25,0.333156,0.0,0.0
1995-01-26,0.33294,0.0,0.0
1995-01-27,0.332714,0.33638,0.32908000000000004
1995-01-30,0.33284400000000003,0.0,0.0
1995-01-31,0.33331,0.0,0.0
1995-02-01,0.332752,0.33647,0.32908000000000004
1995-02-02,0.332486,0.33615,0.32886
1995-02-03,0.332164,0.33586,0.32850999999999997
1995-02-06,0.331258,0.33526,0.32731
1995-02-07,0.330839,0.0,0.0
1995-02-08,0.33073800000000003,0.0,0.0
1995-02-09,0.330828,0.33482,0.32688
1995-02-10,0.331094,0.3352,0.32704
1995-02-13,0.331443,0.0,0.0
1995-02-14,0.331341,0.33545,0.32728
1995-02-15,0.331636,0.33533,0.32799
1995-02-16,0.33282399999999995,0.0,0.0
1995-02-17,0.333521,0.0,0.0
1995-02-20,0.333082,0.33719,0.32902
1995-02-21,0.332676,0.33635,0.32905
1995-02-22,0.33284400000000003,0.0,0.0
1995-02-23,0.33368200000000003,0.33735,0.33005
1995-02-24,0.334284,0.0,0.0
1995-02-27,0.334762,0.0,0.0
1995-02-28,0.334938,0.33868000000000004,0.33124000000000003
1995-03-01,0.335027,0.33897,0.33113000000000004
1995-03-02,0.335027,0.0,0.0
1995-03-03,0.335776,0.0,0.0
1995-03-06,0.336262,0.0,0.0
1995-03-07,0.336262,0.0,0.0
1995-03-08,0.336239,0.0,0.0
1995-03-09,0.33614,0.0,0.0
1995-03-10,0.335009,0.0,0.0
1995-03-13,0.335009,0.0,0.0
1995-03-14,0.33472199999999996,0.0,0.0
1995-03-15,0.33619099999999996,0.34,0.33242
1995-03-16,0.337929,0.34204,0.33387
1995-03-17,0.33715500000000004,0.34121,0.33315
1995-03-20,0.33658899999999997,0.34048,0.33274000000000004
1995-03-21,0.337017,0.34095,0.33313000000000004
1995-03-22,0.337393,0.34151,0.33333
1995-03-23,0.336568,0.34029,0.33289
1995-03-24,0.335188,0.33895,0.33147
1995-03-27,0.335188,0.0,0.0
1995-03-28,0.33524299999999996,0.0,0.0
1995-03-29,0.33661399999999997,0.34054,0.33273
1995-03-30,0.335986,0.0,0.0
1995-03-31,0.337363,0.0,0.0
1995-04-03,0.338607,0.34271999999999997,0.33454
1995-04-04,0.337949,0.0,0.0
1995-04-05,0.338239,0.34229,0.33424
1995-04-06,0.338239,0.0,0.0
1995-04-07,0.338239,0.0,0.0
1995-04-10,0.337988,0.0,0.0
1995-04-11,0.337161,0.34098,0.33338
1995-04-12,0.336712,0.34052,0.33294
1995-04-13,0.336855,0.34083,0.33292
1995-04-14,0.337441,0.34131,0.33361
1995-04-17,0.338438,0.0,0.0
1995-04-18,0.339473,0.3435,0.3355
1995-04-19,0.339613,0.34343,0.33584
1995-04-20,0.33857800000000005,0.0,0.0
1995-04-21,0.337364,0.34135,0.33342
1995-04-24,0.337965,0.34207,0.33391
1995-04-25,0.338307,0.34241,0.33425
1995-04-26,0.338018,0.0,0.0
1995-04-27,0.338018,0.0,0.0
1995-04-28,0.338018,0.0,0.0
1995-05-01,0.336915,0.0,0.0
1995-05-02,0.33687,0.3408,0.33298
1995-05-03,0.337393,0.34151,0.33333
1995-05-04,0.33762600000000004,0.3415,0.33379000000000003
1995-05-05,0.337325,0.34113000000000004,0.33355999999999997
1995-05-08,0.33758499999999997,0.0,0.0
1995-05-09,0.337273,0.3411,0.33349
1995-05-10,0.336417,0.0,0.0
1995-05-11,0.33416399999999996,0.0,0.0
1995-05-12,0.331385,0.0,0.0
1995-05-15,0.330462,0.0,0.0
1995-05-16,0.330439,0.0,0.0
1995-05-17,0.330585,0.0,0.0
1995-05-18,0.330277,0.0,0.0
1995-05-19,0.32974499999999995,0.33366999999999997,0.32586
1995-05-22,0.329471,0.33355,0.32544
1995-05-23,0.32952800000000004,0.33345,0.32565
1995-05-24,0.329471,0.33355,0.32544
1995-05-25,0.330956,0.33464,0.32731
1995-05-26,0.332482,0.33659,0.32843
1995-05-29,0.33229699999999995,0.3361,0.32854
1995-05-30,0.333216,0.33721999999999996,0.32926
1995-05-31,0.331919,0.0,0.0
