Date,Rate,High (est),Low (est)
1994-10-18,0.0318643,0.0,0.0
1994-10-19,0.0318643,0.0,0.0
1994-10-20,0.0318643,0.0,0.0
1994-10-21,0.0318643,0.0,0.0
1994-10-24,0.0318643,0.0,0.0
1994-10-25,0.0318643,0.0,0.0
1994-10-26,0.0318643,0.0,0.0
1994-10-27,0.0318643,0.0,0.0
1994-10-28,0.0318643,0.0,0.0
1994-10-31,0.0318643,0.0,0.0
1994-11-01,0.0318361,0.032216,0.031461
1994-11-02,0.0318361,0.0,0.0
1994-11-03,0.0318361,0.0,0.0
1994-11-04,0.0318361,0.0,0.0
1994-11-07,0.0318361,0.0,0.0
1994-11-08,0.0318361,0.0,0.0
1994-11-09,0.0318361,0.0,0.0
1994-11-10,0.0318361,0.0,0.0
1994-11-11,0.0318361,0.0,0.0
1994-11-14,0.0318643,0.032251,0.031481999999999996
1994-11-15,0.0318643,0.0,0.0
1994-11-16,0.0318643,0.0,0.0
1994-11-17,0.0318643,0.0,0.0
1994-11-18,0.0318643,0.0,0.0
1994-11-21,0.0318643,0.0,0.0
1994-11-22,0.0318643,0.0,0.0
1994-11-23,0.0318643,0.0,0.0
1994-11-24,0.0318643,0.0,0.0
1994-11-25,0.0318643,0.0,0.0
1994-11-28,0.0318643,0.0,0.0
1994-11-29,0.0318643,0.0,0.0
1994-11-30,0.0318643,0.0,0.0
1994-12-01,0.0318361,0.032216,0.031461
1994-12-02,0.0318361,0.0,0.0
1994-12-05,0.0318643,0.032251,0.031481999999999996
1994-12-06,0.0318643,0.0,0.0
1994-12-07,0.0318643,0.0,0.0
1994-12-08,0.0318643,0.0,0.0
1994-12-09,0.0318643,0.0,0.0
1994-12-12,0.0318643,0.0,0.0
1994-12-13,0.0318643,0.0,0.0
1994-12-14,0.0318643,0.0,0.0
1994-12-15,0.0318643,0.0,0.0
1994-12-16,0.0318643,0.0,0.0
1994-12-19,0.0318643,0.0,0.0
1994-12-20,0.0318361,0.032216,0.031461
1994-12-21,0.0318361,0.0,0.0
1994-12-22,0.0318361,0.0,0.0
1994-12-23,0.0318361,0.0,0.0
1994-12-26,0.0318643,0.032251,0.031481999999999996
1994-12-27,0.0318361,0.032216,0.031461
1994-12-28,0.0318361,0.0,0.0
1994-12-29,0.0318361,0.0,0.0
1994-12-30,0.0318643,0.032251,0.031481999999999996
1995-01-02,0.0318643,0.0,0.0
1995-01-03,0.0318643,0.0,0.0
1995-01-04,0.0318643,0.0,0.0
1995-01-05,0.0318643,0.0,0.0
1995-01-06,0.0318643,0.0,0.0
1995-01-09,0.0318643,0.0,0.0
1995-01-10,0.0318643,0.0,0.0
1995-01-11,0.0318643,0.0,0.0
1995-01-12,0.0318643,0.0,0.0
1995-01-13,0.0318643,0.0,0.0
1995-01-16,0.0318643,0.0,0.0
1995-01-17,0.0318643,0.0,0.0
1995-01-18,0.0318643,0.0,0.0
1995-01-19,0.0318643,0.0,0.0
1995-01-20,0.0318643,0.0,0.0
1995-01-23,0.0318643,0.0,0.0
1995-01-24,0.0318643,0.0,0.0
1995-01-25,0.0318643,0.0,0.0
1995-01-26,0.0318643,0.0,0.0
1995-01-27,0.0318361,0.032216,0.031461
1995-01-30,0.0318643,0.032251,0.031481999999999996
1995-01-31,0.0318643,0.0,0.0
1995-02-01,0.0318643,0.0,0.0
1995-02-02,0.0318643,0.0,0.0
1995-02-03,0.0318643,0.0,0.0
1995-02-06,0.0318643,0.0,0.0
1995-02-07,0.0318643,0.0,0.0
1995-02-08,0.0318643,0.0,0.0
1995-02-09,0.0318643,0.0,0.0
1995-02-10,0.0318643,0.0,0.0
1995-02-13,0.0318643,0.0,0.0
1995-02-14,0.0318643,0.0,0.0
1995-02-15,0.0318643,0.0,0.0
1995-02-16,0.0318643,0.0,0.0
1995-02-17,0.0318643,0.0,0.0
1995-02-20,0.0318643,0.0,0.0
1995-02-21,0.0318643,0.0,0.0
1995-02-22,0.0318643,0.0,0.0
1995-02-23,0.0318643,0.0,0.0
1995-02-24,0.0318361,0.032216,0.031461
1995-02-27,0.0318643,0.032251,0.031481999999999996
1995-02-28,0.0318361,0.032216,0.031461
1995-03-01,0.0318361,0.0,0.0
1995-03-02,0.0318361,0.0,0.0
1995-03-03,0.0317395,0.0,0.0
1995-03-06,0.0315717,0.031952999999999995,0.031195
1995-03-07,0.0313786,0.0,0.0
1995-03-08,0.0314283,0.031807999999999996,0.031052999999999997
1995-03-09,0.0314283,0.0,0.0
1995-03-10,0.0314283,0.0,0.0
1995-03-13,0.031439499999999995,0.0,0.0
1995-03-14,0.031439499999999995,0.0,0.0
1995-03-15,0.031439499999999995,0.0,0.0
1995-03-16,0.0315814,0.0,0.0
1995-03-17,0.0317639,0.032143,0.031389
1995-03-20,0.0317639,0.0,0.0
1995-03-21,0.0317395,0.0,0.0
1995-03-22,0.0317395,0.0,0.0
1995-03-23,0.0316392,0.0,0.0
1995-03-24,0.0316392,0.0,0.0
1995-03-27,0.0316392,0.0,0.0
1995-03-28,0.0316392,0.0,0.0
1995-03-29,0.0316605,0.0,0.0
1995-03-30,0.0317639,0.032143,0.031389
1995-03-31,0.0317639,0.0,0.0
1995-04-03,0.0317639,0.0,0.0
1995-04-04,0.0317639,0.0,0.0
1995-04-05,0.0317639,0.0,0.0
1995-04-06,0.0317639,0.0,0.0
1995-04-07,0.0317639,0.0,0.0
1995-04-10,0.0317639,0.0,0.0
1995-04-11,0.0318643,0.032251,0.031481999999999996
1995-04-12,0.0318643,0.0,0.0
1995-04-13,0.0318643,0.0,0.0
1995-04-14,0.0318643,0.0,0.0
1995-04-17,0.0318643,0.0,0.0
1995-04-18,0.0318643,0.0,0.0
1995-04-19,0.0318643,0.0,0.0
1995-04-20,0.0318361,0.032216,0.031461
1995-04-21,0.0318361,0.0,0.0
1995-04-24,0.0318361,0.0,0.0
1995-04-25,0.0318643,0.032251,0.031481999999999996
1995-04-26,0.0318643,0.0,0.0
1995-04-27,0.0318643,0.0,0.0
1995-04-28,0.0318643,0.0,0.0
1995-05-01,0.0318361,0.032216,0.031461
1995-05-02,0.0318361,0.0,0.0
1995-05-03,0.0318361,0.0,0.0
1995-05-04,0.0318361,0.0,0.0
1995-05-05,0.0318361,0.0,0.0
1995-05-08,0.0318361,0.0,0.0
1995-05-09,0.0318643,0.032251,0.031481999999999996
1995-05-10,0.0318643,0.0,0.0
1995-05-11,0.0318643,0.0,0.0
1995-05-12,0.0318361,0.032216,0.031461
1995-05-15,0.0318361,0.0,0.0
1995-05-16,0.0318361,0.0,0.0
1995-05-17,0.0318361,0.0,0.0
1995-05-18,0.0318361,0.0,0.0
1995-05-19,0.0318361,0.0,0.0
1995-05-22,0.0318361,0.0,0.0
1995-05-23,0.0318643,0.032251,0.031481999999999996
1995-05-24,0.0318643,0.0,0.0
1995-05-25,0.0318643,0.0,0.0
1995-05-26,0.0318361,0.032216,0.031461
1995-05-29,0.0318643,0.032251,0.031481999999999996
1995-05-30,0.0318361,0.032216,0.031461
1995-05-31,0.0318361,0.0,0.0
1995-06-01,0.0318361,0.0,0.0
1995-06-02,0.0318361,0.0,0.0
1995-06-05,0.0318643,0.032251,0.031481999999999996
1995-06-06,0.0318361,0.032216,0.031461
1995-06-07,0.0318361,0.0,0.0
1995-06-08,0.0318361,0.0,0.0
1995-06-09,0.0318361,0.0,0.0
1995-06-12,0.0318361,0.0,0.0
1995-06-13,0.0318361,0.0,0.0
1995-06-14,0.0318361,0.0,0.0
1995-06-15,0.0318643,0.032251,0.031481999999999996
1995-06-16,0.0318361,0.032216,0.031461
1995-06-19,0.0318361,0.0,0.0
1995-06-20,0.0318643,0.032251,0.031481999999999996
1995-06-21,0.0318643,0.0,0.0
1995-06-22,0.0318643,0.0,0.0
1995-06-23,0.0318643,0.0,0.0
1995-06-26,0.0318643,0.0,0.0
1995-06-27,0.0318643,0.0,0.0
1995-06-28,0.0318643,0.0,0.0
1995-06-29,0.0318361,0.032216,0.031461
1995-06-30,0.0318361,0.0,0.0
1995-07-03,0.0318643,0.032251,0.031481999999999996
1995-07-04,0.0318643,0.0,0.0
1995-07-05,0.0318643,0.0,0.0
1995-07-06,0.0318643,0.0,0.0
1995-07-07,0.0318643,0.0,0.0
1995-07-10,0.0318643,0.0,0.0
1995-07-11,0.0318643,0.0,0.0
1995-07-12,0.0318643,0.0,0.0
1995-07-13,0.0318643,0.0,0.0
1995-07-14,0.0318643,0.0,0.0
1995-07-17,0.0318643,0.0,0.0
1995-07-18,0.0318643,0.0,0.0
1995-07-19,0.0318643,0.0,0.0
1995-07-20,0.0318643,0.0,0.0
1995-07-21,0.0318643,0.0,0.0
1995-07-24,0.0318643,0.0,0.0
1995-07-25,0.0318643,0.0,0.0
1995-07-26,0.0318643,0.0,0.0
1995-07-27,0.0318643,0.0,0.0
1995-07-28,0.0318643,0.0,0.0
1995-07-31,0.0318361,0.032216,0.031461
1995-08-01,0.0318361,0.0,0.0
1995-08-02,0.0318361,0.0,0.0
1995-08-03,0.0318361,0.0,0.0
1995-08-04,0.0318361,0.0,0.0
1995-08-07,0.0318361,0.0,0.0
1995-08-08,0.0318361,0.0,0.0
1995-08-09,0.0317395,0.0,0.0
1995-08-10,0.0317639,0.032143,0.031389
1995-08-11,0.0317639,0.0,0.0
1995-08-14,0.0317639,0.0,0.0
1995-08-15,0.0317639,0.0,0.0
1995-08-16,0.0317395,0.0,0.0
1995-08-17,0.0317395,0.0,0.0
1995-08-18,0.0317395,0.0,0.0
1995-08-21,0.0317395,0.0,0.0
1995-08-22,0.0316392,0.0,0.0
1995-08-23,0.0316392,0.0,0.0
1995-08-24,0.0316392,0.0,0.0
1995-08-25,0.0314789,0.0,0.0
1995-08-28,0.0314642,0.031844,0.031089
1995-08-29,0.031439499999999995,0.0,0.0
1995-08-30,0.0313393,0.0,0.0
1995-08-31,0.0313605,0.0,0.0
1995-09-01,0.0313605,0.0,0.0
1995-09-04,0.0313393,0.0,0.0
1995-09-05,0.0311752,0.031525,0.03083
1995-09-06,0.030975299999999997,0.031322,0.030632999999999997
1995-09-07,0.031024799999999998,0.031373000000000005,0.030681
1995-09-08,0.031039799999999996,0.0,0.0
1995-09-11,0.0308742,0.031228,0.030525
1995-09-12,0.0307362,0.031101999999999998,0.030374
1995-09-13,0.030518700000000003,0.0,0.0
1995-09-14,0.0302195,0.0,0.0
1995-09-15,0.0297334,0.0,0.0
1995-09-18,0.0295613,0.0,0.0
1995-09-19,0.0295389,0.0,0.0
1995-09-20,0.0295613,0.0,0.0
1995-09-21,0.0295389,0.0,0.0
1995-09-22,0.0295613,0.0,0.0
1995-09-25,0.0295389,0.0,0.0
1995-09-26,0.0294385,0.0,0.0
1995-09-27,0.0294611,0.0,0.0
1995-09-28,0.0294385,0.0,0.0
1995-09-29,0.0294385,0.0,0.0
1995-10-02,0.029522700000000002,0.0,0.0
1995-10-03,0.0295389,0.0,0.0
1995-10-04,0.0295389,0.0,0.0
1995-10-05,0.0295389,0.0,0.0
1995-10-06,0.0295389,0.0,0.0
1995-10-09,0.0295389,0.0,0.0
1995-10-10,0.0295389,0.0,0.0
1995-10-11,0.0295389,0.0,0.0
1995-10-12,0.0295389,0.0,0.0
1995-10-13,0.0294385,0.0,0.0
1995-10-16,0.0291571,0.0,0.0
1995-10-17,0.0289399,0.0,0.0
1995-10-18,0.028776200000000002,0.0,0.0
1995-10-19,0.028776200000000002,0.0,0.0
1995-10-20,0.028449000000000002,0.028773000000000003,0.028129
1995-10-23,0.028239799999999995,0.0,0.0
1995-10-24,0.028239799999999995,0.0,0.0
1995-10-25,0.0281358,0.028475999999999998,0.027799
1995-10-26,0.0281358,0.0,0.0
1995-10-27,0.0281358,0.0,0.0
1995-10-30,0.028160200000000003,0.0,0.0
1995-10-31,0.0286209,0.0,0.0
1995-11-01,0.029028700000000004,0.029382,0.028679000000000003
1995-11-02,0.028979700000000004,0.0,0.0
1995-11-03,0.028979700000000004,0.0,0.0
1995-11-06,0.028776200000000002,0.0,0.0
1995-11-07,0.028763499999999997,0.029101,0.02843
1995-11-08,0.028763499999999997,0.0,0.0
1995-11-09,0.0288601,0.0,0.0
1995-11-10,0.0288601,0.0,0.0
1995-11-13,0.0288601,0.0,0.0
1995-11-14,0.0288601,0.0,0.0
1995-11-15,0.0288601,0.0,0.0
1995-11-16,0.0288365,0.029175,0.028502
1995-11-17,0.028738099999999996,0.0,0.0
1995-11-20,0.028738099999999996,0.0,0.0
1995-11-21,0.028738099999999996,0.0,0.0
1995-11-22,0.028738099999999996,0.0,0.0
1995-11-23,0.028738099999999996,0.0,0.0
1995-11-24,0.028738099999999996,0.0,0.0
1995-11-27,0.028738099999999996,0.0,0.0
1995-11-28,0.0286375,0.028960000000000003,0.028319
1995-11-29,0.028661900000000004,0.0,0.0
1995-11-30,0.0286375,0.028960000000000003,0.028319
1995-12-01,0.0286375,0.0,0.0
1995-12-04,0.0286375,0.0,0.0
1995-12-05,0.028661900000000004,0.0,0.0
1995-12-06,0.028661900000000004,0.0,0.0
1995-12-07,0.028661900000000004,0.0,0.0
1995-12-08,0.028661900000000004,0.0,0.0
1995-12-11,0.028661900000000004,0.0,0.0
1995-12-12,0.028661900000000004,0.0,0.0
1995-12-13,0.0286375,0.028960000000000003,0.028319
1995-12-14,0.0286375,0.0,0.0
1995-12-15,0.0286375,0.0,0.0
1995-12-18,0.0286375,0.0,0.0
1995-12-19,0.0286375,0.0,0.0
1995-12-20,0.0286375,0.0,0.0
1995-12-21,0.0286375,0.0,0.0
1995-12-22,0.0286375,0.0,0.0
1995-12-25,0.0286375,0.0,0.0
1995-12-26,0.0286375,0.0,0.0
1995-12-27,0.028537599999999996,0.028857,0.028222000000000004
1995-12-28,0.028537599999999996,0.0,0.0
1995-12-29,0.0284351,0.028789999999999996,0.028085000000000002
1996-01-01,0.0284351,0.0,0.0
1996-01-02,0.0284351,0.0,0.0
1996-01-03,0.0284351,0.0,0.0
1996-01-04,0.0283372,0.02866,0.028018
1996-01-05,0.0283372,0.0,0.0
1996-01-08,0.0281716,0.028513,0.027835000000000002
1996-01-09,0.0279717,0.028308999999999997,0.027638
1996-01-10,0.0279717,0.0,0.0
1996-01-11,0.0279717,0.0,0.0
1996-01-12,0.0279717,0.0,0.0
1996-01-15,0.0279717,0.0,0.0
1996-01-16,0.0279717,0.0,0.0
1996-01-17,0.0279717,0.0,0.0
1996-01-18,0.0279717,0.0,0.0
1996-01-19,0.0279717,0.0,0.0
1996-01-22,0.0279717,0.0,0.0
1996-01-23,0.0279717,0.0,0.0
1996-01-24,0.0279717,0.0,0.0
1996-01-25,0.027839099999999995,0.0,0.0
1996-01-26,0.027839099999999995,0.0,0.0
1996-01-29,0.027839099999999995,0.0,0.0
1996-01-30,0.027839099999999995,0.0,0.0
1996-01-31,0.027558999999999997,0.0,0.0
1996-02-01,0.0273394,0.0,0.0
1996-02-02,0.0273394,0.0,0.0
1996-02-05,0.027114099999999995,0.0,0.0
1996-02-06,0.026619999999999998,0.026931,0.026313
1996-02-07,0.026524400000000004,0.026819,0.026233
1996-02-08,0.0267207,0.0,0.0
1996-02-09,0.026923900000000004,0.0,0.0
1996-02-12,0.026923900000000004,0.0,0.0
1996-02-13,0.0270613,0.0,0.0
1996-02-14,0.027221299999999997,0.0,0.0
1996-02-15,0.027221299999999997,0.0,0.0
1996-02-16,0.027221299999999997,0.0,0.0
1996-02-19,0.027221299999999997,0.0,0.0
1996-02-20,0.0273603,0.0,0.0
1996-02-21,0.0273603,0.0,0.0
1996-02-22,0.0273394,0.0,0.0
1996-02-23,0.0273603,0.0,0.0
1996-02-26,0.027589999999999996,0.027912,0.027272
1996-02-27,0.0278855,0.0,0.0
1996-02-28,0.0282598,0.028612000000000002,0.027912
1996-02-29,0.028525,0.028845999999999997,0.028207999999999997
1996-03-01,0.0289218,0.029274,0.028574000000000002
1996-03-04,0.0289218,0.0,0.0
1996-03-05,0.0292846,0.0,0.0
1996-03-06,0.029338799999999998,0.0,0.0
1996-03-07,0.029338799999999998,0.0,0.0
1996-03-08,0.029361500000000002,0.0,0.0
1996-03-11,0.029338799999999998,0.0,0.0
1996-03-12,0.029338799999999998,0.0,0.0
1996-03-13,0.029338799999999998,0.0,0.0
1996-03-14,0.029338799999999998,0.0,0.0
1996-03-15,0.029239400000000002,0.0,0.0
1996-03-18,0.029019599999999996,0.0,0.0
1996-03-19,0.0283863,0.028730000000000002,0.028047000000000002
1996-03-20,0.0282255,0.028547000000000003,0.027908
1996-03-21,0.0284247,0.028743,0.028110000000000003
1996-03-22,0.028803700000000005,0.0,0.0
1996-03-25,0.028803700000000005,0.0,0.0
1996-03-26,0.029183499999999998,0.0,0.0
1996-03-27,0.029183499999999998,0.0,0.0
1996-03-28,0.029239400000000002,0.0,0.0
1996-03-29,0.029239400000000002,0.0,0.0
1996-04-01,0.0292612,0.0,0.0
1996-04-02,0.029361500000000002,0.0,0.0
1996-04-03,0.029338799999999998,0.0,0.0
1996-04-04,0.029338799999999998,0.0,0.0
1996-04-05,0.029338799999999998,0.0,0.0
1996-04-08,0.029239400000000002,0.0,0.0
1996-04-09,0.029239400000000002,0.0,0.0
1996-04-10,0.029239400000000002,0.0,0.0
1996-04-11,0.029239400000000002,0.0,0.0
1996-04-12,0.029239400000000002,0.0,0.0
1996-04-15,0.029239400000000002,0.0,0.0
1996-04-16,0.029239400000000002,0.0,0.0
1996-04-17,0.029239400000000002,0.0,0.0
1996-04-18,0.029239400000000002,0.0,0.0
1996-04-19,0.029239400000000002,0.0,0.0
1996-04-22,0.029239400000000002,0.0,0.0
1996-04-23,0.029239400000000002,0.0,0.0
1996-04-24,0.029239400000000002,0.0,0.0
1996-04-25,0.029239400000000002,0.0,0.0
1996-04-26,0.0291356,0.029491000000000003,0.028785
1996-04-29,0.0291606,0.0,0.0
1996-04-30,0.029019599999999996,0.0,0.0
1996-05-01,0.0288365,0.029175,0.028502
1996-05-02,0.028921499999999996,0.0,0.0
1996-05-03,0.0289399,0.0,0.0
1996-05-06,0.028960700000000002,0.0,0.0
1996-05-07,0.0289399,0.0,0.0
1996-05-08,0.0288365,0.029175,0.028502
1996-05-09,0.028675,0.028997000000000002,0.028356
1996-05-10,0.0284117,0.028735000000000004,0.028092000000000002
1996-05-13,0.0284117,0.0,0.0
1996-05-14,0.0285476,0.0,0.0
1996-05-15,0.0285476,0.0,0.0
1996-05-16,0.0286375,0.028960000000000003,0.028319
1996-05-17,0.028537599999999996,0.028857,0.028222000000000004
1996-05-20,0.0285625,0.028883999999999996,0.028245
1996-05-21,0.028537599999999996,0.028857,0.028222000000000004
1996-05-22,0.0285625,0.028883999999999996,0.028245
1996-05-23,0.0285625,0.0,0.0
1996-05-24,0.028537599999999996,0.028857,0.028222000000000004
1996-05-27,0.028537599999999996,0.0,0.0
1996-05-28,0.0284351,0.028789999999999996,0.028085000000000002
1996-05-29,0.028462400000000002,0.028781,0.028148000000000003
1996-05-30,0.0284351,0.028789999999999996,0.028085000000000002
1996-05-31,0.028462400000000002,0.028781,0.028148000000000003
1996-06-03,0.0286238,0.0,0.0
1996-06-04,0.0286238,0.0,0.0
1996-06-05,0.0286238,0.0,0.0
1996-06-06,0.0286238,0.0,0.0
1996-06-07,0.0286238,0.0,0.0
1996-06-10,0.0286238,0.0,0.0
1996-06-11,0.0286375,0.028960000000000003,0.028319
1996-06-12,0.0286375,0.0,0.0
1996-06-13,0.0286375,0.0,0.0
1996-06-14,0.028537599999999996,0.028857,0.028222000000000004
1996-06-17,0.028537599999999996,0.0,0.0
1996-06-18,0.028537599999999996,0.0,0.0
1996-06-19,0.028537599999999996,0.0,0.0
1996-06-20,0.028537599999999996,0.0,0.0
1996-06-21,0.0285625,0.028883999999999996,0.028245
1996-06-24,0.0285625,0.0,0.0
1996-06-25,0.028537599999999996,0.028857,0.028222000000000004
1996-06-26,0.028537599999999996,0.0,0.0
1996-06-27,0.028537599999999996,0.0,0.0
1996-06-28,0.028537599999999996,0.0,0.0
1996-07-01,0.028537599999999996,0.0,0.0
1996-07-02,0.028537599999999996,0.0,0.0
1996-07-03,0.0284351,0.028789999999999996,0.028085000000000002
1996-07-04,0.028462400000000002,0.028781,0.028148000000000003
1996-07-05,0.028462400000000002,0.0,0.0
1996-07-08,0.0283745,0.028697000000000004,0.028055
1996-07-09,0.028239799999999995,0.0,0.0
1996-07-10,0.028262799999999998,0.028584,0.027944999999999998
1996-07-11,0.0281716,0.028513,0.027835000000000002
1996-07-12,0.0281716,0.0,0.0
1996-07-15,0.0281716,0.0,0.0
1996-07-16,0.0279717,0.028308999999999997,0.027638
1996-07-17,0.0279717,0.0,0.0
1996-07-18,0.0279717,0.0,0.0
1996-07-19,0.0279618,0.0,0.0
1996-07-22,0.0279618,0.0,0.0
1996-07-23,0.0280642,0.028404000000000002,0.027727999999999996
1996-07-24,0.028160200000000003,0.0,0.0
1996-07-25,0.0280763,0.0,0.0
1996-07-26,0.0280763,0.0,0.0
1996-07-29,0.0280642,0.028404000000000002,0.027727999999999996
1996-07-30,0.0280382,0.0,0.0
1996-07-31,0.0280382,0.0,0.0
1996-08-01,0.0280382,0.0,0.0
1996-08-02,0.0280642,0.028404000000000002,0.027727999999999996
1996-08-05,0.0280642,0.0,0.0
1996-08-06,0.0280642,0.0,0.0
1996-08-07,0.0280382,0.0,0.0
1996-08-08,0.0280382,0.0,0.0
1996-08-09,0.0280382,0.0,0.0
1996-08-12,0.0280382,0.0,0.0
1996-08-13,0.0280382,0.0,0.0
1996-08-14,0.0280382,0.0,0.0
1996-08-15,0.0280382,0.0,0.0
1996-08-16,0.0280382,0.0,0.0
1996-08-19,0.0280382,0.0,0.0
1996-08-20,0.0280382,0.0,0.0
1996-08-21,0.0280382,0.0,0.0
1996-08-22,0.0280642,0.028404000000000002,0.027727999999999996
1996-08-23,0.0280382,0.0,0.0
1996-08-26,0.0280382,0.0,0.0
1996-08-27,0.0280382,0.0,0.0
1996-08-28,0.0280382,0.0,0.0
1996-08-29,0.0280382,0.0,0.0
1996-08-30,0.0280382,0.0,0.0
1996-09-02,0.0280382,0.0,0.0
1996-09-03,0.0280382,0.0,0.0
1996-09-04,0.0280382,0.0,0.0
1996-09-05,0.027935900000000003,0.028273000000000003,0.027602999999999996
1996-09-06,0.027935900000000003,0.0,0.0
1996-09-09,0.0279618,0.0,0.0
1996-09-10,0.0279618,0.0,0.0
1996-09-11,0.0279618,0.0,0.0
1996-09-12,0.0279618,0.0,0.0
1996-09-13,0.0279618,0.0,0.0
1996-09-16,0.0279618,0.0,0.0
1996-09-17,0.0279618,0.0,0.0
1996-09-18,0.0279618,0.0,0.0
1996-09-19,0.0279618,0.0,0.0
1996-09-20,0.0279618,0.0,0.0
1996-09-23,0.0279618,0.0,0.0
1996-09-24,0.0279618,0.0,0.0
1996-09-25,0.0279618,0.0,0.0
1996-09-26,0.0279618,0.0,0.0
1996-09-27,0.0279618,0.0,0.0
1996-09-30,0.0279618,0.0,0.0
1996-10-01,0.0279618,0.0,0.0
1996-10-02,0.0279618,0.0,0.0
1996-10-03,0.0280642,0.028404000000000002,0.027727999999999996
1996-10-04,0.0280642,0.0,0.0
1996-10-07,0.0280642,0.0,0.0
1996-10-08,0.0280642,0.0,0.0
1996-10-09,0.0280642,0.0,0.0
1996-10-10,0.0280642,0.0,0.0
1996-10-11,0.0280642,0.0,0.0
1996-10-14,0.0280382,0.0,0.0
1996-10-15,0.0280382,0.0,0.0
1996-10-16,0.0280382,0.0,0.0
1996-10-17,0.0280382,0.0,0.0
1996-10-18,0.0280382,0.0,0.0
1996-10-21,0.0280642,0.028404000000000002,0.027727999999999996
1996-10-22,0.0280642,0.0,0.0
1996-10-23,0.0280642,0.0,0.0
1996-10-24,0.0280642,0.0,0.0
1996-10-25,0.0280642,0.0,0.0
1996-10-28,0.0280642,0.0,0.0
1996-10-29,0.0280382,0.0,0.0
1996-10-30,0.0280382,0.0,0.0
1996-10-31,0.0280382,0.0,0.0
1996-11-01,0.0280382,0.0,0.0
1996-11-04,0.0280382,0.0,0.0
1996-11-05,0.0280382,0.0,0.0
1996-11-06,0.0280382,0.0,0.0
1996-11-07,0.0280382,0.0,0.0
1996-11-08,0.0280382,0.0,0.0
1996-11-11,0.0280382,0.0,0.0
1996-11-12,0.0280382,0.0,0.0
1996-11-13,0.027935900000000003,0.028273000000000003,0.027602999999999996
1996-11-14,0.027935900000000003,0.0,0.0
1996-11-15,0.027935900000000003,0.0,0.0
1996-11-18,0.0279618,0.0,0.0
1996-11-19,0.0279618,0.0,0.0
1996-11-20,0.0279618,0.0,0.0
1996-11-21,0.0279618,0.0,0.0
1996-11-22,0.0279618,0.0,0.0
1996-11-25,0.0279618,0.0,0.0
1996-11-26,0.0279618,0.0,0.0
1996-11-27,0.0279618,0.0,0.0
1996-11-28,0.0279618,0.0,0.0
1996-11-29,0.0279618,0.0,0.0
1996-12-02,0.0279618,0.0,0.0
1996-12-03,0.0279618,0.0,0.0
1996-12-04,0.0279618,0.0,0.0
1996-12-05,0.027935900000000003,0.028273000000000003,0.027602999999999996
1996-12-06,0.027935900000000003,0.0,0.0
1996-12-09,0.027935900000000003,0.0,0.0
1996-12-10,0.027935900000000003,0.0,0.0
