Date,Rate,High (est),Low (est)
1996-09-09,0.0150613,0.0,0.0
1996-09-10,0.015039600000000002,0.0,0.0
1996-09-11,0.0149369,0.015109000000000001,0.014766
1996-09-12,0.0149369,0.0,0.0
1996-09-13,0.0149369,0.0,0.0
1996-09-16,0.0149369,0.0,0.0
1996-09-17,0.0149369,0.0,0.0
1996-09-18,0.0149369,0.0,0.0
1996-09-19,0.014960399999999999,0.0,0.0
1996-09-20,0.0149369,0.015109000000000001,0.014766
1996-09-23,0.0149369,0.0,0.0
1996-09-24,0.014960399999999999,0.0,0.0
1996-09-25,0.014960399999999999,0.0,0.0
1996-09-26,0.0149369,0.015109000000000001,0.014766
1996-09-27,0.0149369,0.0,0.0
1996-09-30,0.0149369,0.0,0.0
1996-10-01,0.0149369,0.0,0.0
1996-10-02,0.0149369,0.0,0.0
1996-10-03,0.0149369,0.0,0.0
1996-10-04,0.0149369,0.0,0.0
1996-10-07,0.0149369,0.0,0.0
1996-10-08,0.0149369,0.0,0.0
1996-10-09,0.0149369,0.0,0.0
1996-10-10,0.0149369,0.0,0.0
1996-10-11,0.0149369,0.0,0.0
1996-10-14,0.0149369,0.0,0.0
1996-10-15,0.0149369,0.0,0.0
1996-10-16,0.0149369,0.0,0.0
1996-10-17,0.0149369,0.0,0.0
1996-10-18,0.0149369,0.0,0.0
1996-10-21,0.0149369,0.0,0.0
1996-10-22,0.0149369,0.0,0.0
1996-10-23,0.014960399999999999,0.0,0.0
1996-10-24,0.014960399999999999,0.0,0.0
1996-10-25,0.0149369,0.015109000000000001,0.014766
1996-10-28,0.014960399999999999,0.0,0.0
1996-10-29,0.014960399999999999,0.0,0.0
1996-10-30,0.014960399999999999,0.0,0.0
1996-10-31,0.0150613,0.0,0.0
1996-11-01,0.015039600000000002,0.0,0.0
1996-11-04,0.0150613,0.0,0.0
1996-11-05,0.0150613,0.0,0.0
1996-11-06,0.015039600000000002,0.0,0.0
1996-11-07,0.0150613,0.0,0.0
1996-11-08,0.0150613,0.0,0.0
1996-11-11,0.0150613,0.0,0.0
1996-11-12,0.015163299999999998,0.015340000000000001,0.014988999999999999
1996-11-13,0.0151387,0.0,0.0
1996-11-14,0.0151387,0.0,0.0
1996-11-15,0.0151387,0.0,0.0
1996-11-18,0.0151387,0.0,0.0
1996-11-19,0.0151387,0.0,0.0
1996-11-20,0.015163299999999998,0.015340000000000001,0.014988999999999999
1996-11-21,0.015163299999999998,0.0,0.0
1996-11-22,0.015163299999999998,0.0,0.0
1996-11-25,0.0151387,0.0,0.0
1996-11-26,0.0151387,0.0,0.0
1996-11-27,0.015039600000000002,0.0,0.0
1996-11-28,0.015039600000000002,0.0,0.0
1996-11-29,0.015039600000000002,0.0,0.0
1996-12-02,0.015039600000000002,0.0,0.0
1996-12-03,0.014872999999999999,0.015047999999999999,0.0147
1996-12-04,0.014872999999999999,0.0,0.0
1996-12-05,0.014872999999999999,0.0,0.0
1996-12-06,0.0149209,0.0,0.0
1996-12-09,0.0149369,0.015109000000000001,0.014766
1996-12-10,0.0149369,0.0,0.0
1996-12-11,0.014960399999999999,0.0,0.0
1996-12-12,0.0149369,0.015109000000000001,0.014766
1996-12-13,0.0149369,0.0,0.0
1996-12-16,0.0149369,0.0,0.0
1996-12-17,0.014960399999999999,0.0,0.0
1996-12-18,0.0149369,0.015109000000000001,0.014766
1996-12-19,0.0149369,0.0,0.0
1996-12-20,0.0149369,0.0,0.0
1996-12-23,0.0149369,0.0,0.0
1996-12-24,0.0149369,0.0,0.0
1996-12-25,0.0149369,0.0,0.0
1996-12-26,0.0149369,0.0,0.0
1996-12-27,0.0149369,0.0,0.0
1996-12-30,0.0149369,0.0,0.0
1996-12-31,0.014960399999999999,0.0,0.0
1997-01-01,0.014960399999999999,0.0,0.0
1997-01-02,0.014960399999999999,0.0,0.0
1997-01-03,0.014960399999999999,0.0,0.0
1997-01-06,0.0149369,0.015109000000000001,0.014766
1997-01-07,0.0149369,0.0,0.0
1997-01-08,0.0149369,0.0,0.0
1997-01-09,0.0148365,0.015011000000000002,0.014663999999999998
1997-01-10,0.0148365,0.0,0.0
1997-01-13,0.0148365,0.0,0.0
1997-01-14,0.0148365,0.0,0.0
1997-01-15,0.0147363,0.014911,0.014563
1997-01-16,0.014763499999999999,0.014937,0.014591999999999999
1997-01-17,0.0147363,0.014911,0.014563
1997-01-20,0.014639300000000001,0.0,0.0
1997-01-21,0.014639300000000001,0.0,0.0
1997-01-22,0.014537600000000001,0.014700999999999999,0.014376
1997-01-23,0.0144363,0.014606999999999998,0.014266999999999998
1997-01-24,0.0144624,0.014625,0.014302
1997-01-27,0.0144363,0.014606999999999998,0.014266999999999998
1997-01-28,0.0143375,0.014499000000000001,0.014178
1997-01-29,0.0143375,0.0,0.0
1997-01-30,0.0143637,0.014534,0.014196
1997-01-31,0.0143637,0.0,0.0
1997-02-03,0.0143637,0.0,0.0
1997-02-04,0.0143637,0.0,0.0
1997-02-05,0.0143375,0.014499000000000001,0.014178
1997-02-06,0.0143375,0.0,0.0
1997-02-07,0.0143375,0.0,0.0
1997-02-10,0.0143375,0.0,0.0
1997-02-11,0.014235499999999998,0.01441,0.014062999999999999
1997-02-12,0.014235499999999998,0.0,0.0
1997-02-13,0.014235499999999998,0.0,0.0
1997-02-14,0.014138900000000001,0.0,0.0
1997-02-17,0.014138900000000001,0.0,0.0
1997-02-18,0.0140359,0.014205,0.013869
1997-02-19,0.014061099999999998,0.0,0.0
1997-02-20,0.014061099999999998,0.0,0.0
1997-02-21,0.014061099999999998,0.0,0.0
1997-02-24,0.014164500000000002,0.014338,0.013993
1997-02-25,0.014164500000000002,0.0,0.0
1997-02-26,0.014164500000000002,0.0,0.0
1997-02-27,0.014164500000000002,0.0,0.0
1997-02-28,0.014138900000000001,0.0,0.0
1997-03-03,0.014138900000000001,0.0,0.0
1997-03-04,0.0140359,0.014205,0.013869
1997-03-05,0.0140359,0.0,0.0
1997-03-06,0.0140359,0.0,0.0
1997-03-07,0.0140359,0.0,0.0
1997-03-10,0.0140359,0.0,0.0
1997-03-11,0.0140359,0.0,0.0
1997-03-12,0.0140359,0.0,0.0
1997-03-13,0.014061099999999998,0.0,0.0
1997-03-14,0.0140359,0.014205,0.013869
1997-03-17,0.014061099999999998,0.0,0.0
1997-03-18,0.014061099999999998,0.0,0.0
1997-03-19,0.014061099999999998,0.0,0.0
1997-03-20,0.014061099999999998,0.0,0.0
1997-03-21,0.014061099999999998,0.0,0.0
1997-03-24,0.014061099999999998,0.0,0.0
1997-03-25,0.014061099999999998,0.0,0.0
1997-03-26,0.014061099999999998,0.0,0.0
1997-03-27,0.014061099999999998,0.0,0.0
