Date,Rate,High (est),Low (est)
1991-03-06,3.47099,0.0,0.0
1991-03-07,3.47099,0.0,0.0
1991-03-08,3.47099,0.0,0.0
1991-03-11,3.47099,0.0,0.0
1991-03-12,3.47099,0.0,0.0
1991-03-13,3.47099,0.0,0.0
1991-03-14,3.47099,0.0,0.0
1991-03-15,3.47099,0.0,0.0
1991-03-18,3.47099,0.0,0.0
1991-03-19,3.47099,0.0,0.0
1991-03-20,3.47099,0.0,0.0
1991-03-21,3.47099,0.0,0.0
1991-03-22,3.47099,0.0,0.0
1991-03-25,3.47099,0.0,0.0
1991-03-26,3.47099,0.0,0.0
1991-03-27,3.47099,0.0,0.0
1991-03-28,3.45444,3.4974,3.412
1991-03-29,3.45444,0.0,0.0
1991-04-01,3.44579,3.4846,3.4074
1991-04-02,3.44579,0.0,0.0
1991-04-03,3.4581,0.0,0.0
1991-04-04,3.4581,0.0,0.0
1991-04-05,3.4581,0.0,0.0
1991-04-08,3.46231,3.505,3.4202
1991-04-09,3.46231,0.0,0.0
1991-04-10,3.47298,3.5157,3.4308
1991-04-11,3.47298,0.0,0.0
1991-04-12,3.47298,0.0,0.0
1991-04-15,3.47298,0.0,0.0
1991-04-16,3.47298,0.0,0.0
1991-04-17,3.47298,0.0,0.0
1991-04-18,3.47298,0.0,0.0
1991-04-19,3.47298,0.0,0.0
1991-04-22,3.45108,0.0,0.0
1991-04-23,3.45108,0.0,0.0
1991-04-24,3.43678,3.475,3.3989
1991-04-25,3.43678,0.0,0.0
1991-04-26,3.43678,0.0,0.0
1991-04-29,3.4277800000000003,0.0,0.0
1991-04-30,3.4277800000000003,0.0,0.0
1991-05-01,3.43514,3.4752,3.3955
1991-05-02,3.43514,0.0,0.0
1991-05-03,3.43514,0.0,0.0
1991-05-06,3.43537,3.4760000000000004,3.3952
1991-05-07,3.43537,0.0,0.0
1991-05-08,3.43537,0.0,0.0
1991-05-09,3.43537,0.0,0.0
1991-05-10,3.43537,0.0,0.0
1991-05-13,3.43638,0.0,0.0
1991-05-14,3.43638,0.0,0.0
1991-05-15,3.43638,0.0,0.0
1991-05-16,3.45364,3.4917,3.4160000000000004
1991-05-17,3.45364,0.0,0.0
1991-05-20,3.45364,0.0,0.0
1991-05-21,3.4472400000000003,0.0,0.0
1991-05-22,3.4472400000000003,0.0,0.0
1991-05-23,3.44501,3.4864,3.4041
1991-05-24,3.44501,0.0,0.0
1991-05-27,3.4465,3.4881,3.4054
1991-05-28,3.4465,0.0,0.0
1991-05-29,3.4523,3.4904,3.4146
1991-05-30,3.4523,0.0,0.0
1991-05-31,3.4523,0.0,0.0
1991-06-03,3.4421699999999995,0.0,0.0
1991-06-04,3.42999,3.4682,3.3922
1991-06-05,3.42999,0.0,0.0
1991-06-06,3.42999,0.0,0.0
1991-06-07,3.42999,0.0,0.0
1991-06-10,3.4186400000000003,3.4574,3.3804
1991-06-11,3.4102900000000003,0.0,0.0
1991-06-12,3.4102900000000003,0.0,0.0
1991-06-13,3.4034,0.0,0.0
1991-06-14,3.4034,0.0,0.0
1991-06-17,3.4034,0.0,0.0
1991-06-18,3.39794,0.0,0.0
1991-06-19,3.3915599999999997,3.4305,3.3531
1991-06-20,3.3915599999999997,0.0,0.0
1991-06-21,3.3915599999999997,0.0,0.0
1991-06-24,3.3915599999999997,0.0,0.0
1991-06-25,3.3915599999999997,0.0,0.0
1991-06-26,3.3915599999999997,0.0,0.0
1991-06-27,3.39775,3.4363,3.3596
1991-06-28,3.39775,0.0,0.0
1991-07-01,3.4008,3.4404,3.3617
1991-07-02,3.4008,0.0,0.0
1991-07-03,3.39341,3.4348,3.3525
1991-07-04,3.39341,0.0,0.0
1991-07-05,3.39341,0.0,0.0
1991-07-08,3.3947599999999998,3.4336,3.3563
1991-07-09,3.3947599999999998,0.0,0.0
1991-07-10,3.3947599999999998,0.0,0.0
1991-07-11,3.3947599999999998,0.0,0.0
1991-07-12,3.3947599999999998,0.0,0.0
1991-07-15,3.40904,3.4472,3.3713
1991-07-16,3.4146300000000003,3.4530000000000003,3.3767
1991-07-17,3.41151,0.0,0.0
1991-07-18,3.41151,0.0,0.0
1991-07-19,3.41151,0.0,0.0
1991-07-22,3.41151,0.0,0.0
1991-07-23,3.4185,0.0,0.0
1991-07-24,3.4185,0.0,0.0
1991-07-25,3.42631,3.465,3.3881
1991-07-26,3.42631,0.0,0.0
1991-07-29,3.4275800000000003,3.4658,3.3898
1991-07-30,3.42841,3.4707,3.3866
1991-07-31,3.42841,0.0,0.0
