Date,Rate,High (est),Low (est)
1996-09-09,0.25007399999999996,0.0,0.0
1996-09-10,0.25007399999999996,0.0,0.0
1996-09-11,0.25007399999999996,0.0,0.0
1996-09-12,0.25007399999999996,0.0,0.0
1996-09-13,0.25007399999999996,0.0,0.0
1996-09-16,0.25007399999999996,0.0,0.0
1996-09-17,0.25007399999999996,0.0,0.0
1996-09-18,0.25007399999999996,0.0,0.0
1996-09-19,0.25007399999999996,0.0,0.0
1996-09-20,0.25007399999999996,0.0,0.0
1996-09-23,0.25007399999999996,0.0,0.0
1996-09-24,0.25007399999999996,0.0,0.0
1996-09-25,0.25007399999999996,0.0,0.0
1996-09-26,0.25007399999999996,0.0,0.0
1996-09-27,0.25007399999999996,0.0,0.0
1996-09-30,0.25007399999999996,0.0,0.0
1996-10-01,0.25007399999999996,0.0,0.0
1996-10-02,0.25007399999999996,0.0,0.0
1996-10-03,0.25007399999999996,0.0,0.0
1996-10-04,0.25007399999999996,0.0,0.0
1996-10-07,0.25007399999999996,0.0,0.0
1996-10-08,0.25007399999999996,0.0,0.0
1996-10-09,0.25007399999999996,0.0,0.0
1996-10-10,0.25007399999999996,0.0,0.0
1996-10-11,0.25007399999999996,0.0,0.0
1996-10-14,0.25007399999999996,0.0,0.0
1996-10-15,0.25007399999999996,0.0,0.0
1996-10-16,0.25007399999999996,0.0,0.0
1996-10-17,0.25007399999999996,0.0,0.0
1996-10-18,0.25007399999999996,0.0,0.0
1996-10-21,0.25007399999999996,0.0,0.0
1996-10-22,0.25007399999999996,0.0,0.0
1996-10-23,0.25007399999999996,0.0,0.0
1996-10-24,0.25007399999999996,0.0,0.0
1996-10-25,0.25007399999999996,0.0,0.0
1996-10-28,0.25007399999999996,0.0,0.0
1996-10-29,0.25007399999999996,0.0,0.0
1996-10-30,0.25007399999999996,0.0,0.0
1996-10-31,0.25007399999999996,0.0,0.0
1996-11-01,0.25007399999999996,0.0,0.0
1996-11-04,0.25007399999999996,0.0,0.0
1996-11-05,0.25007399999999996,0.0,0.0
1996-11-06,0.25007399999999996,0.0,0.0
1996-11-07,0.25007399999999996,0.0,0.0
1996-11-08,0.25007399999999996,0.0,0.0
1996-11-11,0.25007399999999996,0.0,0.0
1996-11-12,0.25007399999999996,0.0,0.0
1996-11-13,0.25007399999999996,0.0,0.0
1996-11-14,0.25007399999999996,0.0,0.0
1996-11-15,0.25007399999999996,0.0,0.0
1996-11-18,0.25007399999999996,0.0,0.0
1996-11-19,0.25007399999999996,0.0,0.0
1996-11-20,0.25007399999999996,0.0,0.0
1996-11-21,0.25007399999999996,0.0,0.0
1996-11-22,0.25007399999999996,0.0,0.0
1996-11-25,0.25007399999999996,0.0,0.0
1996-11-26,0.25007399999999996,0.0,0.0
1996-11-27,0.25007399999999996,0.0,0.0
1996-11-28,0.25007399999999996,0.0,0.0
1996-11-29,0.25007399999999996,0.0,0.0
1996-12-02,0.25007399999999996,0.0,0.0
1996-12-03,0.25007399999999996,0.0,0.0
1996-12-04,0.25007399999999996,0.0,0.0
1996-12-05,0.25007399999999996,0.0,0.0
1996-12-06,0.25007399999999996,0.0,0.0
1996-12-09,0.25007399999999996,0.0,0.0
1996-12-10,0.25007399999999996,0.0,0.0
1996-12-11,0.25007399999999996,0.0,0.0
1996-12-12,0.25007399999999996,0.0,0.0
1996-12-13,0.25007399999999996,0.0,0.0
1996-12-16,0.25007399999999996,0.0,0.0
1996-12-17,0.25007399999999996,0.0,0.0
1996-12-18,0.25007399999999996,0.0,0.0
1996-12-19,0.25007399999999996,0.0,0.0
1996-12-20,0.25007399999999996,0.0,0.0
1996-12-23,0.25007399999999996,0.0,0.0
1996-12-24,0.25007399999999996,0.0,0.0
1996-12-25,0.25007399999999996,0.0,0.0
1996-12-26,0.25007399999999996,0.0,0.0
1996-12-27,0.25007399999999996,0.0,0.0
1996-12-30,0.25007399999999996,0.0,0.0
1996-12-31,0.25007399999999996,0.0,0.0
1997-01-01,0.25007399999999996,0.0,0.0
1997-01-02,0.25007399999999996,0.0,0.0
1997-01-03,0.25007399999999996,0.0,0.0
1997-01-06,0.25007399999999996,0.0,0.0
1997-01-07,0.25007399999999996,0.0,0.0
1997-01-08,0.25007399999999996,0.0,0.0
1997-01-09,0.25007399999999996,0.0,0.0
1997-01-10,0.25007399999999996,0.0,0.0
1997-01-13,0.25007399999999996,0.0,0.0
1997-01-14,0.25007399999999996,0.0,0.0
1997-01-15,0.25007399999999996,0.0,0.0
1997-01-16,0.25007399999999996,0.0,0.0
1997-01-17,0.25007399999999996,0.0,0.0
1997-01-20,0.25007399999999996,0.0,0.0
1997-01-21,0.250064,0.25313,0.24704
1997-01-22,0.250037,0.2529,0.2472
1997-01-23,0.250037,0.0,0.0
1997-01-24,0.250037,0.0,0.0
1997-01-27,0.250037,0.0,0.0
1997-01-28,0.250037,0.0,0.0
1997-01-29,0.250037,0.0,0.0
1997-01-30,0.250037,0.0,0.0
1997-01-31,0.250037,0.0,0.0
1997-02-03,0.250037,0.0,0.0
