Date,Rate,High (est),Low (est)
1996-09-09,1.8353099999999998,1.8568,1.8141
1996-09-10,1.8317,0.0,0.0
1996-09-11,1.8265099999999999,1.8482,1.8051
1996-09-12,1.82497,1.8459,1.8043
1996-09-13,1.824,0.0,0.0
1996-09-16,1.82333,1.8461,1.8008
1996-09-17,1.8244200000000002,1.8462,1.8029
1996-09-18,1.8241900000000002,1.8444,1.8042
1996-09-19,1.8251,0.0,0.0
1996-09-20,1.82392,0.0,0.0
1996-09-23,1.8234299999999999,1.8449,1.8022
1996-09-24,1.82473,1.8467,1.8030000000000002
1996-09-25,1.8259599999999998,1.8475,1.8047
1996-09-26,1.82142,1.8417,1.8014
1996-09-27,1.81582,0.0,0.0
1996-09-30,1.8060900000000002,1.8265,1.7859
1996-10-01,1.80899,0.0,0.0
1996-10-02,1.8122099999999999,1.8330000000000002,1.7916
1996-10-03,1.8074,1.8279,1.7871
1996-10-04,1.80643,0.0,0.0
1996-10-07,1.8101900000000002,0.0,0.0
1996-10-08,1.81407,1.8353,1.7931
1996-10-09,1.8149,0.0,0.0
1996-10-10,1.8151400000000002,1.8357,1.7948
1996-10-11,1.81585,1.8383,1.7937
1996-10-14,1.81647,1.8368,1.7964
1996-10-15,1.8154,0.0,0.0
1996-10-16,1.8143,0.0,0.0
1996-10-17,1.81391,1.8339,1.7942
1996-10-18,1.8128900000000001,1.8354,1.7907
1996-10-21,1.8122200000000002,0.0,0.0
1996-10-22,1.8136700000000001,0.0,0.0
1996-10-23,1.8174099999999997,1.8382,1.7968
1996-10-24,1.81818,1.8394,1.7972
1996-10-25,1.8146099999999998,1.8356,1.7939
1996-10-28,1.81298,0.0,0.0
1996-10-29,1.8175,0.0,0.0
1996-10-30,1.8205900000000002,1.8416,1.7998
1996-10-31,1.8228,1.8444,1.8015
1996-11-01,1.82285,1.8444,1.8015
1996-11-04,1.82487,1.8464,1.8036
1996-11-05,1.82762,0.0,0.0
1996-11-06,1.82587,0.0,0.0
