Date,Rate,High (est),Low (est)
2006-04-17,0.0197363,0.0,0.0
2006-04-18,0.0197634,0.019995,0.019535
2006-04-19,0.0198611,0.0,0.0
2006-04-20,0.020027200000000002,0.020263,0.019794
2006-04-21,0.0200363,0.020274,0.019802
2006-04-24,0.0200636,0.0203,0.01983
2006-04-25,0.0200636,0.0,0.0
2006-04-26,0.0201616,0.0,0.0
2006-04-27,0.0201616,0.0,0.0
2006-04-28,0.0201616,0.0,0.0
2006-05-01,0.0203893,0.020625,0.020156999999999998
2006-05-02,0.0203893,0.0,0.0
2006-05-03,0.0204371,0.020671000000000002,0.020206000000000002
2006-05-04,0.020463099999999998,0.020699000000000002,0.020229
2006-05-05,0.020463099999999998,0.0,0.0
2006-05-08,0.0205645,0.020817,0.020315
2006-05-09,0.020664099999999998,0.020913,0.020418000000000002
2006-05-10,0.020635499999999998,0.020888999999999998,0.020385
2006-05-11,0.0207275,0.020973,0.020484
2006-05-12,0.0207359,0.020986,0.020489
2006-05-15,0.0209447,0.0,0.0
2006-05-16,0.0210382,0.0,0.0
2006-05-17,0.0208725,0.02112,0.020628
2006-05-18,0.0208605,0.0,0.0
2006-05-19,0.0208605,0.0,0.0
2006-05-22,0.0208605,0.0,0.0
2006-05-23,0.0208363,0.021084000000000002,0.020592
2006-05-24,0.0207359,0.020986,0.020489
2006-05-25,0.0208209,0.0,0.0
2006-05-26,0.0208363,0.021084000000000002,0.020592
2006-05-29,0.0207359,0.020986,0.020489
2006-05-30,0.0207637,0.02101,0.02052
2006-05-31,0.0208605,0.0,0.0
2006-06-01,0.0208605,0.0,0.0
2006-06-02,0.0207718,0.021022,0.020525
2006-06-05,0.020885400000000002,0.0,0.0
2006-06-06,0.0210612,0.0,0.0
2006-06-07,0.0210612,0.0,0.0
2006-06-08,0.020908799999999998,0.021157,0.020664
2006-06-09,0.020908799999999998,0.0,0.0
2006-06-12,0.0207359,0.020986,0.020489
2006-06-13,0.0205738,0.020811,0.020339
2006-06-14,0.0205738,0.0,0.0
2006-06-15,0.0205738,0.0,0.0
2006-06-16,0.0205738,0.0,0.0
2006-06-19,0.0205738,0.0,0.0
2006-06-20,0.0204371,0.020671000000000002,0.020206000000000002
2006-06-21,0.020463099999999998,0.020699000000000002,0.020229
2006-06-22,0.020463099999999998,0.0,0.0
2006-06-23,0.020463099999999998,0.0,0.0
2006-06-26,0.020463099999999998,0.0,0.0
2006-06-27,0.020463099999999998,0.0,0.0
2006-06-28,0.0204371,0.020671000000000002,0.020206000000000002
2006-06-29,0.0204371,0.0,0.0
2006-06-30,0.020463099999999998,0.020699000000000002,0.020229
2006-07-03,0.020628200000000003,0.020877,0.020383000000000002
2006-07-04,0.0207637,0.02101,0.02052
2006-07-05,0.0207637,0.0,0.0
2006-07-06,0.0207637,0.0,0.0
2006-07-07,0.0207637,0.0,0.0
2006-07-10,0.0208605,0.0,0.0
2006-07-11,0.0207718,0.021022,0.020525
2006-07-12,0.0207718,0.0,0.0
2006-07-13,0.0207718,0.0,0.0
2006-07-14,0.0207718,0.0,0.0
2006-07-17,0.020635499999999998,0.020888999999999998,0.020385
2006-07-18,0.020635499999999998,0.0,0.0
2006-07-19,0.020536900000000004,0.020774,0.020302
2006-07-20,0.0203704,0.020623,0.020121
2006-07-21,0.0204262,0.020662,0.020193
2006-07-24,0.0204371,0.020671000000000002,0.020206000000000002
2006-07-25,0.0204371,0.0,0.0
