Date,Rate,High (est),Low (est)
1996-09-09,0.22255,0.22533000000000003,0.21980999999999998
1996-09-10,0.222504,0.0,0.0
1996-09-11,0.222504,0.0,0.0
1996-09-12,0.22289099999999998,0.22554000000000002,0.22028000000000003
1996-09-13,0.22245900000000002,0.0,0.0
1996-09-16,0.22245900000000002,0.0,0.0
1996-09-17,0.22259,0.0,0.0
1996-09-18,0.22283699999999998,0.22545,0.22025
1996-09-19,0.222861,0.0,0.0
1996-09-20,0.222708,0.22537,0.22007
1996-09-23,0.221966,0.22457,0.2194
1996-09-24,0.221663,0.22421999999999997,0.21914
1996-09-25,0.221663,0.0,0.0
1996-09-26,0.221663,0.0,0.0
1996-09-27,0.221663,0.0,0.0
1996-09-30,0.221323,0.22386,0.21882
1996-10-01,0.22052199999999997,0.22319,0.21788000000000002
1996-10-02,0.220829,0.22336,0.21833000000000002
1996-10-03,0.220829,0.0,0.0
1996-10-04,0.22101500000000002,0.0,0.0
1996-10-07,0.220658,0.0,0.0
1996-10-08,0.220437,0.22296999999999997,0.21793
1996-10-09,0.22046100000000002,0.0,0.0
1996-10-10,0.219836,0.0,0.0
1996-10-11,0.219721,0.22238000000000002,0.21709
1996-10-14,0.219964,0.22264,0.21731999999999999
1996-10-15,0.220252,0.22279000000000002,0.21775
1996-10-16,0.22027199999999997,0.22294,0.21764
1996-10-17,0.22027199999999997,0.0,0.0
1996-10-18,0.220007,0.22266999999999998,0.21738000000000002
1996-10-21,0.219773,0.22233000000000003,0.21724000000000002
1996-10-22,0.219011,0.22149000000000002,0.21656
1996-10-23,0.218729,0.2214,0.21609
1996-10-24,0.21849000000000002,0.0,0.0
1996-10-25,0.218361,0.0,0.0
1996-10-28,0.21716,0.0,0.0
1996-10-29,0.214939,0.0,0.0
1996-10-30,0.21369699999999997,0.0,0.0
1996-10-31,0.21165599999999998,0.0,0.0
1996-11-01,0.21165599999999998,0.0,0.0
1996-11-04,0.212218,0.21472,0.20974
1996-11-05,0.212218,0.0,0.0
1996-11-06,0.212218,0.0,0.0
1996-11-07,0.212646,0.0,0.0
1996-11-08,0.21255500000000002,0.21509,0.21005
1996-11-11,0.212319,0.21481999999999998,0.20985
1996-11-12,0.21310700000000002,0.21555,0.21069000000000002
1996-11-13,0.21310700000000002,0.0,0.0
1996-11-14,0.21338200000000002,0.2159,0.21089000000000002
1996-11-15,0.21338200000000002,0.0,0.0
1996-11-18,0.21386799999999997,0.0,0.0
1996-11-19,0.21461799999999998,0.21728000000000003,0.21199
1996-11-20,0.21570100000000003,0.0,0.0
1996-11-21,0.21652399999999997,0.21921,0.21386999999999998
1996-11-22,0.21651399999999998,0.0,0.0
1996-11-25,0.216523,0.0,0.0
1996-11-26,0.216903,0.0,0.0
1996-11-27,0.216903,0.0,0.0
1996-11-28,0.218746,0.22129000000000001,0.21623
1996-11-29,0.21892899999999998,0.22158000000000003,0.21631
1996-12-02,0.21892899999999998,0.0,0.0
1996-12-03,0.21892899999999998,0.0,0.0
