Date,Rate,High (est),Low (est)
2001-02-23,2.59754,0.0,0.0
2001-02-26,2.59754,0.0,0.0
2001-02-27,2.59754,0.0,0.0
2001-02-28,2.59754,0.0,0.0
2001-03-01,2.5975599999999996,0.0,0.0
2001-03-02,2.59754,0.0,0.0
2001-03-05,2.59754,0.0,0.0
2001-03-06,2.59754,0.0,0.0
2001-03-07,2.59754,0.0,0.0
2001-03-08,2.59754,0.0,0.0
2001-03-09,2.59754,0.0,0.0
2001-03-12,2.59711,2.6293,2.5653
2001-03-13,2.59732,0.0,0.0
2001-03-14,2.59754,0.0,0.0
2001-03-15,2.59754,0.0,0.0
2001-03-16,2.59754,0.0,0.0
2001-03-19,2.59754,0.0,0.0
2001-03-20,2.59754,0.0,0.0
2001-03-21,2.59754,0.0,0.0
2001-03-22,2.59754,0.0,0.0
2001-03-23,2.59754,0.0,0.0
2001-03-26,2.59754,0.0,0.0
2001-03-27,2.59754,0.0,0.0
2001-03-28,2.5975599999999996,0.0,0.0
2001-03-29,2.5975599999999996,0.0,0.0
2001-03-30,2.59715,2.6294,2.5653
2001-04-02,2.59732,0.0,0.0
2001-04-03,2.59747,2.6297,2.5656
2001-04-04,2.59747,0.0,0.0
2001-04-05,2.59746,0.0,0.0
2001-04-06,2.5975599999999996,0.0,0.0
2001-04-09,2.59715,2.6294,2.5653
2001-04-10,2.59726,0.0,0.0
2001-04-11,2.59744,2.6297,2.5656
2001-04-12,2.59744,0.0,0.0
2001-04-13,2.59744,0.0,0.0
2001-04-16,2.59746,0.0,0.0
2001-04-17,2.59746,0.0,0.0
2001-04-18,2.59744,2.6297,2.5656
2001-04-19,2.59744,0.0,0.0
2001-04-20,2.59746,0.0,0.0
2001-04-23,2.59746,0.0,0.0
2001-04-24,2.5975599999999996,0.0,0.0
2001-04-25,2.5975599999999996,0.0,0.0
2001-04-26,2.59754,0.0,0.0
2001-04-27,2.59754,0.0,0.0
2001-04-30,2.5975599999999996,0.0,0.0
2001-05-01,2.5975599999999996,0.0,0.0
2001-05-02,2.59754,0.0,0.0
2001-05-03,2.59744,2.6297,2.5656
2001-05-04,2.5975200000000003,0.0,0.0
2001-05-07,2.5975200000000003,0.0,0.0
2001-05-08,2.5975200000000003,0.0,0.0
2001-05-09,2.5975200000000003,0.0,0.0
2001-05-10,2.59754,0.0,0.0
2001-05-11,2.59754,0.0,0.0
2001-05-14,2.5975599999999996,0.0,0.0
2001-05-15,2.59747,2.6297,2.5656
2001-05-16,2.59746,0.0,0.0
2001-05-17,2.59746,0.0,0.0
2001-05-18,2.59746,0.0,0.0
2001-05-21,2.59744,2.6297,2.5656
2001-05-22,2.59746,0.0,0.0
2001-05-23,2.5975599999999996,0.0,0.0
2001-05-24,2.5975599999999996,0.0,0.0
2001-05-25,2.5975599999999996,0.0,0.0
2001-05-28,2.5975599999999996,0.0,0.0
2001-05-29,2.59754,0.0,0.0
2001-05-30,2.59754,0.0,0.0
2001-05-31,2.59754,0.0,0.0
2001-06-01,2.5975599999999996,0.0,0.0
2001-06-04,2.5975599999999996,0.0,0.0
2001-06-05,2.59754,0.0,0.0
2001-06-06,2.59754,0.0,0.0
2001-06-07,2.59754,0.0,0.0
2001-06-08,2.59754,0.0,0.0
2001-06-11,2.59744,2.6297,2.5656
2001-06-12,2.59746,0.0,0.0
2001-06-13,2.5975599999999996,0.0,0.0
