Date,Rate,High (est),Low (est)
1996-04-01,0.754424,0.0,0.0
1996-04-02,0.7602949999999999,0.7694,0.7513
1996-04-03,0.761089,0.7701100000000001,0.75217
1996-04-04,0.761089,0.0,0.0
1996-04-05,0.761089,0.0,0.0
1996-04-08,0.761089,0.0,0.0
1996-04-09,0.763191,0.77228,0.75421
1996-04-10,0.763191,0.0,0.0
1996-04-11,0.763191,0.0,0.0
1996-04-12,0.763191,0.0,0.0
1996-04-15,0.763191,0.0,0.0
1996-04-16,0.763191,0.0,0.0
1996-04-17,0.763191,0.0,0.0
1996-04-18,0.763191,0.0,0.0
1996-04-19,0.769501,0.0,0.0
1996-04-22,0.769501,0.0,0.0
1996-04-23,0.769501,0.0,0.0
1996-04-24,0.769501,0.0,0.0
1996-04-25,0.769501,0.0,0.0
1996-04-26,0.769501,0.0,0.0
1996-04-29,0.773438,0.78215,0.7648199999999999
1996-04-30,0.773438,0.0,0.0
1996-05-01,0.773438,0.0,0.0
1996-05-02,0.772093,0.7811899999999999,0.7631
1996-05-03,0.769944,0.77847,0.76151
1996-05-06,0.768188,0.0,0.0
1996-05-07,0.768188,0.0,0.0
1996-05-08,0.7690600000000001,0.77768,0.76054
1996-05-09,0.7715,0.0,0.0
1996-05-10,0.7715,0.0,0.0
1996-05-13,0.7715,0.0,0.0
1996-05-14,0.7715,0.0,0.0
1996-05-15,0.7715,0.0,0.0
1996-05-16,0.7715,0.0,0.0
1996-05-17,0.7715,0.0,0.0
1996-05-20,0.77094,0.77958,0.7624
1996-05-21,0.77094,0.0,0.0
1996-05-22,0.77094,0.0,0.0
1996-05-23,0.773291,0.78183,0.76484
1996-05-24,0.776075,0.78561,0.76666
1996-05-27,0.776075,0.0,0.0
1996-05-28,0.776075,0.0,0.0
1996-05-29,0.776075,0.0,0.0
1996-05-30,0.776075,0.0,0.0
1996-05-31,0.776075,0.0,0.0
1996-06-03,0.776075,0.0,0.0
1996-06-04,0.776075,0.0,0.0
1996-06-05,0.776821,0.7862399999999999,0.76752
1996-06-06,0.776821,0.0,0.0
1996-06-07,0.776821,0.0,0.0
1996-06-10,0.778515,0.0,0.0
1996-06-11,0.778515,0.0,0.0
1996-06-12,0.781323,0.0,0.0
1996-06-13,0.781879,0.79052,0.7733399999999999
1996-06-14,0.7808689999999999,0.78988,0.7719600000000001
1996-06-17,0.780184,0.78927,0.7712
1996-06-18,0.779697,0.0,0.0
1996-06-19,0.779697,0.0,0.0
1996-06-20,0.7782279999999999,0.7874,0.7691600000000001
1996-06-21,0.7782279999999999,0.0,0.0
