Date,Rate,High (est),Low (est)
1996-09-09,3.14718,0.0,0.0
1996-09-10,3.14718,0.0,0.0
1996-09-11,3.1411,3.1793,3.1034
1996-09-12,3.1328,3.1707,3.0953
1996-09-13,3.1236,3.1615,3.0862
1996-09-16,3.1236,0.0,0.0
1996-09-17,3.11147,3.1487,3.0747
1996-09-18,3.10307,0.0,0.0
1996-09-19,3.09475,3.1304,3.0595
1996-09-20,3.09475,0.0,0.0
1996-09-23,3.09475,0.0,0.0
1996-09-24,3.08526,0.0,0.0
1996-09-25,3.08135,3.1168,3.0463
1996-09-26,3.07278,3.1078,3.0381
1996-09-27,3.0699099999999997,0.0,0.0
1996-09-30,3.06803,3.1031,3.0334
1996-10-01,3.06803,0.0,0.0
1996-10-02,3.06685,3.1015,3.0326
1996-10-03,3.06743,3.1042,3.0311
1996-10-04,3.06743,0.0,0.0
1996-10-07,3.06743,0.0,0.0
1996-10-08,3.06743,0.0,0.0
1996-10-09,3.06162,3.0961,3.0275
1996-10-10,3.06162,0.0,0.0
1996-10-11,3.04968,0.0,0.0
1996-10-14,3.04125,0.0,0.0
1996-10-15,3.03508,3.07,3.0005
1996-10-16,3.0297400000000003,3.0634,2.9964
1996-10-17,3.02656,3.0607,2.9928
1996-10-18,3.02287,3.0575,2.9886
1996-10-21,3.02108,0.0,0.0
1996-10-22,3.00941,3.0461,2.9732
1996-10-23,3.00442,0.0,0.0
1996-10-24,3.00672,3.0434,2.9705
1996-10-25,2.99899,3.0335,2.9649
1996-10-28,2.98297,0.0,0.0
1996-10-29,2.96901,3.0033,2.9351
1996-10-30,2.9538599999999997,2.9893,2.9189
1996-10-31,2.9538599999999997,0.0,0.0
1996-11-01,2.93993,0.0,0.0
1996-11-04,2.9294,2.9618,2.8974
1996-11-05,2.92067,2.9555,2.8863
1996-11-06,2.92067,0.0,0.0
1996-11-07,2.9056599999999997,2.9389,2.8728
1996-11-08,2.89975,0.0,0.0
1996-11-11,2.89975,0.0,0.0
1996-11-12,2.88875,2.9222,2.8557
1996-11-13,2.88165,0.0,0.0
1996-11-14,2.8698099999999998,2.9051,2.835
1996-11-15,2.8620400000000004,2.8972,2.8274
1996-11-18,2.8620400000000004,0.0,0.0
1996-11-19,2.8561,0.0,0.0
1996-11-20,2.85278,2.8846,2.8213
1996-11-21,2.85173,0.0,0.0
1996-11-22,2.83468,2.8668,2.8029
1996-11-25,2.81147,0.0,0.0
1996-11-26,2.80185,2.8334,2.7707
1996-11-27,2.79109,2.8248,2.7578
1996-11-28,2.7799099999999997,2.8136,2.7466
1996-11-29,2.77275,0.0,0.0
1996-12-02,2.77275,0.0,0.0
1996-12-03,2.76658,0.0,0.0
1996-12-04,2.76658,0.0,0.0
1996-12-05,2.76658,0.0,0.0
1996-12-06,2.7638,0.0,0.0
1996-12-09,2.74868,2.7794,2.7183
1996-12-10,2.72533,2.7592,2.6919
1996-12-11,2.69464,2.7254,2.6643
1996-12-12,2.6654400000000003,2.6956,2.6356
1996-12-13,2.6516599999999997,2.6816,2.6221
1996-12-16,2.6423900000000002,2.6735,2.6117
1996-12-17,2.6423900000000002,0.0,0.0
1996-12-18,2.5895599999999996,2.6195,2.56
1996-12-19,2.55673,2.5863,2.5275
1996-12-20,2.55024,2.5788,2.522
1996-12-23,2.5055099999999997,2.5352,2.4762
1996-12-24,2.44631,0.0,0.0
1996-12-25,2.44631,0.0,0.0
1996-12-26,2.44631,0.0,0.0
1996-12-27,2.4188099999999997,2.4459,2.392
1996-12-30,2.4188099999999997,0.0,0.0
1996-12-31,2.4188099999999997,0.0,0.0
1997-01-01,2.4188099999999997,0.0,0.0
1997-01-02,2.4188099999999997,0.0,0.0
1997-01-03,2.4188099999999997,0.0,0.0
