Date,Rate,High (est),Low (est)
1996-03-29,0.20553200000000002,0.20792,0.20317000000000002
1996-04-01,0.20553200000000002,0.0,0.0
1996-04-02,0.20553200000000002,0.0,0.0
1996-04-03,0.20553200000000002,0.0,0.0
1996-04-04,0.20553200000000002,0.0,0.0
1996-04-05,0.205217,0.20748000000000003,0.20297
1996-04-08,0.205217,0.0,0.0
1996-04-09,0.205217,0.0,0.0
1996-04-10,0.205217,0.0,0.0
1996-04-11,0.205217,0.0,0.0
1996-04-12,0.205217,0.0,0.0
1996-04-15,0.202968,0.0,0.0
1996-04-16,0.202968,0.0,0.0
1996-04-17,0.202968,0.0,0.0
1996-04-18,0.202968,0.0,0.0
1996-04-19,0.202968,0.0,0.0
1996-04-22,0.202985,0.20525,0.20074
1996-04-23,0.202985,0.0,0.0
1996-04-24,0.202985,0.0,0.0
1996-04-25,0.202985,0.0,0.0
1996-04-26,0.202985,0.0,0.0
1996-04-29,0.202985,0.0,0.0
1996-04-30,0.202985,0.0,0.0
1996-05-01,0.202985,0.0,0.0
1996-05-02,0.200024,0.20235999999999998,0.19771
1996-05-03,0.198217,0.20052999999999999,0.19593
1996-05-06,0.198217,0.0,0.0
1996-05-07,0.198217,0.0,0.0
1996-05-08,0.198217,0.0,0.0
1996-05-09,0.198217,0.0,0.0
1996-05-10,0.198656,0.20105,0.19629000000000002
1996-05-13,0.198656,0.0,0.0
1996-05-14,0.198656,0.0,0.0
1996-05-15,0.198656,0.0,0.0
1996-05-16,0.198656,0.0,0.0
1996-05-17,0.198547,0.20087,0.19625
1996-05-20,0.198547,0.0,0.0
1996-05-21,0.198547,0.0,0.0
1996-05-22,0.198547,0.0,0.0
1996-05-23,0.198547,0.0,0.0
1996-05-24,0.198547,0.0,0.0
1996-05-27,0.198905,0.2012,0.19664
1996-05-28,0.198905,0.0,0.0
1996-05-29,0.198905,0.0,0.0
1996-05-30,0.198905,0.0,0.0
1996-05-31,0.198905,0.0,0.0
1996-06-03,0.198905,0.0,0.0
1996-06-04,0.198905,0.0,0.0
1996-06-05,0.198905,0.0,0.0
1996-06-06,0.198905,0.0,0.0
1996-06-07,0.198905,0.0,0.0
1996-06-10,0.198905,0.0,0.0
1996-06-11,0.198905,0.0,0.0
1996-06-12,0.198905,0.0,0.0
1996-06-13,0.198905,0.0,0.0
1996-06-14,0.198905,0.0,0.0
1996-06-17,0.198905,0.0,0.0
1996-06-18,0.198905,0.0,0.0
1996-06-19,0.198905,0.0,0.0
1996-06-20,0.198905,0.0,0.0
1996-06-21,0.198905,0.0,0.0
1996-06-24,0.198905,0.0,0.0
1996-06-25,0.198905,0.0,0.0
1996-06-26,0.198905,0.0,0.0
1996-06-27,0.198905,0.0,0.0
1996-06-28,0.198905,0.0,0.0
1996-07-01,0.198905,0.0,0.0
1996-07-02,0.198905,0.0,0.0
1996-07-03,0.198905,0.0,0.0
1996-07-04,0.198905,0.0,0.0
1996-07-05,0.19883900000000002,0.0,0.0
1996-07-08,0.19883900000000002,0.0,0.0
1996-07-09,0.19883900000000002,0.0,0.0
1996-07-10,0.19883900000000002,0.0,0.0
1996-07-11,0.19883900000000002,0.0,0.0
1996-07-12,0.199148,0.0,0.0
1996-07-15,0.199148,0.0,0.0
1996-07-16,0.199148,0.0,0.0
1996-07-17,0.199148,0.0,0.0
1996-07-18,0.199148,0.0,0.0
1996-07-19,0.20175,0.20402,0.19951
1996-07-22,0.20175,0.0,0.0
1996-07-23,0.20175,0.0,0.0
1996-07-24,0.20175,0.0,0.0
1996-07-25,0.20175,0.0,0.0
1996-07-26,0.204425,0.0,0.0
1996-07-29,0.204425,0.0,0.0
1996-07-30,0.204425,0.0,0.0
1996-07-31,0.204425,0.0,0.0
1996-08-01,0.204425,0.0,0.0
1996-08-02,0.204425,0.0,0.0
1996-08-05,0.204425,0.0,0.0
1996-08-06,0.204425,0.0,0.0
1996-08-07,0.204425,0.0,0.0
1996-08-08,0.204425,0.0,0.0
1996-08-09,0.204551,0.20684,0.20228
1996-08-12,0.204551,0.0,0.0
1996-08-13,0.204551,0.0,0.0
1996-08-14,0.204551,0.0,0.0
1996-08-15,0.204551,0.0,0.0
1996-08-16,0.203791,0.0,0.0
1996-08-19,0.203791,0.0,0.0
1996-08-20,0.203791,0.0,0.0
1996-08-21,0.203791,0.0,0.0
1996-08-22,0.203791,0.0,0.0
1996-08-23,0.203791,0.0,0.0
1996-08-26,0.20441900000000002,0.20676999999999998,0.2021
1996-08-27,0.203899,0.2062,0.20162
1996-08-28,0.203899,0.0,0.0
1996-08-29,0.203899,0.0,0.0
1996-08-30,0.203899,0.0,0.0
1996-09-02,0.204231,0.20649,0.20199999999999999
1996-09-03,0.204231,0.0,0.0
1996-09-04,0.204231,0.0,0.0
1996-09-05,0.204231,0.0,0.0
1996-09-06,0.20444,0.0,0.0
1996-09-09,0.20541900000000002,0.0,0.0
1996-09-10,0.204999,0.0,0.0
1996-09-11,0.204999,0.0,0.0
1996-09-12,0.204999,0.0,0.0
1996-09-13,0.204999,0.0,0.0
1996-09-16,0.204999,0.0,0.0
1996-09-17,0.204999,0.0,0.0
1996-09-18,0.204999,0.0,0.0
1996-09-19,0.204999,0.0,0.0
1996-09-20,0.204999,0.0,0.0
1996-09-23,0.204999,0.0,0.0
1996-09-24,0.204999,0.0,0.0
1996-09-25,0.204999,0.0,0.0
1996-09-26,0.204999,0.0,0.0
1996-09-27,0.204999,0.0,0.0
1996-09-30,0.201425,0.2039,0.19898
1996-10-01,0.201425,0.0,0.0
1996-10-02,0.201425,0.0,0.0
1996-10-03,0.201425,0.0,0.0
1996-10-04,0.19852899999999998,0.20074,0.19634000000000001
1996-10-07,0.19852899999999998,0.0,0.0
1996-10-08,0.19852899999999998,0.0,0.0
1996-10-09,0.19852899999999998,0.0,0.0
1996-10-10,0.19852899999999998,0.0,0.0
1996-10-11,0.19808499999999998,0.20047,0.19573
1996-10-14,0.19808499999999998,0.0,0.0
1996-10-15,0.19808499999999998,0.0,0.0
1996-10-16,0.19808499999999998,0.0,0.0
1996-10-17,0.19808499999999998,0.0,0.0
1996-10-18,0.197072,0.1995,0.19468
1996-10-21,0.197072,0.0,0.0
1996-10-22,0.197072,0.0,0.0
1996-10-23,0.197072,0.0,0.0
1996-10-24,0.197072,0.0,0.0
1996-10-25,0.197725,0.0,0.0
1996-10-28,0.197725,0.0,0.0
1996-10-29,0.197725,0.0,0.0
1996-10-30,0.197725,0.0,0.0
1996-10-31,0.197725,0.0,0.0
1996-11-01,0.19989200000000001,0.0,0.0
1996-11-04,0.19989200000000001,0.0,0.0
1996-11-05,0.19989200000000001,0.0,0.0
1996-11-06,0.19989200000000001,0.0,0.0
1996-11-07,0.19989200000000001,0.0,0.0
1996-11-08,0.19989200000000001,0.0,0.0
1996-11-11,0.199435,0.0,0.0
1996-11-12,0.199435,0.0,0.0
1996-11-13,0.199435,0.0,0.0
1996-11-14,0.199435,0.0,0.0
1996-11-15,0.200169,0.20245,0.19792
1996-11-18,0.200169,0.0,0.0
1996-11-19,0.200169,0.0,0.0
1996-11-20,0.200169,0.0,0.0
1996-11-21,0.200169,0.0,0.0
1996-11-22,0.20104,0.0,0.0
1996-11-25,0.20104,0.0,0.0
1996-11-26,0.20104,0.0,0.0
1996-11-27,0.20104,0.0,0.0
1996-11-28,0.20104,0.0,0.0
1996-11-29,0.20104,0.0,0.0
1996-12-02,0.20104,0.0,0.0
1996-12-03,0.20104,0.0,0.0
1996-12-04,0.20104,0.0,0.0
1996-12-05,0.20104,0.0,0.0
1996-12-06,0.20104,0.0,0.0
1996-12-09,0.20104,0.0,0.0
1996-12-10,0.20104,0.0,0.0
1996-12-11,0.20104,0.0,0.0
1996-12-12,0.20104,0.0,0.0
1996-12-13,0.20104,0.0,0.0
1996-12-16,0.20104,0.0,0.0
1996-12-17,0.20104,0.0,0.0
1996-12-18,0.20104,0.0,0.0
1996-12-19,0.20104,0.0,0.0
1996-12-20,0.20104,0.0,0.0
1996-12-23,0.20104,0.0,0.0
