Date,Rate,High (est),Low (est)
1996-09-09,0.0002,0.0,0.0
1996-09-10,5376.73,0.0,0.0
1996-09-11,0.0002,0.0,0.0
1996-09-12,0.0002,0.0,0.0
1996-09-13,0.0002,0.0,0.0
1996-09-16,0.0002,0.0,0.0
1996-09-17,0.0002,0.0,0.0
1996-09-18,0.0002,0.0,0.0
1996-09-19,0.0002,0.0,0.0
1996-09-20,0.0002,0.0,0.0
1996-09-23,0.0002,0.0,0.0
1996-09-24,0.0002,0.0,0.0
1996-09-25,0.0002,0.0,0.0
1996-09-26,0.0002,0.0,0.0
1996-09-27,0.0002,0.0,0.0
1996-09-30,0.0002,0.0,0.0
1996-10-01,0.0002,0.0,0.0
1996-10-02,0.0002,0.0,0.0
1996-10-03,0.0002,0.0,0.0
1996-10-04,0.0002,0.0,0.0
1996-10-07,0.0002,0.0,0.0
1996-10-08,0.0002,0.0,0.0
1996-10-09,0.0002,0.0,0.0
1996-10-10,0.0002,0.0,0.0
1996-10-11,0.0002,0.0,0.0
1996-10-14,0.0002,0.0,0.0
1996-10-15,0.0002,0.0,0.0
1996-10-16,0.0002,0.0,0.0
1996-10-17,0.0002,0.0,0.0
1996-10-18,0.0002,0.0,0.0
1996-10-21,0.0002,0.0,0.0
1996-10-22,0.0002,0.0,0.0
1996-10-23,0.0002,0.0,0.0
1996-10-24,0.0002,0.0,0.0
1996-10-25,0.0002,0.0,0.0
1996-10-28,0.0002,0.0,0.0
1996-10-29,0.0002,0.0,0.0
1996-10-30,0.0002,0.0,0.0
1996-10-31,0.0002,0.0,0.0
1996-11-01,0.0002,0.0,0.0
1996-11-04,0.0002,0.0,0.0
1996-11-05,0.0002,0.0,0.0
1996-11-06,0.0002,0.0,0.0
1996-11-07,0.0002,0.0,0.0
1996-11-08,0.0002,0.0,0.0
1996-11-11,0.0002,0.0,0.0
1996-11-12,0.0002,0.0,0.0
1996-11-13,0.0002,0.0,0.0
1996-11-14,0.0002,0.0,0.0
1996-11-15,0.0002,0.0,0.0
1996-11-18,0.0002,0.0,0.0
1996-11-19,0.0002,0.0,0.0
1996-11-20,0.0002,0.0,0.0
1996-11-21,0.0002,0.0,0.0
1996-11-22,0.0002,0.0,0.0
1996-11-25,0.0002,0.0,0.0
1996-11-26,0.0002,0.0,0.0
1996-11-27,0.0002,0.0,0.0
1996-11-28,0.0002,0.0,0.0
