Date,Rate,High (est),Low (est)
1995-07-19,0.201,0.0,0.0
1995-07-20,0.201,0.0,0.0
1995-07-21,0.201,0.0,0.0
1995-07-24,0.201,0.0,0.0
1995-07-25,0.201,0.0,0.0
1995-07-26,0.201,0.0,0.0
1995-07-27,0.201,0.0,0.0
1995-07-28,0.201,0.0,0.0
1995-07-31,0.201,0.0,0.0
1995-08-01,0.201,0.0,0.0
1995-08-02,0.201,0.0,0.0
1995-08-03,0.201,0.0,0.0
1995-08-04,0.201,0.0,0.0
1995-08-07,0.201,0.0,0.0
1995-08-08,0.201,0.0,0.0
1995-08-09,0.201,0.0,0.0
1995-08-10,0.201,0.0,0.0
1995-08-11,0.201,0.0,0.0
1995-08-14,0.201,0.0,0.0
1995-08-15,0.201,0.0,0.0
1995-08-16,0.201,0.0,0.0
1995-08-17,0.201,0.0,0.0
1995-08-18,0.201,0.0,0.0
1995-08-21,0.201,0.0,0.0
1995-08-22,0.201,0.0,0.0
1995-08-23,0.201,0.0,0.0
1995-08-24,0.201,0.0,0.0
1995-08-25,0.201,0.0,0.0
1995-08-28,0.201,0.0,0.0
1995-08-29,0.201,0.0,0.0
1995-08-30,0.201,0.0,0.0
1995-08-31,0.201,0.0,0.0
1995-09-01,0.201,0.0,0.0
1995-09-04,0.201,0.0,0.0
1995-09-05,0.201,0.0,0.0
1995-09-06,0.201,0.0,0.0
1995-09-07,0.201,0.0,0.0
1995-09-08,0.201,0.0,0.0
1995-09-11,0.201,0.0,0.0
1995-09-12,0.201,0.0,0.0
1995-09-13,0.201,0.0,0.0
1995-09-14,0.201,0.0,0.0
1995-09-15,0.201,0.0,0.0
1995-09-18,0.201,0.0,0.0
1995-09-19,0.201,0.0,0.0
1995-09-20,0.201,0.0,0.0
1995-09-21,0.201,0.0,0.0
1995-09-22,0.201,0.0,0.0
1995-09-25,0.201,0.0,0.0
1995-09-26,0.201,0.0,0.0
1995-09-27,0.201,0.0,0.0
1995-09-28,0.201,0.0,0.0
1995-09-29,0.201,0.0,0.0
1995-10-02,0.201,0.0,0.0
1995-10-03,0.201,0.0,0.0
1995-10-04,0.201,0.0,0.0
1995-10-05,0.201,0.0,0.0
1995-10-06,0.201,0.0,0.0
1995-10-09,0.201,0.0,0.0
1995-10-10,0.201,0.0,0.0
1995-10-11,0.201,0.0,0.0
1995-10-12,0.201,0.0,0.0
1995-10-13,0.201,0.0,0.0
1995-10-16,0.201,0.0,0.0
1995-10-17,0.201,0.0,0.0
1995-10-18,0.201,0.0,0.0
1995-10-19,0.201,0.0,0.0
1995-10-20,0.201,0.0,0.0
1995-10-23,0.201,0.0,0.0
1995-10-24,0.201,0.0,0.0
1995-10-25,0.201,0.0,0.0
1995-10-26,0.201,0.0,0.0
1995-10-27,0.201,0.0,0.0
1995-10-30,0.201,0.0,0.0
1995-10-31,0.201,0.0,0.0
1995-11-01,0.201,0.0,0.0
1995-11-02,0.201,0.0,0.0
1995-11-03,0.201,0.0,0.0
1995-11-06,0.201,0.0,0.0
1995-11-07,0.201,0.0,0.0
1995-11-08,0.201,0.0,0.0
1995-11-09,0.201,0.0,0.0
1995-11-10,0.201,0.0,0.0
1995-11-13,0.201,0.0,0.0
1995-11-14,0.201,0.0,0.0
1995-11-15,0.201,0.0,0.0
1995-11-16,0.201,0.0,0.0
1995-11-17,0.201,0.0,0.0
1995-11-20,0.201,0.0,0.0
1995-11-21,0.201,0.0,0.0
1995-11-22,0.201,0.0,0.0
1995-11-23,0.201,0.0,0.0
1995-11-24,0.201,0.0,0.0
1995-11-27,0.201,0.0,0.0
1995-11-28,0.201,0.0,0.0
1995-11-29,0.201,0.0,0.0
1995-11-30,0.201,0.0,0.0
1995-12-01,0.201,0.0,0.0
1995-12-04,0.201,0.0,0.0
1995-12-05,0.201,0.0,0.0
1995-12-06,0.201,0.0,0.0
1995-12-07,0.201,0.0,0.0
1995-12-08,0.201,0.0,0.0
1995-12-11,0.201,0.0,0.0
1995-12-12,0.201,0.0,0.0
1995-12-13,0.201,0.0,0.0
1995-12-14,0.201,0.0,0.0
1995-12-15,0.201,0.0,0.0
1995-12-18,0.201,0.0,0.0
1995-12-19,0.201,0.0,0.0
1995-12-20,0.201,0.0,0.0
1995-12-21,0.201,0.0,0.0
1995-12-22,0.201,0.0,0.0
1995-12-25,0.201,0.0,0.0
1995-12-26,0.201,0.0,0.0
1995-12-27,0.201,0.0,0.0
1995-12-28,0.201,0.0,0.0
1995-12-29,0.201,0.0,0.0
1996-01-01,0.201,0.0,0.0
1996-01-02,0.201,0.0,0.0
1996-01-03,0.201,0.0,0.0
1996-01-04,0.201,0.0,0.0
1996-01-05,0.201,0.0,0.0
1996-01-08,0.201,0.0,0.0
1996-01-09,0.201,0.0,0.0
1996-01-10,0.201,0.0,0.0
1996-01-11,0.201,0.0,0.0
1996-01-12,0.201,0.0,0.0
1996-01-15,0.201,0.0,0.0
1996-01-16,0.201,0.0,0.0
1996-01-17,0.201,0.0,0.0
1996-01-18,0.201,0.0,0.0
1996-01-19,0.201,0.0,0.0
1996-01-22,0.201,0.0,0.0
1996-01-23,0.201,0.0,0.0
1996-01-24,0.201,0.0,0.0
1996-01-25,0.201,0.0,0.0
1996-01-26,0.201,0.0,0.0
1996-01-29,0.201,0.0,0.0
1996-01-30,0.201,0.0,0.0
1996-01-31,0.201,0.0,0.0
1996-02-01,0.201,0.0,0.0
1996-02-02,0.201,0.0,0.0
1996-02-05,0.201,0.0,0.0
1996-02-06,0.201,0.0,0.0
1996-02-07,0.201,0.0,0.0
1996-02-08,0.201,0.0,0.0
1996-02-09,0.201,0.0,0.0
1996-02-12,0.201,0.0,0.0
1996-02-13,0.201,0.0,0.0
1996-02-14,0.201,0.0,0.0
1996-02-15,0.201,0.0,0.0
1996-02-16,0.201,0.0,0.0
1996-02-19,0.201,0.0,0.0
1996-02-20,0.201,0.0,0.0
1996-02-21,0.201,0.0,0.0
1996-02-22,0.201,0.0,0.0
1996-02-23,0.201,0.0,0.0
1996-02-26,0.201,0.0,0.0
1996-02-27,0.201,0.0,0.0
1996-02-28,0.201,0.0,0.0
1996-02-29,0.201,0.0,0.0
1996-03-01,0.201,0.0,0.0
