Date,Rate,High (est),Low (est)
1991-07-09,0.568591,0.57507,0.56219
1991-07-10,0.568611,0.5756600000000001,0.56165
1991-07-11,0.568523,0.0,0.0
1991-07-12,0.567561,0.5746399999999999,0.56057
1991-07-15,0.569738,0.57607,0.56347
1991-07-16,0.571029,0.0,0.0
1991-07-17,0.570679,0.0,0.0
1991-07-18,0.57116,0.57752,0.56487
1991-07-19,0.571377,0.0,0.0
1991-07-22,0.571362,0.5777100000000001,0.56508
1991-07-23,0.570958,0.57757,0.56442
1991-07-24,0.571836,0.57845,0.5653
1991-07-25,0.571815,0.57817,0.56553
1991-07-26,0.570822,0.57773,0.564
1991-07-29,0.57128,0.5784100000000001,0.56424
1991-07-30,0.57208,0.5787399999999999,0.5655
1991-07-31,0.572551,0.57909,0.56609
1991-08-01,0.573696,0.58009,0.56738
1991-08-02,0.5740460000000001,0.5808,0.5673699999999999
1991-08-05,0.575617,0.0,0.0
1991-08-06,0.578639,0.58577,0.5716
1991-08-07,0.579639,0.0,0.0
1991-08-08,0.580716,0.0,0.0
1991-08-09,0.580696,0.5876600000000001,0.57382
1991-08-12,0.580559,0.58778,0.57343
1991-08-13,0.581073,0.58749,0.57473
1991-08-14,0.581178,0.0,0.0
1991-08-15,0.5811649999999999,0.58835,0.57406
1991-08-16,0.580418,0.0,0.0
1991-08-19,0.576803,0.5838800000000001,0.56981
1991-08-20,0.574842,0.58187,0.5679
1991-08-21,0.575976,0.0,0.0
1991-08-22,0.579122,0.0,0.0
1991-08-23,0.58034,0.58757,0.5732
1991-08-26,0.5798770000000001,0.58702,0.57282
1991-08-27,0.580153,0.58733,0.57306
1991-08-28,0.580595,0.58781,0.5734600000000001
1991-08-29,0.581249,0.0,0.0
1991-08-30,0.581414,0.58783,0.57506
1991-09-02,0.58112,0.0,0.0
1991-09-03,0.581695,0.58844,0.57503
1991-09-04,0.58216,0.0,0.0
1991-09-05,0.582015,0.0,0.0
1991-09-06,0.5820810000000001,0.0,0.0
1991-09-09,0.584819,0.59136,0.57835
1991-09-10,0.587151,0.59378,0.5806
