Date,Rate,High (est),Low (est)
1996-03-29,0.653093,0.0,0.0
1996-04-01,0.653093,0.0,0.0
1996-04-02,0.653093,0.0,0.0
1996-04-03,0.653093,0.0,0.0
1996-04-04,0.653093,0.0,0.0
1996-04-05,0.654103,0.6622600000000001,0.64604
1996-04-08,0.654103,0.0,0.0
1996-04-09,0.654103,0.0,0.0
1996-04-10,0.654103,0.0,0.0
1996-04-11,0.654103,0.0,0.0
1996-04-12,0.654103,0.0,0.0
1996-04-15,0.658891,0.66625,0.65161
1996-04-16,0.658891,0.0,0.0
1996-04-17,0.658891,0.0,0.0
1996-04-18,0.658891,0.0,0.0
1996-04-19,0.658891,0.0,0.0
1996-04-22,0.659381,0.6675399999999999,0.65132
1996-04-23,0.659381,0.0,0.0
1996-04-24,0.659381,0.0,0.0
1996-04-25,0.659381,0.0,0.0
1996-04-26,0.661485,0.6692600000000001,0.6538
1996-04-29,0.661485,0.0,0.0
1996-04-30,0.661485,0.0,0.0
1996-05-01,0.661485,0.0,0.0
1996-05-02,0.661485,0.0,0.0
1996-05-03,0.6645399999999999,0.0,0.0
1996-05-06,0.6645399999999999,0.0,0.0
1996-05-07,0.6645399999999999,0.0,0.0
1996-05-08,0.6645399999999999,0.0,0.0
1996-05-09,0.6645399999999999,0.0,0.0
1996-05-10,0.658885,0.6663399999999999,0.65151
1996-05-13,0.658885,0.0,0.0
1996-05-14,0.658885,0.0,0.0
1996-05-15,0.658885,0.0,0.0
1996-05-16,0.658885,0.0,0.0
1996-05-17,0.65847,0.66646,0.65058
1996-05-20,0.65847,0.0,0.0
1996-05-21,0.65847,0.0,0.0
1996-05-22,0.65847,0.0,0.0
1996-05-23,0.65847,0.0,0.0
1996-05-24,0.65847,0.0,0.0
1996-05-27,0.660464,0.66838,0.65264
1996-05-28,0.660464,0.0,0.0
1996-05-29,0.660464,0.0,0.0
1996-05-30,0.660464,0.0,0.0
1996-05-31,0.654273,0.66156,0.64707
1996-06-03,0.654273,0.0,0.0
1996-06-04,0.654273,0.0,0.0
1996-06-05,0.654273,0.0,0.0
1996-06-06,0.654273,0.0,0.0
1996-06-07,0.654273,0.0,0.0
1996-06-10,0.64799,0.65536,0.64071
1996-06-11,0.64799,0.0,0.0
1996-06-12,0.64799,0.0,0.0
1996-06-13,0.64799,0.0,0.0
1996-06-14,0.6488970000000001,0.65638,0.6415
1996-06-17,0.6488970000000001,0.0,0.0
1996-06-18,0.6488970000000001,0.0,0.0
1996-06-19,0.6488970000000001,0.0,0.0
1996-06-20,0.6488970000000001,0.0,0.0
1996-06-21,0.6488970000000001,0.0,0.0
1996-06-24,0.6488970000000001,0.0,0.0
1996-06-25,0.6488970000000001,0.0,0.0
1996-06-26,0.6488970000000001,0.0,0.0
1996-06-27,0.6488970000000001,0.0,0.0
1996-06-28,0.647566,0.65473,0.64048
1996-07-01,0.647566,0.0,0.0
1996-07-02,0.647566,0.0,0.0
1996-07-03,0.647566,0.0,0.0
1996-07-04,0.647566,0.0,0.0
1996-07-05,0.643373,0.65135,0.63549
1996-07-08,0.643373,0.0,0.0
1996-07-09,0.643373,0.0,0.0
1996-07-10,0.643373,0.0,0.0
1996-07-11,0.643373,0.0,0.0
1996-07-12,0.642829,0.65046,0.6352800000000001
1996-07-15,0.642829,0.0,0.0
1996-07-16,0.642829,0.0,0.0
1996-07-17,0.642829,0.0,0.0
1996-07-18,0.642829,0.0,0.0
1996-07-19,0.642829,0.0,0.0
1996-07-22,0.642829,0.0,0.0
1996-07-23,0.642829,0.0,0.0
1996-07-24,0.642829,0.0,0.0
1996-07-25,0.642829,0.0,0.0
1996-07-26,0.642829,0.0,0.0
1996-07-29,0.642829,0.0,0.0
1996-07-30,0.642829,0.0,0.0
1996-07-31,0.642829,0.0,0.0
1996-08-01,0.642829,0.0,0.0
1996-08-02,0.646382,0.0,0.0
1996-08-05,0.646382,0.0,0.0
1996-08-06,0.646382,0.0,0.0
1996-08-07,0.646382,0.0,0.0
1996-08-08,0.646382,0.0,0.0
1996-08-09,0.645645,0.65364,0.63775
1996-08-12,0.645645,0.0,0.0
1996-08-13,0.645645,0.0,0.0
1996-08-14,0.645645,0.0,0.0
1996-08-15,0.645645,0.0,0.0
1996-08-16,0.645645,0.0,0.0
1996-08-19,0.645645,0.0,0.0
1996-08-20,0.645645,0.0,0.0
1996-08-21,0.645645,0.0,0.0
1996-08-22,0.645645,0.0,0.0
1996-08-23,0.645645,0.0,0.0
1996-08-26,0.645645,0.0,0.0
1996-08-27,0.645645,0.0,0.0
1996-08-28,0.645645,0.0,0.0
1996-08-29,0.645645,0.0,0.0
1996-08-30,0.645645,0.0,0.0
1996-09-02,0.642943,0.6502899999999999,0.63568
1996-09-03,0.642943,0.0,0.0
1996-09-04,0.642943,0.0,0.0
1996-09-05,0.642943,0.0,0.0
1996-09-06,0.639806,0.0,0.0
1996-09-09,0.639806,0.0,0.0
1996-09-10,0.639806,0.0,0.0
1996-09-11,0.639806,0.0,0.0
1996-09-12,0.639806,0.0,0.0
1996-09-13,0.639806,0.0,0.0
1996-09-16,0.641768,0.0,0.0
1996-09-17,0.641768,0.0,0.0
1996-09-18,0.641768,0.0,0.0
1996-09-19,0.641768,0.0,0.0
1996-09-20,0.643771,0.65162,0.63602
1996-09-23,0.643771,0.0,0.0
1996-09-24,0.643771,0.0,0.0
1996-09-25,0.643771,0.0,0.0
1996-09-26,0.643771,0.0,0.0
1996-09-27,0.642103,0.0,0.0
1996-09-30,0.642103,0.0,0.0
1996-10-01,0.642103,0.0,0.0
1996-10-02,0.642103,0.0,0.0
1996-10-03,0.642103,0.0,0.0
1996-10-04,0.639764,0.64731,0.6323
1996-10-07,0.639764,0.0,0.0
1996-10-08,0.639764,0.0,0.0
1996-10-09,0.639764,0.0,0.0
1996-10-10,0.639764,0.0,0.0
1996-10-11,0.636637,0.64423,0.62913
1996-10-14,0.636637,0.0,0.0
1996-10-15,0.636637,0.0,0.0
1996-10-16,0.636637,0.0,0.0
1996-10-17,0.636637,0.0,0.0
1996-10-18,0.632505,0.6395,0.62559
1996-10-21,0.632505,0.0,0.0
1996-10-22,0.632505,0.0,0.0
1996-10-23,0.632505,0.0,0.0
1996-10-24,0.632505,0.0,0.0
1996-10-25,0.628346,0.63607,0.6207199999999999
1996-10-28,0.628346,0.0,0.0
1996-10-29,0.628346,0.0,0.0
1996-10-30,0.628346,0.0,0.0
1996-10-31,0.628346,0.0,0.0
1996-11-01,0.628346,0.0,0.0
1996-11-04,0.628346,0.0,0.0
1996-11-05,0.628346,0.0,0.0
1996-11-06,0.628346,0.0,0.0
1996-11-07,0.628346,0.0,0.0
1996-11-08,0.628346,0.0,0.0
1996-11-11,0.628346,0.0,0.0
1996-11-12,0.628346,0.0,0.0
1996-11-13,0.628346,0.0,0.0
1996-11-14,0.628346,0.0,0.0
1996-11-15,0.628346,0.0,0.0
1996-11-18,0.628346,0.0,0.0
1996-11-19,0.628346,0.0,0.0
1996-11-20,0.628346,0.0,0.0
1996-11-21,0.628346,0.0,0.0
1996-11-22,0.628346,0.0,0.0
1996-11-25,0.628346,0.0,0.0
1996-11-26,0.628346,0.0,0.0
1996-11-27,0.628346,0.0,0.0
1996-11-28,0.628346,0.0,0.0
1996-11-29,0.628346,0.0,0.0
1996-12-02,0.628346,0.0,0.0
1996-12-03,0.628346,0.0,0.0
1996-12-04,0.628346,0.0,0.0
1996-12-05,0.628346,0.0,0.0
1996-12-06,0.628346,0.0,0.0
1996-12-09,0.628346,0.0,0.0
1996-12-10,0.628346,0.0,0.0
1996-12-11,0.628346,0.0,0.0
1996-12-12,0.628346,0.0,0.0
1996-12-13,0.628346,0.0,0.0
1996-12-16,0.628346,0.0,0.0
1996-12-17,0.628346,0.0,0.0
1996-12-18,0.628346,0.0,0.0
1996-12-19,0.628346,0.0,0.0
1996-12-20,0.628346,0.0,0.0
1996-12-23,0.628346,0.0,0.0
1996-12-24,0.628346,0.0,0.0
1996-12-25,0.628346,0.0,0.0
1996-12-26,0.628346,0.0,0.0
1996-12-27,0.6064,0.6136699999999999,0.59922
1996-12-30,0.6064,0.0,0.0
1996-12-31,0.6064,0.0,0.0
