Date,Rate,High (est),Low (est)
1996-09-09,0.0327393,0.0,0.0
1996-09-10,0.0325711,0.03297,0.032177
1996-09-11,0.0325635,0.032947000000000004,0.032185000000000005
1996-09-12,0.0325355,0.032934,0.032142000000000004
1996-09-13,0.0325355,0.0,0.0
1996-09-16,0.0325355,0.0,0.0
1996-09-17,0.0325355,0.0,0.0
1996-09-18,0.0325355,0.0,0.0
1996-09-19,0.0325635,0.032947000000000004,0.032185000000000005
1996-09-20,0.0325355,0.032934,0.032142000000000004
1996-09-23,0.0325355,0.0,0.0
1996-09-24,0.0325355,0.0,0.0
1996-09-25,0.0325355,0.0,0.0
1996-09-26,0.0323786,0.0,0.0
1996-09-27,0.0323786,0.0,0.0
1996-09-30,0.0322384,0.0,0.0
1996-10-01,0.0322384,0.0,0.0
1996-10-02,0.0321385,0.0,0.0
1996-10-03,0.032036,0.032421,0.031656000000000004
1996-10-04,0.032036,0.0,0.0
1996-10-07,0.032036,0.0,0.0
1996-10-08,0.0320615,0.0,0.0
1996-10-09,0.0320615,0.0,0.0
1996-10-10,0.0320615,0.0,0.0
1996-10-11,0.0320615,0.0,0.0
1996-10-14,0.0320615,0.0,0.0
1996-10-15,0.032036,0.032421,0.031656000000000004
1996-10-16,0.032036,0.0,0.0
1996-10-17,0.032036,0.0,0.0
1996-10-18,0.031935700000000004,0.032323000000000005,0.031553
1996-10-21,0.031964,0.032348,0.031585
1996-10-22,0.0320615,0.0,0.0
1996-10-23,0.0321616,0.0,0.0
1996-10-24,0.0322607,0.0,0.0
1996-10-25,0.0322384,0.0,0.0
1996-10-28,0.0322384,0.0,0.0
1996-10-29,0.0323257,0.032695,0.03196
1996-10-30,0.0322767,0.0,0.0
1996-10-31,0.0321385,0.0,0.0
1996-11-01,0.032036,0.032421,0.031656000000000004
1996-11-04,0.0321233,0.0,0.0
1996-11-05,0.0321233,0.0,0.0
1996-11-06,0.0321233,0.0,0.0
1996-11-07,0.0323257,0.032695,0.03196
1996-11-08,0.0323257,0.0,0.0
1996-11-11,0.0324645,0.032862,0.032072
1996-11-12,0.0324645,0.0,0.0
1996-11-13,0.032437099999999996,0.032808,0.03207
1996-11-14,0.032437099999999996,0.0,0.0
1996-11-15,0.032437099999999996,0.0,0.0
1996-11-18,0.0324645,0.032862,0.032072
1996-11-19,0.0324645,0.0,0.0
1996-11-20,0.0325635,0.032947000000000004,0.032185000000000005
1996-11-21,0.0325635,0.0,0.0
1996-11-22,0.0325355,0.032934,0.032142000000000004
1996-11-25,0.0323786,0.0,0.0
1996-11-26,0.0322384,0.0,0.0
1996-11-27,0.0321385,0.0,0.0
1996-11-28,0.0321385,0.0,0.0
1996-11-29,0.032036,0.032421,0.031656000000000004
1996-12-02,0.031935700000000004,0.032323000000000005,0.031553
1996-12-03,0.0317175,0.0,0.0
1996-12-04,0.0317175,0.0,0.0
1996-12-05,0.0317175,0.0,0.0
1996-12-06,0.0317277,0.032106,0.031354
1996-12-09,0.0316783,0.0,0.0
1996-12-10,0.0316783,0.0,0.0
1996-12-11,0.0317277,0.032106,0.031354
1996-12-12,0.0317277,0.0,0.0
1996-12-13,0.0317395,0.0,0.0
1996-12-16,0.0315717,0.031952999999999995,0.031195
1996-12-17,0.0315717,0.0,0.0
1996-12-18,0.0315717,0.0,0.0
1996-12-19,0.0315608,0.0,0.0
1996-12-20,0.0315358,0.031917,0.031159
1996-12-23,0.031439499999999995,0.0,0.0
1996-12-24,0.031439499999999995,0.0,0.0
1996-12-25,0.031439499999999995,0.0,0.0
1996-12-26,0.031439499999999995,0.0,0.0
1996-12-27,0.031439499999999995,0.0,0.0
1996-12-30,0.0313393,0.0,0.0
1996-12-31,0.031237099999999997,0.031595,0.030882999999999997
1997-01-01,0.0312607,0.0,0.0
1997-01-02,0.0313605,0.0,0.0
1997-01-03,0.0313393,0.0,0.0
1997-01-06,0.0311752,0.031525,0.03083
1997-01-07,0.0311752,0.0,0.0
1997-01-08,0.031039799999999996,0.0,0.0
1997-01-09,0.031039799999999996,0.0,0.0
1997-01-10,0.031039799999999996,0.0,0.0
1997-01-13,0.031062400000000004,0.031411,0.030718000000000002
1997-01-14,0.031039799999999996,0.0,0.0
1997-01-15,0.031062400000000004,0.031411,0.030718000000000002
1997-01-16,0.0312214,0.0,0.0
1997-01-17,0.0312214,0.0,0.0
1997-01-20,0.031119400000000002,0.0,0.0
1997-01-21,0.031119400000000002,0.0,0.0
1997-01-22,0.0308742,0.031228,0.030525
1997-01-23,0.0308742,0.0,0.0
1997-01-24,0.0308624,0.031207,0.030521
1997-01-27,0.0308371,0.03119,0.030488
1997-01-28,0.0306724,0.031038,0.030312000000000002
1997-01-29,0.030663799999999998,0.031029,0.030302999999999997
1997-01-30,0.030762900000000003,0.031114999999999997,0.030414999999999998
1997-01-31,0.0308624,0.031207,0.030521
1997-02-03,0.0308371,0.03119,0.030488
1997-02-04,0.0308624,0.031207,0.030521
1997-02-05,0.030960200000000004,0.0,0.0
1997-02-06,0.030960200000000004,0.0,0.0
1997-02-07,0.031062400000000004,0.031411,0.030718000000000002
1997-02-10,0.0311629,0.03152,0.03081
1997-02-11,0.031012900000000003,0.03136,0.03067
1997-02-12,0.0307724,0.031139,0.030410000000000003
1997-02-13,0.030636200000000002,0.031001,0.030275999999999997
1997-02-14,0.0304791,0.0,0.0
1997-02-17,0.030275299999999998,0.030614,0.029941000000000002
1997-02-18,0.030071299999999995,0.030438,0.029708999999999996
1997-02-19,0.030071299999999995,0.0,0.0
1997-02-20,0.030060200000000002,0.0,0.0
1997-02-21,0.030222500000000003,0.0,0.0
1997-02-24,0.030360400000000003,0.0,0.0
1997-02-25,0.030360400000000003,0.0,0.0
1997-02-26,0.030275299999999998,0.030614,0.029941000000000002
1997-02-27,0.030139799999999998,0.0,0.0
1997-02-28,0.030139799999999998,0.0,0.0
1997-03-03,0.030139799999999998,0.0,0.0
1997-03-04,0.0300356,0.030402,0.029674000000000002
1997-03-05,0.0300356,0.0,0.0
1997-03-06,0.0300356,0.0,0.0
1997-03-07,0.029939499999999997,0.0,0.0
1997-03-10,0.029964400000000002,0.030330000000000003,0.029604000000000002
1997-03-11,0.029964400000000002,0.0,0.0
1997-03-12,0.029964400000000002,0.0,0.0
1997-03-13,0.030060200000000002,0.0,0.0
1997-03-14,0.0300356,0.030402,0.029674000000000002
1997-03-17,0.030060200000000002,0.0,0.0
1997-03-18,0.030060200000000002,0.0,0.0
1997-03-19,0.030222500000000003,0.0,0.0
1997-03-20,0.030222500000000003,0.0,0.0
1997-03-21,0.030179700000000004,0.0,0.0
1997-03-24,0.030162400000000002,0.030499000000000002,0.029829
