Date,Rate,High (est),Low (est)
1996-03-29,2.24244,0.0,0.0
1996-04-01,2.24244,0.0,0.0
1996-04-02,2.24244,0.0,0.0
1996-04-03,2.24244,0.0,0.0
1996-04-04,2.24244,0.0,0.0
1996-04-05,2.24244,0.0,0.0
1996-04-08,2.24244,0.0,0.0
1996-04-09,2.24244,0.0,0.0
1996-04-10,2.24244,0.0,0.0
1996-04-11,2.24244,0.0,0.0
1996-04-12,2.24244,0.0,0.0
1996-04-15,2.24244,0.0,0.0
1996-04-16,2.24244,0.0,0.0
1996-04-17,2.24244,0.0,0.0
1996-04-18,2.24244,0.0,0.0
1996-04-19,2.24244,0.0,0.0
1996-04-22,2.24244,0.0,0.0
1996-04-23,2.24244,0.0,0.0
1996-04-24,2.24244,0.0,0.0
1996-04-25,2.24244,0.0,0.0
1996-04-26,2.24244,0.0,0.0
1996-04-29,2.24244,0.0,0.0
1996-04-30,2.24244,0.0,0.0
1996-05-01,2.24244,0.0,0.0
1996-05-02,2.24244,0.0,0.0
1996-05-03,2.24244,0.0,0.0
1996-05-06,2.24244,0.0,0.0
1996-05-07,2.24244,0.0,0.0
1996-05-08,2.24244,0.0,0.0
1996-05-09,2.24244,0.0,0.0
1996-05-10,2.24244,0.0,0.0
1996-05-13,2.24244,0.0,0.0
1996-05-14,2.24244,0.0,0.0
1996-05-15,2.24244,0.0,0.0
1996-05-16,2.24244,0.0,0.0
1996-05-17,2.24244,0.0,0.0
1996-05-20,2.24244,0.0,0.0
1996-05-21,2.24244,0.0,0.0
1996-05-22,2.24244,0.0,0.0
1996-05-23,2.24244,0.0,0.0
1996-05-24,2.24244,0.0,0.0
1996-05-27,2.24244,0.0,0.0
1996-05-28,2.24244,0.0,0.0
1996-05-29,2.24244,0.0,0.0
1996-05-30,2.24244,0.0,0.0
1996-05-31,2.24244,0.0,0.0
1996-06-03,2.24244,0.0,0.0
1996-06-04,2.24244,0.0,0.0
1996-06-05,2.24244,0.0,0.0
1996-06-06,2.24244,0.0,0.0
1996-06-07,2.24244,0.0,0.0
1996-06-10,2.24244,0.0,0.0
1996-06-11,2.24244,0.0,0.0
1996-06-12,2.24244,0.0,0.0
1996-06-13,2.24244,0.0,0.0
1996-06-14,2.24244,0.0,0.0
1996-06-17,2.24244,0.0,0.0
1996-06-18,2.24244,0.0,0.0
1996-06-19,2.24244,0.0,0.0
1996-06-20,2.24244,0.0,0.0
1996-06-21,2.24244,0.0,0.0
1996-06-24,2.24244,0.0,0.0
1996-06-25,2.24244,0.0,0.0
1996-06-26,2.24244,0.0,0.0
1996-06-27,2.24244,0.0,0.0
1996-06-28,2.24244,0.0,0.0
1996-07-01,2.24244,0.0,0.0
1996-07-02,2.24244,0.0,0.0
1996-07-03,2.24244,0.0,0.0
1996-07-04,2.24244,0.0,0.0
1996-07-05,2.24244,0.0,0.0
1996-07-08,2.24244,0.0,0.0
1996-07-09,2.24244,0.0,0.0
1996-07-10,2.24244,0.0,0.0
1996-07-11,2.24244,0.0,0.0
1996-07-12,2.24244,0.0,0.0
1996-07-15,2.24244,0.0,0.0
1996-07-16,2.24244,0.0,0.0
1996-07-17,2.24244,0.0,0.0
1996-07-18,2.24244,0.0,0.0
1996-07-19,2.24244,0.0,0.0
1996-07-22,2.24244,0.0,0.0
1996-07-23,2.24244,0.0,0.0
1996-07-24,2.24244,0.0,0.0
1996-07-25,2.24244,0.0,0.0
1996-07-26,2.24244,0.0,0.0
1996-07-29,2.24244,0.0,0.0
1996-07-30,2.24244,0.0,0.0
1996-07-31,2.24244,0.0,0.0
1996-08-01,2.24244,0.0,0.0
1996-08-02,2.24244,0.0,0.0
1996-08-05,2.24244,0.0,0.0
1996-08-06,2.24244,0.0,0.0
1996-08-07,2.24244,0.0,0.0
1996-08-08,2.24244,0.0,0.0
1996-08-09,2.24244,0.0,0.0
1996-08-12,2.24244,0.0,0.0
1996-08-13,2.24244,0.0,0.0
1996-08-14,2.24244,0.0,0.0
1996-08-15,2.24244,0.0,0.0
1996-08-16,2.24244,0.0,0.0
1996-08-19,2.24244,0.0,0.0
1996-08-20,2.24244,0.0,0.0
1996-08-21,2.24244,0.0,0.0
1996-08-22,2.24244,0.0,0.0
1996-08-23,2.24244,0.0,0.0
1996-08-26,2.24244,0.0,0.0
1996-08-27,2.24244,0.0,0.0
1996-08-28,2.24244,0.0,0.0
1996-08-29,2.24244,0.0,0.0
1996-08-30,2.24244,0.0,0.0
1996-09-02,2.24244,0.0,0.0
1996-09-03,2.24244,0.0,0.0
1996-09-04,2.24244,0.0,0.0
1996-09-05,2.24244,0.0,0.0
1996-09-06,2.24244,0.0,0.0
1996-09-09,2.24244,0.0,0.0
1996-09-10,2.24244,0.0,0.0
1996-09-11,2.24244,0.0,0.0
1996-09-12,2.24244,0.0,0.0
1996-09-13,2.24244,0.0,0.0
1996-09-16,2.24244,0.0,0.0
1996-09-17,2.24244,0.0,0.0
1996-09-18,2.24244,0.0,0.0
1996-09-19,2.24244,0.0,0.0
1996-09-20,2.24244,0.0,0.0
1996-09-23,2.24244,0.0,0.0
1996-09-24,2.24244,0.0,0.0
1996-09-25,2.24244,0.0,0.0
1996-09-26,2.24244,0.0,0.0
1996-09-27,2.24244,0.0,0.0
1996-09-30,2.24244,0.0,0.0
1996-10-01,2.24244,0.0,0.0
1996-10-02,2.24244,0.0,0.0
1996-10-03,2.24244,0.0,0.0
1996-10-04,2.24244,0.0,0.0
1996-10-07,2.24244,0.0,0.0
