Date,Rate,High (est),Low (est)
1994-10-18,0.28163299999999997,0.0,0.0
1994-10-19,0.28333,0.0,0.0
1994-10-20,0.284121,0.0,0.0
1994-10-21,0.28414,0.0,0.0
1994-10-24,0.284353,0.28767,0.28108
1994-10-25,0.284821,0.28828000000000004,0.28141
1994-10-26,0.28531,0.0,0.0
1994-10-27,0.285683,0.0,0.0
1994-10-28,0.285738,0.0,0.0
1994-10-31,0.285636,0.28903,0.28228000000000003
1994-11-01,0.28579099999999996,0.28917,0.28245
1994-11-02,0.286021,0.0,0.0
1994-11-03,0.285781,0.28918,0.28242
1994-11-04,0.285088,0.28851,0.28171
1994-11-07,0.284679,0.0,0.0
1994-11-08,0.284982,0.28835,0.28165
1994-11-09,0.285263,0.2885,0.28206
1994-11-10,0.284794,0.28811,0.28151
1994-11-11,0.284258,0.0,0.0
1994-11-14,0.283842,0.2873,0.28042
1994-11-15,0.28383,0.28736,0.28034000000000003
1994-11-16,0.283961,0.0,0.0
1994-11-17,0.28368899999999997,0.28684,0.28057
1994-11-18,0.282994,0.28629,0.27974
1994-11-21,0.282573,0.28588,0.27931
1994-11-22,0.28269,0.28598,0.27943
1994-11-23,0.282737,0.28602,0.27949
1994-11-24,0.282737,0.0,0.0
1994-11-25,0.282763,0.28606,0.27951
1994-11-28,0.282541,0.28605,0.27908
1994-11-29,0.28221799999999997,0.0,0.0
1994-11-30,0.281972,0.28538,0.2786
1994-12-01,0.281773,0.2851,0.27849
1994-12-02,0.28131799999999996,0.28465999999999997,0.27802
1994-12-05,0.280649,0.28407,0.27726999999999996
1994-12-06,0.280462,0.28356,0.2774
1994-12-07,0.280882,0.28421,0.27759
1994-12-08,0.28128200000000003,0.0,0.0
1994-12-09,0.281088,0.28424,0.27797
1994-12-12,0.280711,0.28396,0.2775
1994-12-13,0.280711,0.0,0.0
1994-12-14,0.280711,0.0,0.0
1994-12-15,0.280471,0.28389000000000003,0.27709
1994-12-16,0.280275,0.28344,0.27714
1994-12-19,0.280453,0.2837,0.27724
1994-12-20,0.28104,0.28425,0.27786
1994-12-21,0.281428,0.2848,0.27809
1994-12-22,0.281428,0.0,0.0
1994-12-23,0.281428,0.0,0.0
1994-12-26,0.281428,0.0,0.0
1994-12-27,0.281428,0.0,0.0
1994-12-28,0.281428,0.0,0.0
1994-12-29,0.281428,0.0,0.0
1994-12-30,0.281428,0.0,0.0
1995-01-02,0.281428,0.0,0.0
1995-01-03,0.281428,0.0,0.0
1995-01-04,0.281439,0.0,0.0
1995-01-05,0.281439,0.0,0.0
1995-01-06,0.281439,0.0,0.0
1995-01-09,0.28120900000000004,0.28454,0.27791
1995-01-10,0.281614,0.28502,0.27825
1995-01-11,0.28273000000000004,0.2861,0.2794
1995-01-12,0.283387,0.28654,0.28026999999999996
1995-01-13,0.283629,0.28709,0.28021
1995-01-16,0.283328,0.0,0.0
1995-01-17,0.28291,0.28620999999999996,0.27965
1995-01-18,0.28291,0.0,0.0
1995-01-19,0.282737,0.28602,0.27949
1995-01-20,0.282828,0.28619,0.27951
1995-01-23,0.282964,0.28638,0.27959
1995-01-24,0.282936,0.2863,0.27960999999999997
1995-01-25,0.283024,0.0,0.0
1995-01-26,0.283036,0.28645,0.27965999999999996
1995-01-27,0.282873,0.28617,0.27960999999999997
