Date,Rate,High (est),Low (est)
1991-03-05,135.184,0.0,0.0
1991-03-06,135.881,0.0,0.0
1991-03-07,135.91,137.53,134.31
1991-03-08,135.963,137.49,134.45
1991-03-11,137.252,138.9,135.62
1991-03-12,136.898,0.0,0.0
1991-03-13,136.393,0.0,0.0
1991-03-14,135.998,137.6,134.41
1991-03-15,136.186,137.81,134.59
1991-03-18,137.342,0.0,0.0
1991-03-19,137.97299999999998,0.0,0.0
1991-03-20,138.232,0.0,0.0
1991-03-21,137.971,139.69,136.27
1991-03-22,137.25799999999998,138.79,135.75
1991-03-25,137.713,139.43,136.02
1991-03-26,138.582,140.19,136.99
1991-03-27,138.643,0.0,0.0
1991-03-28,139.584,141.2,137.98
1991-03-29,140.417,0.0,0.0
1991-04-01,140.339,0.0,0.0
1991-04-02,139.455,0.0,0.0
1991-04-03,138.16,139.75,136.59
1991-04-04,137.474,139.08,135.88
1991-04-05,136.6,138.14,135.08
1991-04-08,136.567,138.22,134.93
1991-04-09,136.819,138.4,135.26
1991-04-10,135.793,137.29,134.31
1991-04-11,135.982,0.0,0.0
1991-04-12,136.079,137.6,134.57
1991-04-15,135.351,0.0,0.0
1991-04-16,134.863,136.36,133.39
1991-04-17,134.937,136.58,133.31
1991-04-18,135.858,0.0,0.0
1991-04-19,137.381,138.97,135.81
1991-04-22,138.52700000000002,140.14,136.93
1991-04-23,138.66299999999998,0.0,0.0
1991-04-24,137.901,139.42,136.39
1991-04-25,137.77700000000002,0.0,0.0
1991-04-26,137.875,139.42,136.35
1991-04-29,138.188,0.0,0.0
1991-04-30,137.664,0.0,0.0
1991-05-01,136.82399999999998,0.0,0.0
1991-05-02,137.495,139.21,135.81
1991-05-03,137.972,0.0,0.0
1991-05-06,138.181,139.9,136.48
1991-05-07,138.368,0.0,0.0
1991-05-08,138.222,139.94,136.52
1991-05-09,138.387,0.0,0.0
1991-05-10,138.60399999999998,140.15,137.08
1991-05-13,139.011,140.72,137.32
1991-05-14,139.041,140.71,137.39
1991-05-15,138.255,139.92,136.61
1991-05-16,137.528,0.0,0.0
1991-05-17,137.57299999999998,0.0,0.0
1991-05-20,138.283,139.93,136.65
1991-05-21,138.23,0.0,0.0
1991-05-22,137.664,139.32,136.03
1991-05-23,137.769,0.0,0.0
