Date,Rate,High (est),Low (est)
1994-12-02,0.180721,0.18292,0.17855
1994-12-05,0.180721,0.0,0.0
1994-12-06,0.180721,0.0,0.0
1994-12-07,0.180721,0.0,0.0
1994-12-08,0.180721,0.0,0.0
1994-12-09,0.180721,0.0,0.0
1994-12-12,0.180646,0.18277000000000002,0.17854
1994-12-13,0.180646,0.0,0.0
1994-12-14,0.180646,0.0,0.0
1994-12-15,0.180646,0.0,0.0
1994-12-16,0.17949500000000002,0.18154,0.17747000000000002
1994-12-19,0.17949500000000002,0.0,0.0
1994-12-20,0.17949500000000002,0.0,0.0
1994-12-21,0.17949500000000002,0.0,0.0
1994-12-22,0.17949500000000002,0.0,0.0
1994-12-23,0.178706,0.18092,0.17652
1994-12-26,0.178706,0.0,0.0
1994-12-27,0.178706,0.0,0.0
1994-12-28,0.177808,0.0,0.0
1994-12-29,0.177808,0.0,0.0
1994-12-30,0.177808,0.0,0.0
1995-01-02,0.177808,0.0,0.0
1995-01-03,0.177119,0.0,0.0
1995-01-04,0.177119,0.0,0.0
1995-01-05,0.177119,0.0,0.0
1995-01-06,0.177119,0.0,0.0
1995-01-09,0.177119,0.0,0.0
1995-01-10,0.177119,0.0,0.0
1995-01-11,0.177119,0.0,0.0
1995-01-12,0.177119,0.0,0.0
1995-01-13,0.177119,0.0,0.0
1995-01-16,0.177119,0.0,0.0
1995-01-17,0.177119,0.0,0.0
1995-01-18,0.177119,0.0,0.0
1995-01-19,0.177119,0.0,0.0
1995-01-20,0.177119,0.0,0.0
1995-01-23,0.177119,0.0,0.0
1995-01-24,0.174933,0.0,0.0
1995-01-25,0.174933,0.0,0.0
1995-01-26,0.173788,0.17575,0.17184000000000002
1995-01-27,0.174083,0.0,0.0
1995-01-30,0.174083,0.0,0.0
1995-01-31,0.174083,0.0,0.0
1995-02-01,0.174083,0.0,0.0
1995-02-02,0.174083,0.0,0.0
1995-02-03,0.174083,0.0,0.0
1995-02-06,0.174083,0.0,0.0
1995-02-07,0.174012,0.17598,0.17207
1995-02-08,0.174012,0.0,0.0
1995-02-09,0.174012,0.0,0.0
1995-02-10,0.173538,0.0,0.0
1995-02-13,0.173538,0.0,0.0
1995-02-14,0.172913,0.17502,0.17082999999999998
1995-02-15,0.172913,0.0,0.0
1995-02-16,0.172913,0.0,0.0
1995-02-17,0.171907,0.0,0.0
1995-02-20,0.1717,0.0,0.0
1995-02-21,0.1717,0.0,0.0
1995-02-22,0.171337,0.17327,0.16943
1995-02-23,0.171337,0.0,0.0
1995-02-24,0.171337,0.0,0.0
1995-02-27,0.171337,0.0,0.0
1995-02-28,0.171337,0.0,0.0
1995-03-01,0.171337,0.0,0.0
1995-03-02,0.171337,0.0,0.0
1995-03-03,0.171337,0.0,0.0
1995-03-06,0.171337,0.0,0.0
1995-03-07,0.170243,0.17221,0.1683
1995-03-08,0.170243,0.0,0.0
1995-03-09,0.170243,0.0,0.0
1995-03-10,0.170243,0.0,0.0
1995-03-13,0.16919,0.0,0.0
1995-03-14,0.16919,0.0,0.0
1995-03-15,0.16861800000000002,0.0,0.0
1995-03-16,0.16813499999999998,0.0,0.0
1995-03-17,0.16813499999999998,0.0,0.0
1995-03-20,0.167776,0.16963,0.16594
1995-03-21,0.167776,0.0,0.0
1995-03-22,0.167319,0.16927999999999999,0.16538
1995-03-23,0.167319,0.0,0.0
1995-03-24,0.167293,0.16932,0.16529000000000002
1995-03-27,0.167293,0.0,0.0
1995-03-28,0.16721,0.16917000000000001,0.16527
1995-03-29,0.16721,0.0,0.0
1995-03-30,0.167345,0.0,0.0
1995-03-31,0.167345,0.0,0.0
1995-04-03,0.167345,0.0,0.0
1995-04-04,0.167345,0.0,0.0
1995-04-05,0.167345,0.0,0.0
1995-04-06,0.167312,0.16922,0.16542
1995-04-07,0.167312,0.0,0.0
1995-04-10,0.167312,0.0,0.0
1995-04-11,0.16689600000000002,0.0,0.0
1995-04-12,0.166517,0.0,0.0
1995-04-13,0.166209,0.16818,0.16426
1995-04-14,0.166209,0.0,0.0
1995-04-17,0.16603800000000002,0.0,0.0
1995-04-18,0.165936,0.16795,0.16395
1995-04-19,0.165936,0.0,0.0
1995-04-20,0.165719,0.0,0.0
1995-04-21,0.16541199999999998,0.16727,0.16357
1995-04-24,0.16541199999999998,0.0,0.0
1995-04-25,0.16541199999999998,0.0,0.0
1995-04-26,0.16541199999999998,0.0,0.0
