Date,Rate,High (est),Low (est)
1999-09-28,0.370323,0.0,0.0
1999-09-29,0.370323,0.0,0.0
1999-09-30,0.370323,0.0,0.0
1999-10-01,0.370323,0.0,0.0
1999-10-04,0.370323,0.0,0.0
1999-10-05,0.370323,0.0,0.0
1999-10-06,0.370323,0.0,0.0
1999-10-07,0.370323,0.0,0.0
1999-10-08,0.370323,0.0,0.0
1999-10-11,0.370323,0.0,0.0
1999-10-12,0.370323,0.0,0.0
1999-10-13,0.370323,0.0,0.0
1999-10-14,0.370323,0.0,0.0
1999-10-15,0.370323,0.0,0.0
1999-10-18,0.370323,0.0,0.0
1999-10-19,0.370323,0.0,0.0
1999-10-20,0.370323,0.0,0.0
1999-10-21,0.370323,0.0,0.0
1999-10-22,0.370323,0.0,0.0
1999-10-25,0.370323,0.0,0.0
1999-10-26,0.370323,0.0,0.0
1999-10-27,0.370323,0.0,0.0
1999-10-28,0.370323,0.0,0.0
1999-10-29,0.370323,0.0,0.0
1999-11-01,0.370323,0.0,0.0
1999-11-02,0.370323,0.0,0.0
1999-11-03,0.370323,0.0,0.0
1999-11-04,0.370323,0.0,0.0
1999-11-05,0.370323,0.0,0.0
1999-11-08,0.370323,0.0,0.0
1999-11-09,0.370323,0.0,0.0
1999-11-10,0.370323,0.0,0.0
1999-11-11,0.370323,0.0,0.0
1999-11-12,0.370323,0.0,0.0
1999-11-15,0.370323,0.0,0.0
1999-11-16,0.370323,0.0,0.0
1999-11-17,0.370323,0.0,0.0
1999-11-18,0.370323,0.0,0.0
1999-11-19,0.370323,0.0,0.0
1999-11-22,0.370323,0.0,0.0
1999-11-23,0.370323,0.0,0.0
1999-11-24,0.370323,0.0,0.0
1999-11-25,0.370323,0.0,0.0
1999-11-26,0.370323,0.0,0.0
1999-11-29,0.370323,0.0,0.0
1999-11-30,0.370323,0.0,0.0
1999-12-01,0.370323,0.0,0.0
1999-12-02,0.370323,0.0,0.0
1999-12-03,0.370323,0.0,0.0
1999-12-06,0.370323,0.0,0.0
1999-12-07,0.370323,0.0,0.0
1999-12-08,0.370323,0.0,0.0
1999-12-09,0.370323,0.0,0.0
1999-12-10,0.370323,0.0,0.0
1999-12-13,0.370323,0.0,0.0
1999-12-14,0.370323,0.0,0.0
1999-12-15,0.370323,0.0,0.0
1999-12-16,0.370323,0.0,0.0
1999-12-17,0.370323,0.0,0.0
1999-12-20,0.370323,0.0,0.0
1999-12-21,0.371191,0.0,0.0
1999-12-22,0.371191,0.0,0.0
1999-12-23,0.371191,0.0,0.0
1999-12-24,0.371191,0.0,0.0
1999-12-27,0.371191,0.0,0.0
1999-12-28,0.371191,0.0,0.0
1999-12-29,0.371191,0.0,0.0
1999-12-30,0.371191,0.0,0.0
1999-12-31,0.370902,0.0,0.0
2000-01-03,0.370902,0.0,0.0
2000-01-04,0.370902,0.0,0.0
2000-01-05,0.370902,0.0,0.0
2000-01-06,0.370902,0.0,0.0
2000-01-07,0.370902,0.0,0.0
2000-01-10,0.370902,0.0,0.0
2000-01-11,0.370902,0.0,0.0
2000-01-12,0.370902,0.0,0.0
2000-01-13,0.370902,0.0,0.0
2000-01-14,0.370902,0.0,0.0
2000-01-17,0.370902,0.0,0.0
2000-01-18,0.370902,0.0,0.0
2000-01-19,0.370902,0.0,0.0
2000-01-20,0.370902,0.0,0.0
2000-01-21,0.370902,0.0,0.0
2000-01-24,0.370902,0.0,0.0
2000-01-25,0.370902,0.0,0.0
2000-01-26,0.370902,0.0,0.0
2000-01-27,0.370902,0.0,0.0
2000-01-28,0.370902,0.0,0.0
2000-01-31,0.370902,0.0,0.0
2000-02-01,0.370902,0.0,0.0
2000-02-02,0.370902,0.0,0.0
2000-02-03,0.370902,0.0,0.0
2000-02-04,0.370902,0.0,0.0
2000-02-07,0.370902,0.0,0.0
2000-02-08,0.370902,0.0,0.0
2000-02-09,0.370902,0.0,0.0
2000-02-10,0.370902,0.0,0.0
2000-02-11,0.370902,0.0,0.0
2000-02-14,0.370902,0.0,0.0
2000-02-15,0.370902,0.0,0.0
2000-02-16,0.370902,0.0,0.0
2000-02-17,0.370902,0.0,0.0
2000-02-18,0.370902,0.0,0.0
2000-02-21,0.370902,0.0,0.0
2000-02-22,0.370902,0.0,0.0
2000-02-23,0.370902,0.0,0.0
2000-02-24,0.370902,0.0,0.0
2000-02-25,0.370902,0.0,0.0
2000-02-28,0.370902,0.0,0.0
2000-02-29,0.370902,0.0,0.0
2000-03-01,0.370902,0.0,0.0
2000-03-02,0.370902,0.0,0.0
2000-03-03,0.370902,0.0,0.0
2000-03-06,0.370902,0.0,0.0
2000-03-07,0.370902,0.0,0.0
2000-03-08,0.370902,0.0,0.0
2000-03-09,0.370902,0.0,0.0
2000-03-10,0.370902,0.0,0.0
2000-03-13,0.370902,0.0,0.0
2000-03-14,0.370902,0.0,0.0
2000-03-15,0.370902,0.0,0.0
2000-03-16,0.370902,0.0,0.0
2000-03-17,0.370902,0.0,0.0
2000-03-20,0.370902,0.0,0.0
2000-03-21,0.370902,0.0,0.0
2000-03-22,0.370902,0.0,0.0
2000-03-23,0.370902,0.0,0.0
2000-03-24,0.370902,0.0,0.0
2000-03-27,0.370902,0.0,0.0
2000-03-28,0.370902,0.0,0.0
2000-03-29,0.370902,0.0,0.0
2000-03-30,0.370902,0.0,0.0
2000-03-31,0.370902,0.0,0.0
2000-04-03,0.370902,0.0,0.0
2000-04-04,0.370902,0.0,0.0
2000-04-05,0.370902,0.0,0.0
2000-04-06,0.370902,0.0,0.0
2000-04-07,0.370902,0.0,0.0
2000-04-10,0.370902,0.0,0.0
2000-04-11,0.370902,0.0,0.0
2000-04-12,0.370902,0.0,0.0
2000-04-13,0.370902,0.0,0.0
2000-04-14,0.370841,0.3751,0.36663
2000-04-17,0.371465,0.0,0.0
2000-04-18,0.371465,0.0,0.0
2000-04-19,0.371465,0.0,0.0
2000-04-20,0.371465,0.0,0.0
2000-04-21,0.371465,0.0,0.0
2000-04-24,0.371465,0.0,0.0
2000-04-25,0.371465,0.0,0.0
2000-04-26,0.370902,0.0,0.0
2000-04-27,0.371191,0.0,0.0
2000-04-28,0.371191,0.0,0.0
2000-05-01,0.371191,0.0,0.0
2000-05-02,0.371191,0.0,0.0
2000-05-03,0.371191,0.0,0.0
2000-05-04,0.371191,0.0,0.0
2000-05-05,0.371191,0.0,0.0
2000-05-08,0.371191,0.0,0.0
2000-05-09,0.371191,0.0,0.0
2000-05-10,0.371191,0.0,0.0
2000-05-11,0.371191,0.0,0.0
2000-05-12,0.371191,0.0,0.0
2000-05-15,0.371191,0.0,0.0
2000-05-16,0.371191,0.0,0.0
2000-05-17,0.371191,0.0,0.0
2000-05-18,0.371191,0.0,0.0
2000-05-19,0.371191,0.0,0.0
2000-05-22,0.371191,0.0,0.0
2000-05-23,0.371191,0.0,0.0
2000-05-24,0.371191,0.0,0.0
2000-05-25,0.371191,0.0,0.0
2000-05-26,0.371191,0.0,0.0
2000-05-29,0.371191,0.0,0.0
2000-05-30,0.371191,0.0,0.0
2000-05-31,0.371191,0.0,0.0
2000-06-01,0.371191,0.0,0.0
2000-06-02,0.371191,0.0,0.0
2000-06-05,0.371191,0.0,0.0
2000-06-06,0.371191,0.0,0.0
2000-06-07,0.371191,0.0,0.0
2000-06-08,0.371191,0.0,0.0
2000-06-09,0.371191,0.0,0.0
2000-06-12,0.371191,0.0,0.0
2000-06-13,0.372598,0.37709000000000004,0.36816
2000-06-14,0.372598,0.0,0.0
2000-06-15,0.37399499999999997,0.37847,0.36956999999999995
2000-06-16,0.37399499999999997,0.0,0.0
2000-06-19,0.37399499999999997,0.0,0.0
2000-06-20,0.37399499999999997,0.0,0.0
2000-06-21,0.37399499999999997,0.0,0.0
2000-06-22,0.37399499999999997,0.0,0.0
