Date,Rate,High (est),Low (est)
2013-01-16,0.189422,0.19171,0.18716
2013-01-17,0.18903499999999998,0.19136,0.18674000000000002
2013-01-18,0.189389,0.19174000000000002,0.18706
2013-01-21,0.188833,0.19109,0.1866
2013-01-22,0.188272,0.19055,0.18602
2013-01-23,0.188138,0.0,0.0
2013-01-24,0.188409,0.0,0.0
2013-01-25,0.188858,0.19118,0.18656
2013-01-28,0.188814,0.1909,0.18675
2013-01-29,0.188638,0.0,0.0
2013-01-30,0.188638,0.0,0.0
2013-01-31,0.187453,0.18968,0.18525999999999998
2013-02-01,0.18603499999999998,0.18824000000000002,0.18385
2013-02-04,0.185857,0.18811,0.18363
2013-02-05,0.18650999999999998,0.18872,0.18432
2013-02-06,0.186987,0.18908,0.18492
2013-02-07,0.18728499999999998,0.0,0.0
2013-02-08,0.18727,0.1896,0.18497
2013-02-11,0.187756,0.0,0.0
2013-02-12,0.18859,0.0,0.0
2013-02-13,0.188776,0.19086,0.18672
2013-02-14,0.188063,0.19029000000000001,0.18586
2013-02-15,0.187326,0.18942,0.18525
2013-02-18,0.188202,0.0,0.0
2013-02-19,0.18858,0.19083,0.18635
2013-02-20,0.188272,0.19055,0.18602
2013-02-21,0.18850999999999998,0.19059,0.18645
2013-02-22,0.187702,0.1898,0.18563
2013-02-25,0.187676,0.18992,0.18545
2013-02-26,0.187631,0.0,0.0
2013-02-27,0.186102,0.0,0.0
2013-02-28,0.18596400000000002,0.0,0.0
2013-03-01,0.18683699999999998,0.18893,0.18477000000000002
2013-03-04,0.18683699999999998,0.0,0.0
2013-03-05,0.18683699999999998,0.0,0.0
2013-03-06,0.187039,0.0,0.0
2013-03-07,0.18657,0.0,0.0
2013-03-08,0.186055,0.0,0.0
2013-03-11,0.18526600000000001,0.18742999999999999,0.18313
2013-03-12,0.186068,0.18839,0.18378
2013-03-13,0.186883,0.0,0.0
2013-03-14,0.186638,0.0,0.0
2013-03-15,0.185547,0.0,0.0
2013-03-18,0.185382,0.18758,0.18320999999999998
2013-03-19,0.185382,0.0,0.0
2013-03-20,0.18553499999999998,0.18783,0.18327000000000002
2013-03-21,0.18494000000000002,0.187,0.18291
2013-03-22,0.18532300000000002,0.0,0.0
2013-03-25,0.186107,0.0,0.0
2013-03-26,0.18617899999999998,0.0,0.0
2013-03-27,0.18500899999999998,0.18725,0.1828
2013-03-28,0.184827,0.0,0.0
2013-03-29,0.185293,0.18755,0.18306
2013-04-01,0.18570699999999998,0.0,0.0
2013-04-02,0.18570699999999998,0.0,0.0
2013-04-03,0.18526600000000001,0.18742999999999999,0.18313
2013-04-04,0.184837,0.18692999999999999,0.18277000000000002
2013-04-05,0.185186,0.18744,0.18295999999999998
2013-04-08,0.185527,0.18773,0.18335
2013-04-09,0.185527,0.0,0.0
2013-04-10,0.185527,0.0,0.0
2013-04-11,0.186083,0.0,0.0
2013-04-12,0.186083,0.0,0.0
2013-04-15,0.188788,0.19111,0.1865
2013-04-16,0.18901400000000002,0.19127,0.18678
2013-04-17,0.188144,0.1904,0.18592
2013-04-18,0.188193,0.19047999999999998,0.18592999999999998
2013-04-19,0.187202,0.0,0.0
2013-04-22,0.186377,0.0,0.0
2013-04-23,0.18636,0.0,0.0
