Date,Rate,High (est),Low (est)
1994-10-18,0.12036400000000001,0.12183,0.11892
1994-10-19,0.12036400000000001,0.0,0.0
1994-10-20,0.12036400000000001,0.0,0.0
1994-10-21,0.12033599999999998,0.12178,0.11890999999999999
1994-10-24,0.12033599999999998,0.0,0.0
1994-10-25,0.12048699999999998,0.12183,0.11915999999999999
1994-10-26,0.12048699999999998,0.0,0.0
1994-10-27,0.12047100000000001,0.12194,0.11902
1994-10-28,0.12033599999999998,0.12178,0.11890999999999999
1994-10-31,0.12011300000000001,0.12145999999999998,0.11878
1994-11-01,0.12011300000000001,0.0,0.0
1994-11-02,0.12011300000000001,0.0,0.0
1994-11-03,0.120121,0.0,0.0
1994-11-04,0.12000599999999999,0.12149000000000001,0.11854
1994-11-07,0.12000599999999999,0.0,0.0
1994-11-08,0.12000599999999999,0.0,0.0
1994-11-09,0.120026,0.12142,0.11865
1994-11-10,0.120038,0.12139000000000001,0.1187
1994-11-11,0.11993499999999999,0.12142,0.11847
1994-11-14,0.11996199999999999,0.12130999999999999,0.11863
1994-11-15,0.11996199999999999,0.0,0.0
1994-11-16,0.11993499999999999,0.12142,0.11847
1994-11-17,0.11971199999999999,0.12108,0.11835999999999999
1994-11-18,0.11996199999999999,0.0,0.0
1994-11-21,0.12032899999999999,0.12179000000000001,0.11888
1994-11-22,0.120525,0.12187,0.11919
1994-11-23,0.120525,0.0,0.0
1994-11-24,0.12047100000000001,0.12194,0.11902
1994-11-25,0.12021,0.1216,0.11882999999999999
1994-11-28,0.120038,0.12139000000000001,0.1187
1994-11-29,0.119879,0.0,0.0
1994-11-30,0.11973900000000001,0.0,0.0
1994-12-01,0.119637,0.121,0.11829
1994-12-02,0.1193,0.0,0.0
1994-12-05,0.11946500000000002,0.0,0.0
1994-12-06,0.119953,0.12134,0.11857999999999999
1994-12-07,0.120038,0.12139000000000001,0.1187
1994-12-08,0.120038,0.0,0.0
1994-12-09,0.11993499999999999,0.12142,0.11847
1994-12-12,0.119778,0.0,0.0
1994-12-13,0.119573,0.12097999999999999,0.11818
1994-12-14,0.11943800000000002,0.0,0.0
1994-12-15,0.119274,0.12064000000000001,0.11792000000000001
1994-12-16,0.119274,0.0,0.0
1994-12-19,0.11926099999999999,0.0,0.0
1994-12-20,0.11926099999999999,0.0,0.0
1994-12-21,0.11942699999999999,0.12082999999999999,0.11804
1994-12-22,0.119379,0.0,0.0
